temporada,leitura,nivel,unidade,pilar,familia,comparacao,corte,recorte_extra,normalizacao,medida,medida_nome,indicador,nome,n_a,n_b,clubes_a,clubes_b,cru_a,cru_b,dif_bruta,d,ic95_lo,ic95_hi,p,q,n_testes_na_familia,q_por_medida,selo_por_medida,d_minimo_80_linhas,d_minimo_80_clubes,poder_suficiente,abaixo_do_piso,selo,porta_roda,porta_rho_parcial,porta_p,confianca,confianca_motivo
2025,principal,clube_temporada,clube-temporada,fisico_col,fisico_col_x_CM,CM,com,,posto_no_ano,delta_descanso,jogo com menos de 4 dias de descanso menos jogo normal,distance_p90,Distância por 90 min (m),4,12,4,12,285.856,20.344,265.512,1.323,0.33,3.02,0.07445,0.39707,32,0.29778,sem diferença clara,1.74,1.74,0,1,sem diferença clara,0,,,indício,não passa no BH da família e a porta não sustenta
2025,principal,clube_temporada,clube-temporada,fisico_col,fisico_col_x_CM,CM,com,,posto_no_ano,delta_descanso,jogo com menos de 4 dias de descanso menos jogo normal,hi_distance_p90,Distância em alta intensidade por 90 (m),4,12,4,12,40.721,16.427,24.294,0.528,-0.86,2.47,0.50907,0.80938,32,0.8145,sem diferença clara,1.74,1.74,0,1,sem diferença clara,0,,,indício,não passa no BH da família e a porta não sustenta
2025,principal,clube_temporada,clube-temporada,fisico_col,fisico_col_x_CM,CM,com,,posto_no_ano,delta_descanso,jogo com menos de 4 dias de descanso menos jogo normal,high_accel_p90,Acelerações fortes por 90,4,12,4,12,-0.224,-0.186,-0.038,0.109,-1.41,1.61,0.88302,0.89493,32,0.88302,sem diferença clara,1.74,1.74,0,1,sem diferença clara,0,,,indício,não passa no BH da família e a porta não sustenta
2025,principal,clube_temporada,clube-temporada,fisico_col,fisico_col_x_CM,CM,com,,posto_no_ano,delta_descanso,jogo com menos de 4 dias de descanso menos jogo normal,m_per_min,Metros por minuto,4,12,4,12,3.176,0.226,2.95,1.323,0.3,3.03,0.07445,0.39707,32,0.29778,sem diferença clara,1.74,1.74,0,1,sem diferença clara,0,,,indício,não passa no BH da família e a porta não sustenta
2025,principal,clube_temporada,clube-temporada (calendário cheio),resultado_col,resultado_col_x_CM,CM,com,,posto_no_ano,delta_descanso,jogo com menos de 4 dias de descanso menos jogo normal,pontos_jogo,Pontos por jogo,4,12,4,12,-0.216,-0.846,0.63,1.045,0.15,2.54,0.08807,0.08807,4,0.08807,sem diferença clara,1.74,1.74,0,1,sem diferença clara,0,,,indício,não passa no BH da família e a porta não sustenta
2025,principal,clube_temporada,clube-temporada,fisico_col,fisico_col_x_CM,CM,com,,posto_no_ano,delta_descanso,jogo com menos de 4 dias de descanso menos jogo normal,psv99,PSV-99 do jogador no jogo (km/h),4,12,4,12,-0.288,0.249,-0.537,-0.852,-3.18,0.59,0.30775,0.70343,32,0.81416,sem diferença clara,1.74,1.74,0,1,sem diferença clara,0,,,indício,não passa no BH da família e a porta não sustenta
2025,principal,clube_temporada,clube-temporada,fisico_col,fisico_col_x_CM,CM,com,,posto_no_ano,delta_descanso,jogo com menos de 4 dias de descanso menos jogo normal,running_distance_p90,Distância em corrida por 90 (m),4,12,4,12,-1.699,15.71,-17.409,0.141,-1.53,2.04,0.86239,0.89493,32,0.88302,sem diferença clara,1.74,1.74,0,1,sem diferença clara,0,,,indício,não passa no BH da família e a porta não sustenta
2025,principal,clube_temporada,clube-temporada,fisico_col,fisico_col_x_CM,CM,com,,posto_no_ano,delta_descanso,jogo com menos de 4 dias de descanso menos jogo normal,sprint_count_p90,Número de sprints por 90,4,12,4,12,-0.321,0.272,-0.593,-0.28,-2.54,1.53,0.74819,0.89493,32,0.88302,sem diferença clara,1.74,1.74,0,1,sem diferença clara,0,,,indício,não passa no BH da família e a porta não sustenta
2025,principal,clube_temporada,clube-temporada,fisico_col,fisico_col_x_CM,CM,com,,posto_no_ano,delta_descanso,jogo com menos de 4 dias de descanso menos jogo normal,sprint_distance_p90,Distância em sprint por 90 (m),4,12,4,12,22.092,5.104,16.988,0.754,-0.82,3.12,0.40708,0.7237,32,0.81416,sem diferença clara,1.74,1.74,0,1,sem diferença clara,0,,,indício,não passa no BH da família e a porta não sustenta
2025,principal,clube_temporada,clube-temporada,fisico_col,fisico_col_x_CM,CM,com,,posto_no_ano,delta_turno,returno menos turno — sustentar ao longo da temporada,distance_p90,Distância por 90 min (m),4,12,4,12,-165.706,-46.873,-118.833,-0.354,-1.78,0.76,0.58174,0.80938,32,0.79582,sem diferença clara,1.74,1.74,0,1,sem diferença clara,0,,,indício,não passa no BH da família e a porta não sustenta
2025,principal,clube_temporada,clube-temporada,fisico_col,fisico_col_x_CM,CM,com,,posto_no_ano,delta_turno,returno menos turno — sustentar ao longo da temporada,hi_distance_p90,Distância em alta intensidade por 90 (m),4,12,4,12,-6.548,-3.39,-3.158,-0.105,-1.86,1.61,0.89493,0.89493,32,0.89493,sem diferença clara,1.74,1.74,0,1,sem diferença clara,0,,,indício,não passa no BH da família e a porta não sustenta
2025,principal,clube_temporada,clube-temporada,fisico_col,fisico_col_x_CM,CM,com,,posto_no_ano,delta_turno,returno menos turno — sustentar ao longo da temporada,high_accel_p90,Acelerações fortes por 90,4,12,4,12,0.061,0.127,-0.066,-0.337,-1.51,0.52,0.47021,0.79193,32,0.79582,sem diferença clara,1.74,1.74,0,1,sem diferença clara,0,,,indício,não passa no BH da família e a porta não sustenta
2025,principal,clube_temporada,clube-temporada,fisico_col,fisico_col_x_CM,CM,com,,posto_no_ano,delta_turno,returno menos turno — sustentar ao longo da temporada,m_per_min,Metros por minuto,4,12,4,12,-1.841,-0.521,-1.32,-0.354,-1.68,0.83,0.58174,0.80938,32,0.79582,sem diferença clara,1.74,1.74,0,1,sem diferença clara,0,,,indício,não passa no BH da família e a porta não sustenta
2025,principal,clube_temporada,clube-temporada (calendário cheio),resultado_col,resultado_col_x_CM,CM,com,,posto_no_ano,delta_turno,returno menos turno — sustentar ao longo da temporada,pontos_jogo,Pontos por jogo,4,12,4,12,-0.211,0.053,-0.264,-0.909,-2.29,-0.09,0.06481,0.08641,4,0.06481,sem diferença clara,1.74,1.74,0,1,sem diferença clara,0,,,indício,não passa no BH da família e a porta não sustenta
2025,principal,clube_temporada,clube-temporada,fisico_col,fisico_col_x_CM,CM,com,,posto_no_ano,delta_turno,returno menos turno — sustentar ao longo da temporada,psv99,PSV-99 do jogador no jogo (km/h),4,12,4,12,0.152,-0.031,0.183,0.788,-0.4,2.46,0.27092,0.68756,32,0.79582,sem diferença clara,1.74,1.74,0,1,sem diferença clara,0,,,indício,não passa no BH da família e a porta não sustenta
2025,principal,clube_temporada,clube-temporada,fisico_col,fisico_col_x_CM,CM,com,,posto_no_ano,delta_turno,returno menos turno — sustentar ao longo da temporada,running_distance_p90,Distância em corrida por 90 (m),4,12,4,12,-45.379,-14.677,-30.702,-0.406,-1.98,0.79,0.57066,0.80938,32,0.79582,sem diferença clara,1.74,1.74,0,1,sem diferença clara,0,,,indício,não passa no BH da família e a porta não sustenta
2025,principal,clube_temporada,clube-temporada,fisico_col,fisico_col_x_CM,CM,com,,posto_no_ano,delta_turno,returno menos turno — sustentar ao longo da temporada,sprint_count_p90,Número de sprints por 90,4,12,4,12,-0.1,-0.148,0.048,-0.292,-1.82,1.21,0.69635,0.89133,32,0.79582,sem diferença clara,1.74,1.74,0,1,sem diferença clara,0,,,indício,não passa no BH da família e a porta não sustenta
2025,principal,clube_temporada,clube-temporada,fisico_col,fisico_col_x_CM,CM,com,,posto_no_ano,delta_turno,returno menos turno — sustentar ao longo da temporada,sprint_distance_p90,Distância em sprint por 90 (m),4,12,4,12,-2.211,2.543,-4.754,-0.419,-2.36,1.21,0.61923,0.82564,32,0.79582,sem diferença clara,1.74,1.74,0,1,sem diferença clara,0,,,indício,não passa no BH da família e a porta não sustenta
2025,principal,clube_temporada,clube-temporada,fisico_col,fisico_col_x_CM,CM,com,,posto_no_ano,returno,nível no 2º turno (rodadas 20+),distance_p90,Distância por 90 min (m),4,12,4,12,9306.381,9610.132,-303.751,-0.933,-3.2,0.39,0.27932,0.68756,32,0.37242,sem diferença clara,1.74,1.74,0,1,sem diferença clara,0,,,indício,não passa no BH da família e a porta não sustenta
2025,principal,clube_temporada,clube-temporada,fisico_col,fisico_col_x_CM,CM,com,,posto_no_ano,returno,nível no 2º turno (rodadas 20+),hi_distance_p90,Distância em alta intensidade por 90 (m),4,12,4,12,617.108,675.042,-57.934,-1.576,-3.85,-0.8,0.00157,0.05024,32,0.01257,firme,1.74,1.74,0,1,pode ser sorte,0,,,indício,não passa no BH da família e a porta não sustenta
2025,principal,clube_temporada,clube-temporada,fisico_col,fisico_col_x_CM,CM,com,,posto_no_ano,returno,nível no 2º turno (rodadas 20+),high_accel_p90,Acelerações fortes por 90,4,12,4,12,6.374,6.392,-0.018,-0.206,-1.52,1.01,0.76361,0.89493,32,0.82733,sem diferença clara,1.74,1.74,0,1,sem diferença clara,0,,,indício,não passa no BH da família e a porta não sustenta
