familia,esforco,efeito,rho,rho_alinhado,ic95,p,n,sinal_esperado,q,selo,vai_no_sentido_esperado
sem_bola,fis_m_per_min_otip,ppda,-0.503,0.503,"[-0.65, -0.32]",0.0,80,negativo,1e-05,firme,True
sem_bola,fis_m_per_min_otip,recuperacoes,0.13,0.13,"[-0.09, 0.34]",0.24983,80,positivo,0.29979,sem relação clara,True
sem_bola,fis_m_per_min_otip,xg_contra,-0.27,0.27,"[-0.46, -0.05]",0.01561,80,negativo,0.03122,firme,True
sem_bola,fis_sprint_distance_p30otip,ppda,-0.633,0.633,"[-0.75, -0.48]",0.0,80,negativo,0.0,firme,True
sem_bola,fis_sprint_distance_p30otip,recuperacoes,0.014,0.014,"[-0.21, 0.23]",0.90156,80,positivo,0.90156,sem relação clara,True
sem_bola,fis_sprint_distance_p30otip,xg_contra,-0.141,0.141,"[-0.35, 0.08]",0.21105,80,negativo,0.29979,sem relação clara,True
com_bola,fis_m_per_min_tip,entradas_area,0.042,0.042,"[-0.18, 0.26]",0.70893,80,positivo,0.90418,sem relação clara,True
com_bola,fis_m_per_min_tip,xg,-0.014,-0.014,"[-0.23, 0.21]",0.90418,80,positivo,0.90418,sem relação clara,False
com_bola,fis_sprint_distance_p30tip,entradas_area,-0.033,-0.033,"[-0.25, 0.19]",0.7705,80,positivo,0.90418,sem relação clara,False
com_bola,fis_sprint_distance_p30tip,xg,0.209,0.209,"[-0.01, 0.41]",0.06256,80,positivo,0.12511,sem relação clara,True
com_bola,fis_runs_penalty_area_p30tip,entradas_area,0.467,0.467,"[0.28, 0.62]",1e-05,80,positivo,4e-05,firme,True
com_bola,fis_runs_penalty_area_p30tip,xg,0.499,0.499,"[0.31, 0.65]",0.0,80,positivo,1e-05,firme,True
resultado,fis_distance_p90,dist_g4,0.097,0.097,"[-0.13, 0.31]",0.39151,80,positivo,0.48938,sem relação clara,True
resultado,fis_hi_distance_p90,dist_g4,0.258,0.258,"[0.04, 0.45]",0.02061,80,positivo,0.05153,pode ser sorte,True
resultado,fis_sprint_distance_p90,dist_g4,0.288,0.288,"[0.07, 0.48]",0.00954,80,positivo,0.04769,firme,True
resultado,fis_m_per_min_otip,dist_g4,0.218,0.218,"[-0.0, 0.42]",0.05157,80,positivo,0.08595,sem relação clara,True
resultado,fis_m_per_min_tip,dist_g4,0.001,0.001,"[-0.22, 0.22]",0.9901,80,positivo,0.9901,sem relação clara,True
