faixa_tecnica,indicador,n_sobe,n_meio,d,p,d_minimo_80,q,selo
média,fis_distance_p90,4,18,0.091,0.80392,1.63,0.98515,sem diferença clara
média,fis_hi_distance_p90,4,18,0.16,0.79413,1.63,0.98515,sem diferença clara
média,fis_sprint_distance_p90,4,18,0.013,0.98515,1.63,0.98515,sem diferença clara
média,fis_m_per_min_otip,4,18,0.396,0.51254,1.63,0.98515,sem diferença clara
média,fis_m_per_min_tip,4,18,0.313,0.38888,1.63,0.98515,sem diferença clara
alta,fis_distance_p90,12,15,-0.126,0.75079,1.13,0.95148,sem diferença clara
alta,fis_hi_distance_p90,12,15,-0.024,0.95148,1.13,0.95148,sem diferença clara
alta,fis_sprint_distance_p90,12,15,-0.274,0.47546,1.13,0.95148,sem diferença clara
alta,fis_m_per_min_otip,12,15,0.325,0.40144,1.13,0.95148,sem diferença clara
alta,fis_m_per_min_tip,12,15,0.103,0.79296,1.13,0.95148,sem diferença clara
