fronteira,familia,comparacao,indicador,n_a,n_b,cru_a,cru_b,d,medida_nome,ic95_d,p,d_minimo_80,q,selo,poder_suficiente,nome,placar_redescrito
com,sem_bola,esforco_x_efeito,fis_m_per_min_otip×ppda,80,80,147.024,10.277,-0.503,rho de Spearman,"[-0.65, -0.32]",0.0,0.309,1e-05,firme,True,Metros por minuto sem posse × PPDA,True
com,sem_bola,esforco_x_efeito,fis_m_per_min_otip×recuperacoes,80,80,147.024,77.995,0.13,rho de Spearman,"[-0.09, 0.34]",0.24983,0.309,0.29979,sem relação clara,False,Metros por minuto sem posse × recuperações,True
com,sem_bola,esforco_x_efeito,fis_m_per_min_otip×xg_contra,80,80,147.024,1.196,-0.27,rho de Spearman,"[-0.46, -0.05]",0.01561,0.309,0.03122,firme,False,Metros por minuto sem posse × xG sofrido,True
com,sem_bola,esforco_x_efeito,fis_sprint_distance_p30otip×ppda,80,80,99.863,10.277,-0.633,rho de Spearman,"[-0.75, -0.48]",0.0,0.309,0.0,firme,True,Sprint sem posse × PPDA,True
com,sem_bola,esforco_x_efeito,fis_sprint_distance_p30otip×recuperacoes,80,80,99.863,77.995,0.014,rho de Spearman,"[-0.21, 0.23]",0.90156,0.309,0.90156,sem relação clara,False,Sprint sem posse × recuperações,True
com,sem_bola,esforco_x_efeito,fis_sprint_distance_p30otip×xg_contra,80,80,99.863,1.196,-0.141,rho de Spearman,"[-0.35, 0.08]",0.21105,0.309,0.29979,sem relação clara,False,Sprint sem posse × xG sofrido,True
com,com_bola,esforco_x_efeito,fis_m_per_min_tip×entradas_area,80,80,135.962,21.817,0.042,rho de Spearman,"[-0.18, 0.26]",0.70893,0.309,0.90418,sem relação clara,False,Metros por minuto com posse × entradas na área,True
com,com_bola,esforco_x_efeito,fis_m_per_min_tip×xg,80,80,135.962,1.196,-0.014,rho de Spearman,"[-0.23, 0.21]",0.90418,0.309,0.90418,sem relação clara,False,Metros por minuto com posse × xG criado,True
com,com_bola,esforco_x_efeito,fis_sprint_distance_p30tip×entradas_area,80,80,96.722,21.817,-0.033,rho de Spearman,"[-0.25, 0.19]",0.7705,0.309,0.90418,sem relação clara,False,Sprint com posse × entradas na área,True
com,com_bola,esforco_x_efeito,fis_sprint_distance_p30tip×xg,80,80,96.722,1.196,0.209,rho de Spearman,"[-0.01, 0.41]",0.06256,0.309,0.12511,sem relação clara,False,Sprint com posse × xG criado,True
com,com_bola,esforco_x_efeito,fis_runs_penalty_area_p30tip×entradas_area,80,80,3.047,21.817,0.467,rho de Spearman,"[0.28, 0.62]",1e-05,0.309,4e-05,firme,True,Corridas para a área × entradas na área,True
com,com_bola,esforco_x_efeito,fis_runs_penalty_area_p30tip×xg,80,80,3.047,1.196,0.499,rho de Spearman,"[0.31, 0.65]",0.0,0.309,1e-05,firme,True,Corridas para a área × xG criado,True
com,resultado,esforco_x_efeito,fis_distance_p90×dist_g4,80,80,9572.503,-11.55,0.097,rho de Spearman,"[-0.13, 0.31]",0.39151,0.309,0.48938,sem relação clara,False,Distância por 90 min × distância ao G4,True
