fronteira,familia,comparacao,indicador,n_a,n_b,cru_a,cru_b,d,ic95_d,p,d_minimo_80,q,selo,poder_suficiente
com,reguas,SM,A_posse_construcao,16,48,73.246,49.561,0.55,"[0.01, 1.16]",0.07185,0.82,0.12933,sem diferença clara,False
com,reguas,SM,B_pressao_ritmo,16,48,63.158,54.211,0.32,"[-0.23, 1.02]",0.30263,0.82,0.3891,sem diferença clara,False
com,reguas,SM,C_volume_fisico,16,48,65.789,50.0,0.237,"[-0.37, 0.92]",0.41778,0.82,0.47,sem diferença clara,False
com,reguas,SM,D_explosao,16,48,56.579,51.974,0.045,"[-0.48, 0.55]",0.8801,0.82,0.8801,sem diferença clara,False
com,reguas,SM,E_qualidade_chance,16,48,71.053,47.368,0.961,"[0.46, 1.59]",0.00086,0.82,0.00388,firme,True
com,reguas,SM,F_solidez,16,48,73.684,50.0,0.724,"[0.16, 1.42]",0.0198,0.82,0.04454,firme,False
com,reguas,SM,G_bola_aerea_parada,16,48,56.908,51.974,0.366,"[-0.19, 0.99]",0.20174,0.82,0.30262,sem diferença clara,False
com,reguas,SM,H_dinheiro,16,48,80.921,46.711,1.149,"[0.6, 1.81]",0.00014,0.82,0.00128,firme,True
com,reguas,SM,I_estabilidade_11,16,48,71.053,50.329,0.767,"[0.27, 1.31]",0.0052,0.82,0.01561,firme,False
com,reguas,ST,A_posse_construcao,16,16,73.246,38.596,0.513,"[-0.21, 1.32]",0.15744,1.02,0.70732,sem diferença clara,False
com,reguas,ST,B_pressao_ritmo,16,16,63.158,60.0,-0.005,"[-0.72, 0.88]",0.98858,1.02,0.98858,sem diferença clara,False
com,reguas,ST,C_volume_fisico,16,16,65.789,56.579,0.091,"[-0.69, 0.93]",0.79924,1.02,0.95471,sem diferença clara,False
com,reguas,ST,D_explosao,16,16,56.579,52.632,0.068,"[-0.69, 0.92]",0.84863,1.02,0.95471,sem diferença clara,False
com,reguas,ST,E_qualidade_chance,16,16,71.053,69.408,0.362,"[-0.32, 1.13]",0.31436,1.02,0.70732,sem diferença clara,False
com,reguas,ST,F_solidez,16,16,73.684,64.912,0.196,"[-0.49, 1.15]",0.58362,1.02,0.87544,sem diferença clara,False
com,reguas,ST,G_bola_aerea_parada,16,16,56.908,56.579,-0.231,"[-1.14, 0.62]",0.51853,1.02,0.87544,sem diferença clara,False
com,reguas,ST,H_dinheiro,16,16,80.921,56.579,1.203,"[0.47, 2.6]",0.00191,1.02,0.01723,firme,True
com,reguas,ST,I_estabilidade_11,16,16,71.053,63.158,0.371,"[-0.35, 1.1]",0.30256,1.02,0.70732,sem diferença clara,False
com,reguas,CM,A_posse_construcao,16,48,39.474,49.561,-0.305,"[-0.86, 0.22]",0.27527,0.82,0.35392,sem diferença clara,False
com,reguas,CM,B_pressao_ritmo,16,48,41.053,54.211,-0.783,"[-1.36, -0.29]",0.0011,0.82,0.00479,firme,False
com,reguas,CM,C_volume_fisico,16,48,42.105,50.0,-0.223,"[-0.78, 0.4]",0.46405,0.82,0.46405,sem diferença clara,False
com,reguas,CM,D_explosao,16,48,36.842,51.974,-0.682,"[-1.27, -0.16]",0.01758,0.82,0.02637,firme,False
com,reguas,CM,E_qualidade_chance,16,48,27.632,47.368,-0.767,"[-1.42, -0.23]",0.00708,0.82,0.01274,firme,False
com,reguas,CM,F_solidez,16,48,28.07,50.0,-0.952,"[-1.67, -0.41]",0.00143,0.82,0.00479,firme,True
com,reguas,CM,G_bola_aerea_parada,16,48,45.395,51.974,-0.273,"[-0.85, 0.3]",0.37185,0.82,0.41833,sem diferença clara,False
com,reguas,CM,H_dinheiro,16,48,15.132,46.711,-0.815,"[-1.42, -0.26]",0.00581,0.82,0.01274,firme,False
com,reguas,CM,I_estabilidade_11,16,48,19.079,50.329,-0.995,"[-1.67, -0.38]",0.0016,0.82,0.00479,firme,True
sem,reguas,SM,A_posse_construcao,8,32,77.193,50.439,0.924,"[0.19, 1.7]",0.01924,1.14,0.0433,firme,False
