temporada,clube,faixa,trave,incompleta,pos_final,pts_1t,pts_2t,dif,pos_19,faixa_19
2022,Bahia,Sobe,False,False,3,34,28,-6,3,Sobe
2022,Londrina,Meio,False,True,9,28,24,-4,5,Meio
2022,Brusque,Cai,False,False,18,22,12,-10,12,Meio
2022,Criciúma,Meio,True,False,8,24,32,8,11,Meio
2022,Sport,Meio,True,False,7,27,30,3,7,Meio
2022,CRB,Meio,False,False,11,25,25,0,10,Meio
2022,Chapecoense,Meio,False,False,14,22,23,1,13,Meio
2022,Ituano,Meio,True,False,6,20,37,17,16,Meio
2022,Operário-PR,Cai,False,False,19,20,14,-6,15,Meio
2022,Tombense,Meio,False,True,15,28,16,-12,6,Meio
2022,Vasco,Sobe,False,False,4,35,27,-8,2,Sobe
2022,Vila Nova,Meio,False,False,13,14,33,19,20,Cai
2022,CSA,Cai,False,False,17,20,22,2,17,Cai
2022,Grêmio,Sobe,False,False,2,33,32,-1,4,Sobe
2022,Novorizontino,Meio,False,False,16,26,18,-8,8,Meio
2022,Ponte Preta,Meio,False,False,12,22,27,5,14,Meio
2022,Guarani,Meio,False,False,10,18,33,15,19,Cai
2022,Sampaio Corrêa,Meio,True,False,5,25,33,8,9,Meio
2022,Cruzeiro,Sobe,False,False,1,42,36,-6,1,Sobe
2022,Náutico,Cai,False,False,20,18,12,-6,18,Cai
2023,Guarani,Meio,False,False,10,32,25,-7,6,Meio
2023,Vitória,Sobe,False,False,1,37,35,-2,1,Sobe
2023,Criciúma,Sobe,False,False,3,34,30,-4,5,Meio
2023,Ituano,Meio,False,False,14,20,22,2,14,Meio
2023,Botafogo-SP,Meio,False,False,12,30,17,-13,9,Meio
2023,Vila Nova,Meio,True,False,8,35,26,-9,3,Sobe
2023,Londrina,Cai,False,False,19,14,17,3,19,Cai
2023,Mirassol,Meio,True,False,6,31,32,1,7,Meio
2023,Atlético-GO,Sobe,False,False,4,27,37,10,11,Meio
2023,Sampaio Corrêa,Cai,False,False,17,20,19,-1,15,Meio
2023,Sport,Meio,True,False,7,35,28,-7,4,Sobe
2023,CRB,Meio,False,False,9,24,33,9,12,Meio
2023,Juventude,Sobe,False,False,2,30,35,5,8,Meio
2023,Novorizontino,Meio,True,False,5,36,27,-9,2,Sobe
2023,ABC,Cai,False,False,20,12,16,4,20,Cai
2023,Chapecoense,Meio,False,False,16,18,22,4,17,Cai
2023,Ceará,Meio,False,False,11,28,22,-6,10,Meio
2023,Tombense,Cai,False,False,18,18,19,1,16,Meio
2023,Avaí,Meio,False,False,13,17,27,10,18,Cai
2023,Ponte Preta,Meio,False,False,15,22,20,-2,13,Meio
2024,Brusque,Cai,False,False,19,19,17,-2,18,Cai
2024,Chapecoense,Meio,False,True,15,19,25,6,17,Cai
2024,Santos,Sobe,False,False,1,34,34,0,1,Sobe
2024,Vila Nova,Meio,False,False,9,30,25,-5,5,Meio
2024,Sport,Sobe,False,False,3,32,34,2,3,Sobe
2024,Novorizontino,Meio,True,False,5,33,31,-2,2,Sobe
2024,Operário-PR,Meio,True,True,7,29,26,-3,8,Meio
2024,América-MG,Meio,True,False,8,30,28,-2,6,Meio
2024,Botafogo-SP,Meio,False,False,14,22,23,1,16,Meio
2024,Ceará,Sobe,False,False,4,29,35,6,7,Meio
2024,Coritiba,Meio,False,False,12,23,27,4,15,Meio
2024,Goiás,Meio,True,False,6,28,35,7,9,Meio
2024,Ponte Preta,Cai,False,False,17,26,12,-14,10,Meio
2024,Amazonas,Meio,False,False,11,24,28,4,13,Meio
2024,CRB,Meio,False,False,16,24,19,-5,12,Meio
2024,Avaí,Meio,False,False,10,25,28,3,11,Meio
2024,Ituano,Cai,False,False,18,13,24,11,19,Cai
2024,Mirassol,Sobe,False,False,2,32,35,3,4,Sobe
2024,Guarani,Cai,False,False,20,11,22,11,20,Cai
2024,Paysandu,Meio,False,False,13,24,26,2,14,Meio
2025,Atlético-GO,Meio,False,False,11,23,29,6,14,Meio
2025,Athletico-PR,Sobe,False,False,2,25,40,15,11,Meio
2025,Operário-PR,Meio,False,False,12,23,25,2,13,Meio
2025,América-MG,Meio,False,False,14,21,25,4,15,Meio
2025,CRB,Meio,True,False,8,25,31,6,10,Meio
2025,Coritiba,Sobe,False,False,1,35,33,-2,2,Sobe
2025,Cuiabá,Meio,False,False,10,28,26,-2,7,Meio
2025,Goiás,Meio,True,False,6,37,24,-13,1,Sobe
2025,Avaí,Meio,False,False,9,28,28,0,8,Meio
2025,Ferroviária,Cai,False,False,17,20,20,0,18,Cai
2025,Novorizontino,Meio,True,False,7,34,26,-8,3,Sobe
2025,Remo,Sobe,False,False,4,30,32,2,5,Meio
2025,Criciúma,Meio,True,False,5,29,32,3,6,Meio
2025,Paysandu,Cai,False,False,20,20,8,-12,17,Cai
2025,Amazonas,Cai,False,False,18,19,17,-2,19,Cai
2025,Botafogo-SP,Meio,False,False,16,18,24,6,20,Cai
2025,Chapecoense,Sobe,False,False,3,30,32,2,4,Sobe
2025,Vila Nova,Meio,False,False,13,27,20,-7,9,Meio
2025,Volta Redonda,Cai,False,False,19,21,15,-6,16,Meio
2025,Athletic,Meio,False,False,15,23,21,-2,12,Meio
