fronteira,familia,comparacao,indicador,unidade,n_a,n_b,clubes_a,clubes_b,cru_a,cru_b,d,ic95_d,p,limiar_visivel,d_minimo_80_se_fosse_linha,q,selo,poder_suficiente,q_linha,selo_linha,nome
com,chance_criada,PD,xg,clube-jogo,1961,1075,40,40,1.21,0.9,0.477,"[0.38, 0.58]",0.0001,0.1,0.11,0.0001,firme,True,0.0,firme,Gols esperados
com,chance_criada,PD,xg_por_remate,clube-jogo,1961,1075,40,40,0.096,0.077,0.497,"[0.41, 0.59]",0.0001,0.09,0.11,0.0001,firme,True,0.0,firme,Gol esperado por finalização
com,chance_criada,PD,dist_remate,clube-jogo,1961,1075,40,40,20.01,20.94,0.307,"[0.24, 0.38]",0.0001,0.07,0.11,0.0001,firme,True,0.0,firme,Distância média da finalização (m)
com,chance_criada,PD,toques_area,clube-jogo,1961,1075,40,40,14.0,13.0,0.17,"[0.09, 0.25]",0.0001,0.08,0.11,0.0001,firme,True,7.84e-06,firme,Toques na área
com,chance_cedida,PD,xg_contra,clube-jogo,1961,1075,40,40,0.94,1.38,0.644,"[0.57, 0.72]",0.0001,0.075,0.11,0.0001,firme,True,0.0,firme,Gols esperados sofridos
com,chance_cedida,PD,xg_por_remate_contra,clube-jogo,1961,1075,40,40,0.08,0.107,0.641,"[0.58, 0.71]",0.0001,0.065,0.11,0.0001,firme,True,0.0,firme,Gol esperado por finalização sofrida
com,chance_cedida,PD,dist_remate_contra,clube-jogo,1961,1075,40,40,20.75,19.6,0.392,"[0.33, 0.45]",0.0001,0.06,0.11,0.0001,firme,True,0.0,firme,Distância média da finalização sofrida (m)
com,chance_cedida,PD,remates_contra,clube-jogo,1961,1075,40,40,11.0,12.0,0.202,"[0.12, 0.29]",0.0001,0.085,0.11,0.0001,firme,True,6e-08,firme,Finalizações sofridas
com,com_bola,PD,posse,clube-jogo,1961,1075,40,40,48.16,52.96,-0.47,"[-0.56, -0.38]",0.0001,0.09,0.11,0.0001,firme,True,0.0,firme,Posse de bola (%)
com,com_bola,PD,passes_certos_pct,clube-jogo,1961,1075,40,40,81.68,82.78,-0.264,"[-0.34, -0.19]",0.0001,0.075,0.11,0.0001,firme,True,0.0,firme,Passes certos (%)
