fronteira,familia,comparacao,indicador,unidade,medida_nome,controle,n_a,n_b,rho_sem_controle,p_sem_controle,d,p,pontos_por_50pct,pontos_do_dinheiro_por_50pct,euro_equivalente,porta_parcial,porta_p,porta_n,porta_passa,porta_sem_dinheiro,porta_p_sem_dinheiro,porta_passa_sem_dinheiro,nome,q,selo
com,criar,PV,dist_remate,clube-temporada,"correlação parcial (posto), dado o dinheiro",tm_valor_total,80,80,0.55,0.0,0.441,4e-05,7.97,6.51,12092256,0.198,0.07888,80,False,0.289,0.00938,True,Distância média da finalização (m),8e-05,provável
com,criar,PV,E_qualidade_chance,clube-temporada,"correlação parcial (posto), dado o dinheiro",tm_valor_total,80,80,0.568,0.0,0.403,0.00021,8.51,4.85,17340247,0.057,0.61517,80,False,0.254,0.02279,True,Régua da qualidade da chance,0.00021,provável
com,ceder,PV,xg_por_remate_contra,clube-temporada,"correlação parcial (posto), dado o dinheiro",tm_valor_total,80,80,0.392,0.00032,0.384,0.00043,6.15,8.79,6919546,-0.028,0.80725,80,False,-0.026,0.82131,False,Gol esperado por finalização sofrida,0.00043,provável
com,ceder,PV,xgc_casa,clube-temporada,"correlação parcial (posto), dado o dinheiro",tm_valor_total,80,80,0.458,2e-05,0.444,4e-05,7.14,7.93,8903818,0.148,0.18899,80,False,0.134,0.23632,False,Gols esperados sofridos em casa,5e-05,provável
com,ceder,PV,F_solidez,clube-temporada,"correlação parcial (posto), dado o dinheiro",tm_valor_total,80,80,0.558,0.0,0.521,0.0,8.87,6.95,12612156,0.098,0.3879,80,False,0.129,0.25328,False,Régua da solidez,0.0,provável
com,disputa,PV,duelos_def_pct,clube-temporada,"correlação parcial (posto), dado o dinheiro",tm_valor_total,80,80,0.265,0.01771,0.254,0.02319,3.65,9.12,3961994,0.104,0.35675,80,False,0.092,0.41602,False,Divididas no chão ganhas (%),0.03478,provável
com,disputa,PV,dd_casa,clube-temporada,"correlação parcial (posto), dado o dinheiro",tm_valor_total,80,80,0.087,0.44507,0.078,0.49185,0.18,9.51,184868,0.004,0.97119,80,False,-0.026,0.8183,False,Divididas no chão ganhas em casa (%),0.49185,sem diferença clara
com,disputa,PV,dd_fora,clube-temporada,"correlação parcial (posto), dado o dinheiro",tm_valor_total,80,80,0.304,0.00612,0.316,0.00435,4.86,9.23,5206833,0.1,0.37635,80,False,0.106,0.35061,False,Divididas no chão ganhas fora (%),0.01305,provável
com,criar,PR,dist_remate,clube-temporada,"correlação parcial (posto), dado o dinheiro",H_dinheiro,80,80,0.55,0.0,0.44,4e-05,8.11,6.15,13034519,0.2,0.07557,80,False,0.289,0.00938,True,Distância média da finalização (m),9e-05,provável
com,criar,PR,E_qualidade_chance,clube-temporada,"correlação parcial (posto), dado o dinheiro",H_dinheiro,80,80,0.568,0.0,0.388,0.00038,8.76,4.59,18852396,0.078,0.49391,80,False,0.254,0.02279,True,Régua da qualidade da chance,0.00038,provável
