alvo,alvo_nome,indicador,nome,unidade,leitura,n,clubes,rho,ic95,p,sem_q
dist_remate,Distância média da própria finalização (m),posse,Posse de bola (%),clube-jogo,dentro do clube-temporada e do mando,3036,40,-0.076,"(-0.11, -0.04)",0.0005,confirma direção; a correção está na tabela de clube-temporada (regra 7 do portão)
dist_remate,Distância média da própria finalização (m),passes_pct,Passes certos (%),clube-jogo,dentro do clube-temporada e do mando,3036,40,-0.07,"(-0.1, -0.03)",0.0005,confirma direção; a correção está na tabela de clube-temporada (regra 7 do portão)
dist_remate,Distância média da própria finalização (m),passe_longo_pct,Passe longo (% dos passes),clube-jogo,dentro do clube-temporada e do mando,3036,40,0.097,"(0.07, 0.13)",0.0005,confirma direção; a correção está na tabela de clube-temporada (regra 7 do portão)
dist_remate,Distância média da própria finalização (m),compr_passe,Comprimento médio do passe (m),clube-jogo,dentro do clube-temporada e do mando,3036,40,0.063,"(0.02, 0.1)",0.001,confirma direção; a correção está na tabela de clube-temporada (regra 7 do portão)
dist_remate,Distância média da própria finalização (m),passes_progressivos,Passes progressivos por jogo,clube-jogo,dentro do clube-temporada e do mando,3036,40,-0.047,"(-0.08, -0.01)",0.014,confirma direção; a correção está na tabela de clube-temporada (regra 7 do portão)
dist_remate,Distância média da própria finalização (m),passes_terco_final,Passes para o terço final por jogo,clube-jogo,dentro do clube-temporada e do mando,3036,40,-0.106,"(-0.15, -0.07)",0.0005,confirma direção; a correção está na tabela de clube-temporada (regra 7 do portão)
dist_remate,Distância média da própria finalização (m),atq_posicional,Ataques posicionais por jogo,clube-jogo,dentro do clube-temporada e do mando,3036,40,-0.065,"(-0.12, -0.02)",0.008,confirma direção; a correção está na tabela de clube-temporada (regra 7 do portão)
dist_remate,Distância média da própria finalização (m),contra_ataques,Contra-ataques por jogo,clube-jogo,dentro do clube-temporada e do mando,3036,40,0.039,"(0.01, 0.07)",0.022,confirma direção; a correção está na tabela de clube-temporada (regra 7 do portão)
dist_remate,Distância média da própria finalização (m),cruzamentos,Cruzamentos por jogo,clube-jogo,dentro do clube-temporada e do mando,3036,40,0.021,"(-0.02, 0.06)",0.345,confirma direção; a correção está na tabela de clube-temporada (regra 7 do portão)
dist_remate,Distância média da própria finalização (m),cruz_certos_pct,Cruzamentos certos (%),clube-jogo,dentro do clube-temporada e do mando,3036,40,0.183,"(0.16, 0.21)",0.0005,confirma direção; a correção está na tabela de clube-temporada (regra 7 do portão)
dist_remate,Distância média da própria finalização (m),ppda,Passes do adversário por ação defensiva,clube-jogo,dentro do clube-temporada e do mando,3036,40,-0.032,"(-0.07, 0.01)",0.098,confirma direção; a correção está na tabela de clube-temporada (regra 7 do portão)
dist_remate,Distância média da própria finalização (m),recuperacoes,Recuperações por jogo,clube-jogo,dentro do clube-temporada e do mando,3036,40,-0.027,"(-0.06, 0.01)",0.142,confirma direção; a correção está na tabela de clube-temporada (regra 7 do portão)
dist_remate,Distância média da própria finalização (m),intensidade,Intensidade de jogo,clube-jogo,dentro do clube-temporada e do mando,3036,40,-0.026,"(-0.06, 0.01)",0.166,confirma direção; a correção está na tabela de clube-temporada (regra 7 do portão)
dist_remate,Distância média da própria finalização (m),duelos_pct,Divididas ganhas (%),clube-jogo,dentro do clube-temporada e do mando,3036,40,0.02,"(-0.01, 0.05)",0.182,confirma direção; a correção está na tabela de clube-temporada (regra 7 do portão)
dist_remate,Distância média da própria finalização (m),duelos_aereos_pct,Divididas pelo alto ganhas (%),clube-jogo,dentro do clube-temporada e do mando,3036,40,0.063,"(0.02, 0.1)",0.002,confirma direção; a correção está na tabela de clube-temporada (regra 7 do portão)
dist_remate,Distância média da própria finalização (m),bolas_paradas,Bolas paradas por jogo,clube-jogo,dentro do clube-temporada e do mando,3036,40,-0.009,"(-0.04, 0.03)",0.595,confirma direção; a correção está na tabela de clube-temporada (regra 7 do portão)
dist_remate,Distância média da própria finalização (m),cantos,Escanteios por jogo,clube-jogo,dentro do clube-temporada e do mando,3036,40,0.044,"(0.0, 0.08)",0.043,confirma direção; a correção está na tabela de clube-temporada (regra 7 do portão)
xg_por_remate_contra,Gol esperado por finalização sofrida,posse,Posse de bola (%),clube-jogo,dentro do clube-temporada e do mando,3036,40,-0.149,"(-0.18, -0.12)",0.0005,confirma direção; a correção está na tabela de clube-temporada (regra 7 do portão)
xg_por_remate_contra,Gol esperado por finalização sofrida,passes_pct,Passes certos (%),clube-jogo,dentro do clube-temporada e do mando,3036,40,-0.105,"(-0.14, -0.07)",0.0005,confirma direção; a correção está na tabela de clube-temporada (regra 7 do portão)
xg_por_remate_contra,Gol esperado por finalização sofrida,passe_longo_pct,Passe longo (% dos passes),clube-jogo,dentro do clube-temporada e do mando,3036,40,0.116,"(0.09, 0.15)",0.0005,confirma direção; a correção está na tabela de clube-temporada (regra 7 do portão)
xg_por_remate_contra,Gol esperado por finalização sofrida,compr_passe,Comprimento médio do passe (m),clube-jogo,dentro do clube-temporada e do mando,3036,40,0.056,"(0.02, 0.09)",0.007,confirma direção; a correção está na tabela de clube-temporada (regra 7 do portão)
xg_por_remate_contra,Gol esperado por finalização sofrida,passes_progressivos,Passes progressivos por jogo,clube-jogo,dentro do clube-temporada e do mando,3036,40,-0.068,"(-0.1, -0.04)",0.0005,confirma direção; a correção está na tabela de clube-temporada (regra 7 do portão)
xg_por_remate_contra,Gol esperado por finalização sofrida,passes_terco_final,Passes para o terço final por jogo,clube-jogo,dentro do clube-temporada e do mando,3036,40,-0.115,"(-0.14, -0.09)",0.0005,confirma direção; a correção está na tabela de clube-temporada (regra 7 do portão)
xg_por_remate_contra,Gol esperado por finalização sofrida,atq_posicional,Ataques posicionais por jogo,clube-jogo,dentro do clube-temporada e do mando,3036,40,-0.112,"(-0.14, -0.08)",0.0005,confirma direção; a correção está na tabela de clube-temporada (regra 7 do portão)
xg_por_remate_contra,Gol esperado por finalização sofrida,contra_ataques,Contra-ataques por jogo,clube-jogo,dentro do clube-temporada e do mando,3036,40,0.032,"(-0.01, 0.07)",0.16,confirma direção; a correção está na tabela de clube-temporada (regra 7 do portão)
xg_por_remate_contra,Gol esperado por finalização sofrida,cruzamentos,Cruzamentos por jogo,clube-jogo,dentro do clube-temporada e do mando,3036,40,-0.107,"(-0.15, -0.07)",0.0005,confirma direção; a correção está na tabela de clube-temporada (regra 7 do portão)
xg_por_remate_contra,Gol esperado por finalização sofrida,cruz_certos_pct,Cruzamentos certos (%),clube-jogo,dentro do clube-temporada e do mando,3036,40,-0.036,"(-0.07, -0.0)",0.039,confirma direção; a correção está na tabela de clube-temporada (regra 7 do portão)
xg_por_remate_contra,Gol esperado por finalização sofrida,ppda,Passes do adversário por ação defensiva,clube-jogo,dentro do clube-temporada e do mando,3036,40,-0.075,"(-0.1, -0.04)",0.0005,confirma direção; a correção está na tabela de clube-temporada (regra 7 do portão)
xg_por_remate_contra,Gol esperado por finalização sofrida,recuperacoes,Recuperações por jogo,clube-jogo,dentro do clube-temporada e do mando,3036,40,0.007,"(-0.02, 0.04)",0.641,confirma direção; a correção está na tabela de clube-temporada (regra 7 do portão)
xg_por_remate_contra,Gol esperado por finalização sofrida,intensidade,Intensidade de jogo,clube-jogo,dentro do clube-temporada e do mando,3036,40,-0.079,"(-0.11, -0.04)",0.0005,confirma direção; a correção está na tabela de clube-temporada (regra 7 do portão)
xg_por_remate_contra,Gol esperado por finalização sofrida,duelos_pct,Divididas ganhas (%),clube-jogo,dentro do clube-temporada e do mando,3036,40,0.018,"(-0.02, 0.06)",0.308,confirma direção; a correção está na tabela de clube-temporada (regra 7 do portão)
xg_por_remate_contra,Gol esperado por finalização sofrida,duelos_aereos_pct,Divididas pelo alto ganhas (%),clube-jogo,dentro do clube-temporada e do mando,3036,40,0.043,"(0.0, 0.08)",0.031,confirma direção; a correção está na tabela de clube-temporada (regra 7 do portão)
xg_por_remate_contra,Gol esperado por finalização sofrida,bolas_paradas,Bolas paradas por jogo,clube-jogo,dentro do clube-temporada e do mando,3036,40,-0.024,"(-0.06, 0.01)",0.231,confirma direção; a correção está na tabela de clube-temporada (regra 7 do portão)
xg_por_remate_contra,Gol esperado por finalização sofrida,cantos,Escanteios por jogo,clube-jogo,dentro do clube-temporada e do mando,3036,40,-0.072,"(-0.1, -0.03)",0.0005,confirma direção; a correção está na tabela de clube-temporada (regra 7 do portão)
