fronteira,familia,comparacao,indicador,unidade,medida_nome,n_a,n_b,clubes_a,clubes_b,cru_a,cru_b,d,ic95_d,p,limiar_visivel,q,selo,poder_suficiente,nome,alvo_nome,porta_parcial,porta_p,porta_passa
com,construcao,dist_remate,posse,clube-temporada,"correlação de posto com o alvo (Spearman), sinal alinhado",80,80,40,40,49.857,20.393,0.192,"[-0.06, 0.42]",0.1466,0.24,0.2932,sem diferença clara,False,Posse de bola (%),Distância média da própria finalização (m),0.115,0.31109,False
com,construcao,dist_remate,passes_pct,clube-temporada,"correlação de posto com o alvo (Spearman), sinal alinhado",80,80,40,40,81.347,20.393,0.082,"[-0.15, 0.32]",0.5174,0.235,0.7761,sem diferença clara,False,Passes certos (%),Distância média da própria finalização (m),0.024,0.83591,False
com,construcao,dist_remate,passe_longo_pct,clube-temporada,"correlação de posto com o alvo (Spearman), sinal alinhado",80,80,40,40,11.876,20.393,-0.027,"[-0.28, 0.23]",0.8368,0.255,0.9002,sem diferença clara,False,Passe longo (% dos passes),Distância média da própria finalização (m),0.07,0.53579,False
com,construcao,dist_remate,compr_passe,clube-temporada,"correlação de posto com o alvo (Spearman), sinal alinhado",80,80,40,40,20.522,20.393,-0.012,"[-0.26, 0.24]",0.9002,0.25,0.9002,sem diferença clara,False,Comprimento médio do passe (m),Distância média da própria finalização (m),-0.035,0.75832,False
com,construcao,dist_remate,passes_progressivos,clube-temporada,"correlação de posto com o alvo (Spearman), sinal alinhado",80,80,40,40,67.684,20.393,0.263,"[0.04, 0.44]",0.0212,0.2,0.0636,sem diferença clara,True,Passes progressivos por jogo,Distância média da própria finalização (m),0.143,0.20478,False
com,construcao,dist_remate,passes_terco_final,clube-temporada,"correlação de posto com o alvo (Spearman), sinal alinhado",80,80,40,40,51.145,20.393,0.298,"[0.08, 0.49]",0.0094,0.205,0.0564,sem diferença clara,True,Passes para o terço final por jogo,Distância média da própria finalização (m),0.153,0.17405,False
com,como_ataca,dist_remate,atq_posicional,clube-temporada,"correlação de posto com o alvo (Spearman), sinal alinhado",80,80,40,40,27.882,20.393,0.235,"[0.03, 0.43]",0.0238,0.2,0.031733,provável,True,Ataques posicionais por jogo,Distância média da própria finalização (m),0.214,0.05721,False
com,como_ataca,dist_remate,contra_ataques,clube-temporada,"correlação de posto com o alvo (Spearman), sinal alinhado",80,80,40,40,1.066,20.393,0.156,"[-0.08, 0.39]",0.2014,0.235,0.2014,sem diferença clara,False,Contra-ataques por jogo,Distância média da própria finalização (m),0.017,0.87792,False
com,como_ataca,dist_remate,cruzamentos,clube-temporada,"correlação de posto com o alvo (Spearman), sinal alinhado",80,80,40,40,15.513,20.393,0.333,"[0.11, 0.54]",0.0036,0.215,0.0096,provável,True,Cruzamentos por jogo,Distância média da própria finalização (m),0.106,0.35066,False
com,como_ataca,dist_remate,cruz_certos_pct,clube-temporada,"correlação de posto com o alvo (Spearman), sinal alinhado",80,80,40,40,33.013,20.393,0.365,"[0.12, 0.57]",0.0048,0.225,0.0096,provável,True,Cruzamentos certos (%),Distância média da própria finalização (m),-0.017,0.88138,False
