fronteira,familia,comparacao,indicador,unidade,n_a,n_b,clubes_a,clubes_b,cru_a,cru_b,d,ic95_d,p,limiar_visivel,d_minimo_80_se_fosse_linha,q,selo,poder_suficiente,q_linha,selo_linha,nome,q_de,citado,leitura
com,dividida,PDC,duelos_def_pct,clube-jogo,1961,1075,40,40,59.68,60.0,-0.078,"[-0.14, -0.01]",0.0246,0.065,0.11,0.03075,firme,True,0.04193131,firme,Divididas no chão ganhas (%),A15,1,dentro do clube e do mando
com,dividida,PDC,duelos_of_pct_adv,clube-jogo,1961,1075,40,40,40.3,40.0,-0.078,"[-0.14, -0.01]",0.0258,0.065,0.11,0.029,firme,True,0.04193131,firme,Divididas no chão ganhas pelo ADVERSÁRIO no ataque (%),,0,dentro do clube e do mando
com,dividida,PDC,duelos_def_n,clube-jogo,1961,1075,40,40,67.0,64.0,0.349,"[0.26, 0.43]",0.0001,0.085,0.11,0.0003,firme,True,0.0,firme,Divididas defensivas disputadas,,0,dentro do clube e do mando
sem,dividida,PDC,duelos_def_pct,clube-jogo,1075,1075,40,40,59.68,60.0,-0.086,"[-0.15, -0.02]",0.0178,0.065,0.12,0.02225,firme,True,0.04594945,firme,Divididas no chão ganhas (%),A15,1,dentro do clube e do mando
sem,dividida,PDC,duelos_of_pct_adv,clube-jogo,1075,1075,40,40,40.32,40.0,-0.086,"[-0.15, -0.02]",0.0148,0.065,0.12,0.0184,firme,True,0.04594945,firme,Divididas no chão ganhas pelo ADVERSÁRIO no ataque (%),,0,dentro do clube e do mando
sem,dividida,PDC,duelos_def_n,clube-jogo,1075,1075,40,40,68.0,64.0,0.398,"[0.29, 0.5]",0.0001,0.105,0.12,0.0003,firme,True,0.0,firme,Divididas defensivas disputadas,,0,dentro do clube e do mando
com,dividida,PDCA,duelos_def_pct,clube-jogo,1961,1075,40,40,59.68,60.0,-0.078,"[-0.14, -0.01]",0.0214,0.065,0.11,0.0216,firme,True,0.04180102,firme,Divididas no chão ganhas (%),,0,"dentro do clube, do mando E do adversário"
com,dividida,PDCA,duelos_of_pct_adv,clube-jogo,1961,1075,40,40,40.3,40.0,-0.078,"[-0.14, -0.01]",0.0216,0.065,0.11,0.0216,firme,True,0.04180102,firme,Divididas no chão ganhas pelo ADVERSÁRIO no ataque (%),,0,"dentro do clube, do mando E do adversário"
com,dividida,PDCA,duelos_def_n,clube-jogo,1961,1075,40,40,67.0,64.0,0.342,"[0.26, 0.42]",0.0001,0.08,0.11,0.0003,firme,True,0.0,firme,Divididas defensivas disputadas,,0,"dentro do clube, do mando E do adversário"
sem,dividida,PDCA,duelos_def_pct,clube-jogo,1075,1075,40,40,59.68,60.0,-0.093,"[-0.16, -0.02]",0.0102,0.07,0.12,0.0102,firme,True,0.0314359,firme,Divididas no chão ganhas (%),,0,"dentro do clube, do mando E do adversário"
sem,dividida,PDCA,duelos_of_pct_adv,clube-jogo,1075,1075,40,40,40.32,40.0,-0.093,"[-0.16, -0.02]",0.0088,0.07,0.12,0.0102,firme,True,0.0314359,firme,Divididas no chão ganhas pelo ADVERSÁRIO no ataque (%),,0,"dentro do clube, do mando E do adversário"
sem,dividida,PDCA,duelos_def_n,clube-jogo,1075,1075,40,40,68.0,64.0,0.388,"[0.29, 0.48]",0.0001,0.095,0.12,0.0003,firme,True,0.0,firme,Divididas defensivas disputadas,,0,"dentro do clube, do mando E do adversário"
