temporada,clube,faixa,trave,fronteira,dist_g4,no_recorte,jogador,posicao,setor,idade_na_temporada,sc_player_id,sc_nome,sc_short_name,wyscout_player_id,nascimento,minutos_wy,jogos_wy,fatia_pct,sc_matches,sc_min_medio,sc_min_tot,sc_poucos_jogos,tem_fisico,elegivel,titular,titular_ordem,clube_sc,clube_confere,clubes_no_ano_sc,cobertura_clube_pct,cobertura_baixa,distance_p90,running_distance_p90,m_per_min,m_per_min_tip,m_per_min_otip,hi_distance_p90,hi_count_p90,hsr_distance_p90,high_accel_p90,hi_distance_p30tip,hi_distance_p30otip,sprint_distance_p90,sprint_count_p90,sprint_count_p30tip,sprint_count_p30otip,psv99,psv99_top5,distance_p90_m60,running_distance_p90_m60,m_per_min_m60,hi_distance_p90_m60,hi_count_p90_m60,hsr_distance_p90_m60,high_accel_p90_m60,sprint_distance_p90_m60,sprint_count_p90_m60,psv99_m60,identidade
2022,Bahia,Sobe,0,0,0,1,Matheus Davó,CF,Atacante,23.0,32994,Matheus Alvarenga de Oliveira,Matheus Davó,508749,1999-08-16,2214.0,36.0,59.7,36,61.6,2218,0,1,1,1,1,,,,77.8,1,9334.23,1104.94,103.71,135.89,138.74,870.96,80.86,560.77,10.27,620.47,438.03,310.19,15.95,10.74,7.52,31.03,33.7,,,,,,,,,,,
2022,Bahia,Sobe,0,0,0,1,Hugo Rodallega,CF,Atacante,37.0,,,,,,1262.0,23.0,34.0,,,,,0,0,1,2,,,,77.8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,Bahia,Sobe,0,0,0,1,Ricardo Goulart,CF,Atacante,31.0,31919,Ricardo Goulart Pereira,Ricardo Goulart,41039,1991-06-05,1019.0,16.0,27.5,16,63.6,1017,0,1,1,0,,,,,77.8,1,9592.38,1459.97,106.58,140.9,151.43,666.39,55.72,565.82,6.99,380.47,474.72,100.57,6.72,2.78,4.58,26.38,27.52,,,,,,,,,,,
2022,Bahia,Sobe,0,0,0,1,Ytalo,CF,Atacante,34.0,11053,Ytalo José Oliveira dos Santos,Ytalo,47653,1988-01-12,90.0,4.0,2.4,3,24.2,73,1,1,0,0,,,,,77.8,1,9600.41,1375.74,106.67,141.84,144.74,674.84,60.79,590.49,8.68,514.59,373.31,84.36,7.44,4.2,1.45,26.43,26.43,,,,,,,,,,,
2022,Bahia,Sobe,0,0,0,1,Marcelo Ryan,CF,Atacante,20.0,35615,Marcelo Ryan Silvestre dos Santos,Marcelo Ryan,598595,2002-06-08,54.0,3.0,1.5,3,17.8,53,1,1,0,0,,,,,77.8,1,9956.14,1155.46,110.62,137.8,157.47,1017.34,84.22,601.31,15.16,625.33,590.52,416.03,15.16,10.86,4.37,32.47,32.47,,,,,,,,,,,
2022,Bahia,Sobe,0,0,0,1,Raí,RW,Extremo,24.0,32129,Raí Nascimento Oliveira,Raí,488751,1998-05-18,892.0,19.0,24.0,18,44.0,793,0,1,0,0,,,,,77.8,1,10372.07,1382.67,115.25,149.36,150.91,985.17,86.06,649.44,9.31,851.05,374.74,335.73,15.9,13.58,4.77,29.98,31.58,,,,,,,,,,,nome_colide
2022,Bahia,Sobe,0,0,0,1,J. Copete,LW,Extremo,34.0,31898,Jonathan Copete Valencia,J. Copete,91072,1988-01-23,617.0,14.0,16.6,13,47.2,614,0,1,0,0,,,,,77.8,1,10059.35,1403.34,111.77,136.25,145.22,820.08,70.93,623.56,7.33,509.24,408.71,196.52,11.28,7.5,3.53,28.94,30.7,,,,,,,,,,,
2022,Bahia,Sobe,0,0,0,1,Igor Torres,RW,Extremo,22.0,32910,Igor Torres Da Silva,Igor Torres,649710,2000-03-11,286.0,8.0,7.7,8,35.8,286,0,1,0,0,,,,,77.8,1,10468.9,1552.77,116.32,142.14,162.13,928.59,80.42,790.05,6.91,551.63,573.05,138.53,10.99,5.21,6.29,27.11,27.86,,,,,,,,,,,
2022,Bahia,Sobe,0,0,0,1,Everton Moraes,RW,Extremo,20.0,177448,Everton Macedo Moraes,Everton Moraes,705656,2002-05-12,161.0,7.0,4.3,7,23.2,162,1,1,0,0,,,,,77.8,1,10626.99,1513.86,118.08,157.81,163.39,1043.07,91.5,726.43,10.54,767.12,578.12,316.64,17.19,9.52,10.1,30.13,30.92,,,,,,,,,,,
2022,Bahia,Sobe,0,0,0,1,Danilo Fernandes,GK,Goleiro,34.0,,,,,,2369.0,24.0,63.9,,,,,0,0,1,1,,,,77.8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,Bahia,Sobe,0,0,0,1,Mateus Claus,GK,Goleiro,27.0,,,,,,1387.0,14.0,37.4,,,,,0,0,0,,,,,77.8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,Bahia,Sobe,0,0,0,1,Luiz Henrique,LB,Lateral,24.0,,,,,,1692.0,24.0,45.6,,,,,0,0,1,1,,,,77.8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,Bahia,Sobe,0,0,0,1,André Dhominique,RB,Lateral,18.0,175732,André Dhominique Queiroz Santiago da Silva,André Dhominique,661763,2003-10-07,1283.0,20.0,34.6,20,64.3,1285,0,1,1,1,2,,,,77.8,1,9513.24,1200.83,105.7,129.67,144.65,857.61,71.85,581.05,9.52,573.1,457.67,276.55,14.08,9.52,6.52,30.95,33.64,,,,,,,,,,,
2022,Bahia,Sobe,0,0,0,1,Matheus Bahia,LB,Lateral,22.0,32902,Matheus Bahia Santos,Matheus Bahia,485431,1999-08-11,1212.0,14.0,32.7,14,86.5,1211,0,1,1,0,,,,,77.8,1,9930.57,1284.42,110.34,141.23,143.64,794.99,71.91,563.65,7.43,438.1,490.21,231.34,12.85,6.45,7.29,30.35,31.44,,,,,,,,,,,
