subamostra,setor,comparacao,fronteira,familia,indicador,nome,n_a,n_b,clubes_a,clubes_b,pct_a,pct_b,cru_a,cru_b,d,ic95_lo,ic95_hi,p,q,d_minimo_80,poder_suficiente,selo,passou_bh,passou_bh_nos_dois_cortes,confianca_do_achado
todos,Zaga,SM,com,volume,distance_p90,Distância por 90 min (m),25,81,15,25,35.4,56.7,8746.87,8890.32,-0.397,-1.01,0.17,0.10302,0.25756,0.65,False,sem diferença clara,False,False,indício
todos,Zaga,SM,com,volume,running_distance_p90,Distância em corrida por 90 min (m),25,81,15,25,45.0,56.7,945.15,967.79,-0.132,-0.69,0.45,0.59765,0.70453,0.65,False,sem diferença clara,False,False,não separa (poder insuficiente)
todos,Zaga,SM,com,volume,m_per_min,Metros por minuto,25,81,15,25,35.4,56.7,97.19,98.78,-0.398,-1.0,0.19,0.10194,0.25756,0.65,False,sem diferença clara,False,False,indício
todos,Zaga,SM,com,volume,m_per_min_tip,Metros por minuto COM a bola,25,81,15,25,43.3,55.0,121.23,122.23,-0.332,-0.96,0.26,0.19958,0.33264,0.65,False,sem diferença clara,False,False,indício
todos,Zaga,SM,com,volume,m_per_min_otip,Metros por minuto SEM a bola,25,81,15,25,38.3,50.9,134.34,136.13,-0.09,-0.66,0.5,0.70453,0.70453,0.65,False,sem diferença clara,False,False,não separa (poder insuficiente)
todos,Zaga,CM,com,volume,distance_p90,Distância por 90 min (m),28,81,15,25,39.1,56.7,8736.43,8890.32,-0.484,-1.01,0.01,0.03108,0.04283,0.62,False,firme,True,False,indício
todos,Zaga,CM,com,volume,running_distance_p90,Distância em corrida por 90 min (m),28,81,15,25,39.2,56.7,926.375,967.79,-0.486,-1.04,0.09,0.03427,0.04283,0.62,False,firme,True,False,indício
todos,Zaga,CM,com,volume,m_per_min,Metros por minuto,28,81,15,25,39.1,56.7,97.075,98.78,-0.484,-1.05,-0.0,0.03108,0.04283,0.62,False,firme,True,False,indício
todos,Zaga,CM,com,volume,m_per_min_tip,Metros por minuto COM a bola,28,81,15,25,34.2,55.0,119.23,122.23,-0.619,-1.23,-0.04,0.00859,0.04283,0.62,False,firme,True,False,indício
todos,Zaga,CM,com,volume,m_per_min_otip,Metros por minuto SEM a bola,28,81,15,25,40.6,50.9,134.785,136.13,-0.302,-0.8,0.12,0.16593,0.16593,0.62,False,sem diferença clara,False,False,não separa (poder insuficiente)
todos,Zaga,ST,com,volume,distance_p90,Distância por 90 min (m),25,29,15,11,35.4,58.3,8746.87,8890.32,-0.36,-1.14,0.37,0.19058,0.47644,0.78,False,sem diferença clara,False,False,não separa (poder insuficiente)
todos,Zaga,ST,com,volume,running_distance_p90,Distância em corrida por 90 min (m),25,29,15,11,45.0,56.2,945.15,967.79,-0.155,-0.78,0.44,0.57442,0.57442,0.78,False,sem diferença clara,False,False,não separa (poder insuficiente)
todos,Zaga,ST,com,volume,m_per_min,Metros por minuto,25,29,15,11,35.4,58.3,97.19,98.78,-0.361,-1.13,0.38,0.18922,0.47644,0.78,False,sem diferença clara,False,False,não separa (poder insuficiente)
todos,Zaga,ST,com,volume,m_per_min_tip,Metros por minuto COM a bola,25,29,15,11,43.3,56.7,121.23,122.65,-0.22,-0.89,0.4,0.42577,0.57442,0.78,False,sem diferença clara,False,False,não separa (poder insuficiente)
todos,Zaga,ST,com,volume,m_per_min_otip,Metros por minuto SEM a bola,25,29,15,11,38.3,60.0,134.34,138.34,-0.161,-1.04,0.6,0.55828,0.57442,0.78,False,sem diferença clara,False,False,não separa (poder insuficiente)
todos,Zaga,SM,com,alta_intensidade,hi_distance_p90,Distância em alta intensidade por 90 (m),25,81,15,25,52.6,49.1,401.38,408.5,-0.144,-0.67,0.38,0.55143,0.83902,0.65,False,sem diferença clara,False,False,não separa (poder insuficiente)
todos,Zaga,SM,com,alta_intensidade,hi_count_p90,Ações em alta intensidade por 90,25,81,15,25,55.0,51.7,34.56,34.68,-0.112,-0.6,0.39,0.63994,0.83902,0.65,False,sem diferença clara,False,False,não separa (poder insuficiente)
todos,Zaga,SM,com,alta_intensidade,hsr_distance_p90,Distância em corrida de alta velocidade por 90 (m),25,81,15,25,48.3,50.9,303.87,309.77,-0.127,-0.67,0.43,0.60832,0.83902,0.65,False,sem diferença clara,False,False,não separa (poder insuficiente)
todos,Zaga,SM,com,alta_intensidade,high_accel_p90,Acelerações fortes por 90,25,81,15,25,47.5,45.6,4.92,4.76,0.128,-0.27,0.58,0.57498,0.83902,0.65,False,sem diferença clara,False,False,não separa (poder insuficiente)
todos,Zaga,SM,com,alta_intensidade,hi_distance_p30tip,Alta intensidade por 30 min COM a bola (m),25,81,15,25,58.3,50.0,137.49,125.91,-0.051,-0.52,0.48,0.83902,0.83902,0.65,False,sem diferença clara,False,False,não separa (poder insuficiente)
todos,Zaga,SM,com,alta_intensidade,hi_distance_p30otip,Alta intensidade por 30 min SEM a bola (m),25,81,15,25,58.3,50.0,332.79,329.8,-0.085,-0.65,0.51,0.72047,0.83902,0.65,False,sem diferença clara,False,False,não separa (poder insuficiente)
