setor,bloco,indicador,nome,sentido,n_sobe,mediana_pct_sobe,piso_pct,piso_em_unidade_de_jogo,sem_piso_porque,cobertura_pct,no_perfil_curto
Zaga,fisico,psv5,"Velocidade de pico, média dos 5 melhores jogos (km/h)",maior é melhor,25,71.7,70,31.4,,,1
Lateral,fisico,psv5,"Velocidade de pico, média dos 5 melhores jogos (km/h)",maior é melhor,27,55.0,55,31.42,,,1
Lateral,fisico,t_spr,Tempo até atingir o sprint (s),menor é melhor,27,56.1,55,1.23,,95.5,1
Lateral,fisico,expl,Arrancadas explosivas até o sprint por 90 min,maior é melhor,27,62.7,60,1.83,,,0
Volante,fisico,t505_90,Tempo para girar 90 graus (s),menor é melhor,21,70.4,70,1.9,,,1
Volante,fisico,expl,Arrancadas explosivas até o sprint por 90 min,maior é melhor,21,64.0,60,0.69,,,1
Volante,fisico,t505_180,Tempo para girar 180 graus (s),menor é melhor,21,70.0,70,2.63,,,0
Volante,fisico,hsr,Distância em corrida de alta velocidade por 90 min (m),maior é melhor,21,52.5,50,452.27,,,0
Volante,fisico,spr_n,Sprints por 90 min,maior é melhor,21,63.0,60,6.46,,,0
Volante,fisico,psv,Velocidade de pico da temporada (km/h),maior é melhor,21,67.5,65,27.88,,,0
Meia,fisico,t505_90,Tempo para girar 90 graus (s),menor é melhor,28,69.9,65,1.87,,,1
Meia,fisico,expl,Arrancadas explosivas até o sprint por 90 min,maior é melhor,28,58.3,55,1.11,,,1
Meia,fisico,t505_180,Tempo para girar 180 graus (s),menor é melhor,28,70.1,70,2.6,,99.6,0
Meia,fisico,hsr,Distância em corrida de alta velocidade por 90 min (m),maior é melhor,28,54.9,50,540.6,,,0
Meia,fisico,spr_n,Sprints por 90 min,maior é melhor,28,54.7,50,7.97,,,0
Meia,fisico,psv,Velocidade de pico da temporada (km/h),maior é melhor,28,54.3,50,28.27,,,0
Extremo,fisico,t505_90,Tempo para girar 90 graus (s),menor é melhor,17,70.0,70,1.85,,,1
Extremo,fisico,spr_n,Sprints por 90 min,maior é melhor,17,50.0,50,11.98,,,1
Extremo,fisico,spr_km,Distância em sprint por 90 min (m),maior é melhor,17,60.0,60,246.98,,,0
Extremo,fisico,psv5,"Velocidade de pico, média dos 5 melhores jogos (km/h)",maior é melhor,17,71.1,70,32.24,,,0
Extremo,fisico,t_hsr_cod,Tempo até a alta velocidade depois de mudar de direção (s),menor é melhor,17,58.3,55,0.63,,,0
Extremo,fisico,hsr,Distância em corrida de alta velocidade por 90 min (m),maior é melhor,17,50.0,50,605.1,,,0
