unidade,fronteira,comparacao,familia,setor,indicador,nome,n_a,n_b,clubes_a,clubes_b,pct_a,pct_b,cru_a,cru_b,d,ic95_lo,ic95_hi,p,q,d_minimo_80,poder_suficiente,passou_bh,selo
jogador-temporada,com,SM,fisico,Zaga,psv5,"Velocidade de pico, média dos 5 melhores jogos (km/h)",25,81,15,25,71.7,55.0,31.36,30.94,0.271,-0.07,0.64,0.21445,0.79428,0.65,False,False,não separa (poder insuficiente)
jogador-temporada,com,SM,fisico,Lateral,psv5,"Velocidade de pico, média dos 5 melhores jogos (km/h)",27,79,16,25,55.0,55.6,31.44,31.42,0.107,-0.32,0.56,0.65737,0.83738,0.63,False,False,não separa (poder insuficiente)
jogador-temporada,com,SM,fisico,Lateral,t_spr,Tempo até atingir o sprint (s),27,79,16,25,43.9,40.8,1.22,1.21,-0.03,-0.49,0.46,0.90596,0.95618,0.63,False,False,não separa (poder insuficiente)
jogador-temporada,com,SM,fisico,Lateral,expl,Arrancadas explosivas até o sprint por 90 min,27,79,16,25,62.7,49.0,1.97,1.63,0.056,-0.42,0.58,0.81874,0.9357,0.63,False,False,não separa (poder insuficiente)
jogador-temporada,com,SM,fisico,Volante,t505_90,Tempo para girar 90 graus (s),21,50,12,23,29.6,43.2,1.9,1.94,0.232,-0.2,0.75,0.36744,0.79428,0.74,False,False,não separa (poder insuficiente)
jogador-temporada,com,SM,fisico,Volante,expl,Arrancadas explosivas até o sprint por 90 min,21,50,12,23,64.0,37.3,0.73,0.545,0.715,0.21,1.24,0.00358,0.11445,0.74,False,False,pode ser sorte
jogador-temporada,com,SM,fisico,Volante,t505_180,Tempo para girar 180 graus (s),21,50,12,23,30.0,44.0,2.62,2.665,0.155,-0.29,0.71,0.6114,0.83738,0.74,False,False,não separa (poder insuficiente)
jogador-temporada,com,SM,fisico,Volante,hsr,Distância em corrida de alta velocidade por 90 min (m),21,50,12,23,52.5,45.5,452.56,442.08,0.14,-0.39,0.7,0.59718,0.83738,0.74,False,False,não separa (poder insuficiente)
jogador-temporada,com,SM,fisico,Volante,spr_n,Sprints por 90 min,21,50,12,23,63.0,42.1,6.38,5.4,0.444,-0.04,0.97,0.0792,0.63364,0.74,False,False,não separa (poder insuficiente)
jogador-temporada,com,SM,fisico,Volante,psv,Velocidade de pico da temporada (km/h),21,50,12,23,67.5,44.2,27.92,27.49,0.576,0.04,1.22,0.02341,0.37449,0.74,False,False,pode ser sorte
jogador-temporada,com,SM,fisico,Meia,t505_90,Tempo para girar 90 graus (s),28,75,16,24,30.1,41.7,1.86,1.88,0.271,-0.15,0.7,0.2094,0.79428,0.63,False,False,não separa (poder insuficiente)
jogador-temporada,com,SM,fisico,Meia,expl,Arrancadas explosivas até o sprint por 90 min,28,75,16,24,58.3,52.6,1.005,1.01,0.083,-0.32,0.5,0.70654,0.83738,0.63,False,False,não separa (poder insuficiente)
jogador-temporada,com,SM,fisico,Meia,t505_180,Tempo para girar 180 graus (s),28,75,16,24,29.9,49.2,2.615,2.65,0.337,-0.02,0.75,0.13207,0.70436,0.63,False,False,não separa (poder insuficiente)
jogador-temporada,com,SM,fisico,Meia,hsr,Distância em corrida de alta velocidade por 90 min (m),28,75,16,24,54.9,54.3,552.87,553.29,0.125,-0.23,0.53,0.58841,0.83738,0.63,False,False,não separa (poder insuficiente)
jogador-temporada,com,SM,fisico,Meia,spr_n,Sprints por 90 min,28,75,16,24,54.7,53.0,7.79,8.63,0.012,-0.42,0.46,0.95618,0.95618,0.63,False,False,não separa (poder insuficiente)
jogador-temporada,com,SM,fisico,Meia,psv,Velocidade de pico da temporada (km/h),28,75,16,24,54.3,58.6,28.42,28.43,-0.014,-0.47,0.41,0.95143,0.95618,0.63,False,False,não separa (poder insuficiente)
jogador-temporada,com,SM,fisico,Extremo,t505_90,Tempo para girar 90 graus (s),17,53,10,17,30.0,46.7,1.85,1.89,0.538,-0.0,1.12,0.04011,0.42782,0.79,False,False,pode ser sorte
jogador-temporada,com,SM,fisico,Extremo,spr_n,Sprints por 90 min,17,53,10,17,50.0,45.0,12.04,11.78,0.283,-0.1,0.69,0.33986,0.79428,0.79,False,False,não separa (poder insuficiente)
jogador-temporada,com,SM,fisico,Extremo,spr_km,Distância em sprint por 90 min (m),17,53,10,17,60.0,46.7,269.3,220.78,0.146,-0.28,0.52,0.61027,0.83738,0.79,False,False,não separa (poder insuficiente)
jogador-temporada,com,SM,fisico,Extremo,psv5,"Velocidade de pico, média dos 5 melhores jogos (km/h)",17,53,10,17,71.1,45.0,32.28,31.44,0.48,0.02,1.02,0.1067,0.68287,0.79,False,False,não separa (poder insuficiente)
jogador-temporada,com,SM,fisico,Extremo,t_hsr_cod,Tempo até a alta velocidade depois de mudar de direção (s),17,53,10,17,41.7,50.0,0.63,0.64,0.194,-0.44,0.85,0.51534,0.83738,0.79,False,False,não separa (poder insuficiente)
jogador-temporada,com,SM,fisico,Extremo,hsr,Distância em corrida de alta velocidade por 90 min (m),17,53,10,17,50.0,50.0,622.98,609.69,0.175,-0.41,0.72,0.58416,0.83738,0.79,False,False,não separa (poder insuficiente)
jogador-temporada,com,SM,fisico,Extremo,psv,Velocidade de pico da temporada (km/h),17,53,10,17,69.7,46.7,29.89,29.37,0.299,-0.1,0.74,0.32533,0.79428,0.79,False,False,não separa (poder insuficiente)
jogador-temporada,com,SM,fisico,Extremo,expl,Arrancadas explosivas até o sprint por 90 min,17,53,10,17,53.3,46.2,2.01,1.78,0.242,-0.16,0.64,0.39714,0.79428,0.79,False,False,não separa (poder insuficiente)
jogador-temporada,com,SM,fisico,Atacante,t505_90,Tempo para girar 90 graus (s),23,76,14,25,41.2,44.9,1.86,1.89,0.12,-0.43,0.64,0.64776,0.83738,0.67,False,False,não separa (poder insuficiente)
jogador-temporada,com,SM,fisico,Atacante,spr_n,Sprints por 90 min,23,76,14,25,62.5,52.7,11.54,11.04,0.275,-0.1,0.65,0.26939,0.79428,0.67,False,False,não separa (poder insuficiente)
jogador-temporada,com,SM,fisico,Atacante,spr_km,Distância em sprint por 90 min (m),23,76,14,25,60.0,52.7,208.83,190.975,0.249,-0.11,0.59,0.32757,0.79428,0.67,False,False,não separa (poder insuficiente)
jogador-temporada,com,SM,fisico,Atacante,psv5,"Velocidade de pico, média dos 5 melhores jogos (km/h)",23,76,14,25,48.7,56.2,31.02,31.08,0.028,-0.3,0.35,0.91396,0.95618,0.67,False,False,não separa (poder insuficiente)
jogador-temporada,com,SM,fisico,Atacante,t_hsr_cod,Tempo até a alta velocidade depois de mudar de direção (s),23,76,14,25,45.0,43.8,0.68,0.67,0.198,-0.19,0.64,0.38239,0.79428,0.67,False,False,não separa (poder insuficiente)
jogador-temporada,com,SM,fisico,Atacante,hsr,Distância em corrida de alta velocidade por 90 min (m),23,76,14,25,55.0,47.3,534.45,523.03,0.249,-0.28,0.8,0.30607,0.79428,0.67,False,False,não separa (poder insuficiente)
jogador-temporada,com,SM,fisico,Atacante,psv,Velocidade de pico da temporada (km/h),23,76,14,25,59.0,50.0,29.01,28.815,0.172,-0.13,0.49,0.50949,0.83738,0.67,False,False,não separa (poder insuficiente)
jogador-temporada,com,SM,fisico,Atacante,expl,Arrancadas explosivas até o sprint por 90 min,23,76,14,25,62.5,49.4,1.72,1.54,0.095,-0.27,0.46,0.69741,0.83738,0.67,False,False,não separa (poder insuficiente)
jogador-temporada,sem,SM,fisico,Zaga,psv5,"Velocidade de pico, média dos 5 melhores jogos (km/h)",13,54,8,21,71.9,45.8,31.46,30.75,0.539,0.07,1.1,0.06588,0.52292,0.88,False,False,não separa (poder insuficiente)
jogador-temporada,sem,SM,fisico,Lateral,psv5,"Velocidade de pico, média dos 5 melhores jogos (km/h)",14,53,8,21,58.0,59.3,31.46,31.6,0.049,-0.56,0.75,0.8754,0.92697,0.85,False,False,não separa (poder insuficiente)
jogador-temporada,sem,SM,fisico,Lateral,t_spr,Tempo até atingir o sprint (s),14,53,8,21,49.0,40.8,1.23,1.21,-0.204,-0.99,0.55,0.53991,0.92697,0.85,False,False,não separa (poder insuficiente)
jogador-temporada,sem,SM,fisico,Lateral,expl,Arrancadas explosivas até o sprint por 90 min,14,53,8,21,60.1,49.0,1.86,1.63,-0.043,-0.8,0.84,0.898,0.92697,0.85,False,False,não separa (poder insuficiente)
jogador-temporada,sem,SM,fisico,Volante,t505_90,Tempo para girar 90 graus (s),12,40,7,19,20.4,43.8,1.88,1.94,0.641,-0.01,1.42,0.04301,0.52292,0.94,False,False,pode ser sorte
jogador-temporada,sem,SM,fisico,Volante,expl,Arrancadas explosivas até o sprint por 90 min,12,40,7,19,56.8,40.8,0.68,0.575,0.447,-0.21,1.07,0.15395,0.54739,0.94,False,False,não separa (poder insuficiente)
jogador-temporada,sem,SM,fisico,Volante,t505_180,Tempo para girar 180 graus (s),12,40,7,19,19.0,44.0,2.61,2.66,0.593,-0.04,1.4,0.10371,0.5237,0.94,False,False,não separa (poder insuficiente)
jogador-temporada,sem,SM,fisico,Volante,hsr,Distância em corrida de alta velocidade por 90 min (m),12,40,7,19,66.4,43.8,471.96,434.565,0.519,-0.1,1.24,0.11456,0.5237,0.94,False,False,não separa (poder insuficiente)
jogador-temporada,sem,SM,fisico,Volante,spr_n,Sprints por 90 min,12,40,7,19,71.4,43.7,6.755,5.61,0.606,-0.02,1.33,0.07345,0.52292,0.94,False,False,não separa (poder insuficiente)
jogador-temporada,sem,SM,fisico,Volante,psv,Velocidade de pico da temporada (km/h),12,40,7,19,59.8,52.1,27.83,27.625,0.202,-0.47,0.88,0.54728,0.92697,0.94,False,False,não separa (poder insuficiente)
jogador-temporada,sem,SM,fisico,Meia,t505_90,Tempo para girar 90 graus (s),15,48,8,19,25.7,39.9,1.85,1.88,0.417,-0.18,0.99,0.15235,0.54739,0.84,False,False,não separa (poder insuficiente)
jogador-temporada,sem,SM,fisico,Meia,expl,Arrancadas explosivas até o sprint por 90 min,15,48,8,19,65.2,59.2,1.22,1.075,0.225,-0.39,0.84,0.46431,0.92697,0.84,False,False,não separa (poder insuficiente)
jogador-temporada,sem,SM,fisico,Meia,t505_180,Tempo para girar 180 graus (s),15,48,8,19,21.4,38.8,2.57,2.63,0.513,0.03,0.99,0.06712,0.52292,0.84,False,False,não separa (poder insuficiente)
jogador-temporada,sem,SM,fisico,Meia,hsr,Distância em corrida de alta velocidade por 90 min (m),15,48,8,19,56.9,55.8,561.14,555.74,0.083,-0.54,0.8,0.79637,0.92697,0.84,False,False,não separa (poder insuficiente)
jogador-temporada,sem,SM,fisico,Meia,spr_n,Sprints por 90 min,15,48,8,19,61.1,63.1,9.59,9.575,-0.064,-0.8,0.71,0.84954,0.92697,0.84,False,False,não separa (poder insuficiente)
jogador-temporada,sem,SM,fisico,Meia,psv,Velocidade de pico da temporada (km/h),15,48,8,19,65.3,64.7,28.68,28.855,-0.147,-0.9,0.54,0.65111,0.92697,0.84,False,False,não separa (poder insuficiente)
jogador-temporada,sem,SM,fisico,Extremo,t505_90,Tempo para girar 90 graus (s),8,32,5,13,27.5,56.5,1.84,1.915,0.803,-0.2,1.75,0.08171,0.52292,1.14,False,False,não separa (poder insuficiente)
jogador-temporada,sem,SM,fisico,Extremo,spr_n,Sprints por 90 min,8,32,5,13,60.0,55.8,13.395,12.71,0.154,-0.54,0.63,0.67048,0.92697,1.14,False,False,não separa (poder insuficiente)
jogador-temporada,sem,SM,fisico,Extremo,spr_km,Distância em sprint por 90 min (m),8,32,5,13,62.5,50.0,282.32,227.445,0.009,-0.6,0.5,0.98017,0.98017,1.14,False,False,não separa (poder insuficiente)
jogador-temporada,sem,SM,fisico,Extremo,psv5,"Velocidade de pico, média dos 5 melhores jogos (km/h)",8,32,5,13,71.7,52.5,32.22,31.7,0.489,-0.28,1.18,0.20856,0.6674,1.14,False,False,não separa (poder insuficiente)
jogador-temporada,sem,SM,fisico,Extremo,t_hsr_cod,Tempo até a alta velocidade depois de mudar de direção (s),8,32,5,13,48.3,45.5,0.64,0.63,-0.273,-1.08,0.61,0.49291,0.92697,1.14,False,False,não separa (poder insuficiente)
jogador-temporada,sem,SM,fisico,Extremo,hsr,Distância em corrida de alta velocidade por 90 min (m),8,32,5,13,48.3,51.7,603.11,609.76,0.126,-0.65,0.8,0.76249,0.92697,1.14,False,False,não separa (poder insuficiente)
jogador-temporada,sem,SM,fisico,Extremo,psv,Velocidade de pico da temporada (km/h),8,32,5,13,60.0,57.5,29.93,29.63,0.328,-0.27,0.95,0.40061,0.92697,1.14,False,False,não separa (poder insuficiente)
jogador-temporada,sem,SM,fisico,Extremo,expl,Arrancadas explosivas até o sprint por 90 min,8,32,5,13,49.2,57.2,2.01,2.18,-0.103,-0.78,0.4,0.78353,0.92697,1.14,False,False,não separa (poder insuficiente)
jogador-temporada,sem,SM,fisico,Atacante,t505_90,Tempo para girar 90 graus (s),12,54,7,20,66.1,41.6,1.925,1.89,-0.167,-1.01,0.66,0.68422,0.92697,0.91,False,False,não separa (poder insuficiente)
jogador-temporada,sem,SM,fisico,Atacante,spr_n,Sprints por 90 min,12,54,7,20,66.7,52.7,12.59,11.225,0.14,-0.48,0.63,0.6994,0.92697,0.91,False,False,não separa (poder insuficiente)
jogador-temporada,sem,SM,fisico,Atacante,spr_km,Distância em sprint por 90 min (m),12,54,7,20,71.8,51.5,248.865,196.365,0.235,-0.41,0.76,0.51977,0.92697,0.91,False,False,não separa (poder insuficiente)
