ano_chegada,clube,jogador,setor,faixa_do_clube,fronteira,clube_antes,minutos_antes,minutos,jogos,permanencia,aprovado_perfil_completo,aprovado_fisico,aprovado_duelo_corpo,aprovado_estilo_tecnico,aprovado_minutagem,indicadores_com_dado
2023,ABC,Romário,Lateral,Cai,False,Novorizontino,2215.0,1725.0,20.0,0.0,False,,False,True,False,4
2023,ABC,Alex Silva,Lateral,Cai,False,Vila Nova,2599.0,918.0,10.0,0.0,False,False,False,True,False,6
2023,ABC,Júnior Todinho,Atacante,Cai,False,Brusque,973.0,619.0,10.0,0.0,False,False,True,True,False,6
2023,ABC,Léo Ceará,Atacante,Cai,False,Ituano,989.0,461.0,7.0,0.0,False,False,True,False,False,6
2023,Atlético-GO,Marcos Serrato,Meia,Sobe,True,Criciúma,1604.0,67.0,6.0,0.0,False,False,False,False,False,6
2023,Avaí,Igor Inocêncio,Lateral,Meio,False,CSA,1597.0,2044.0,25.0,0.0,False,False,False,False,False,6
2023,Avaí,Gabriel Poveda,Atacante,Meio,False,Sampaio Corrêa,3122.0,1313.0,19.0,100.0,False,False,True,False,False,6
2023,Avaí,Jean Lucas,Extremo,Meio,False,Tombense,2527.0,797.0,9.0,100.0,False,False,False,True,False,6
2023,Avaí,Dentinho,Meia,Meio,False,Vila Nova,920.0,731.0,14.0,0.0,False,False,True,False,False,6
2023,Avaí,Giva,Meia,Meio,False,CSA,1609.0,544.0,10.0,0.0,False,False,False,False,False,6
2023,Botafogo-SP,Thassio,Lateral,Meio,False,Náutico,1090.0,2404.0,30.0,100.0,False,False,True,True,False,6
2023,Botafogo-SP,Lucas Dias,Zaga,Meio,False,Ituano,2107.0,1400.0,17.0,0.0,False,True,False,True,False,5
2023,CRB,Fabio Alemão,Zaga,Meio,False,Sport,1144.0,2184.0,24.0,100.0,False,False,False,True,False,5
2023,CRB,Anderson Conceição,Zaga,Meio,False,Vasco,3493.0,1760.0,20.0,0.0,False,True,False,True,False,5
2023,CRB,Saimon,Zaga,Meio,False,Londrina,3137.0,1189.0,18.0,100.0,False,False,False,True,False,5
2023,CRB,Edimar,Lateral,Meio,False,Vasco,3188.0,1153.0,17.0,0.0,False,False,False,True,False,6
2023,Ceará,Janderson,Meia,Meio,False,Grêmio,954.0,1654.0,33.0,100.0,False,False,False,False,False,6
2023,Ceará,Willian Formiga,Lateral,Meio,False,Vila Nova,2787.0,863.0,14.0,0.0,False,False,True,True,False,6
2023,Ceará,Chrystian Barletta,Extremo,Meio,False,Chapecoense,1922.0,731.0,11.0,0.0,False,False,True,False,False,6
2023,Ceará,André Luiz,Goleiro,Meio,False,Sampaio Corrêa,3136.0,576.0,6.0,0.0,False,False,False,False,False,6
2023,Ceará,Arthur Rezende,Volante,Meio,False,Vila Nova,2653.0,310.0,6.0,0.0,False,False,False,False,False,6
2023,Ceará,Luvannor,Meia,Meio,False,Cruzeiro,1800.0,167.0,5.0,0.0,True,True,True,True,False,6
2023,Chapecoense,Giovanni Pavani,Meia,Meio,True,Operário-PR,1840.0,2578.0,32.0,0.0,False,False,False,False,False,6
2023,Chapecoense,Felipe Albuquerque,Lateral,Meio,True,Novorizontino,996.0,1443.0,22.0,0.0,True,True,True,True,False,6
2023,Chapecoense,Kayke,Atacante,Meio,True,Sport,1433.0,1441.0,24.0,0.0,False,False,True,False,False,6
2023,Chapecoense,Dudu Vieira,Meia,Meio,True,Ituano,941.0,991.0,16.0,0.0,False,False,True,False,False,6
2023,Chapecoense,Victor Ferraz,Extremo,Meio,True,Náutico,2347.0,829.0,11.0,0.0,False,False,True,True,False,5
2023,Chapecoense,Douglas Borel,Lateral,Meio,True,Bahia,1110.0,673.0,12.0,0.0,False,False,False,True,False,6
2023,Chapecoense,Kaio Mendes,Lateral,Meio,True,Ituano,2336.0,642.0,12.0,0.0,False,False,False,True,False,6
2023,Chapecoense,Richard Rodrigues,Meia,Meio,True,CRB,1388.0,637.0,12.0,0.0,False,False,False,False,False,6
2023,Chapecoense,Gabriel Xavier,Meia,Meio,True,Bahia,1046.0,269.0,9.0,0.0,False,False,False,True,False,5
2023,Chapecoense,Fabiano,Lateral,Meio,True,Operário-PR,3403.0,257.0,5.0,0.0,False,False,True,False,False,6
2023,Chapecoense,Tomás Bastos,Meia,Meio,True,Operário-PR,1326.0,145.0,4.0,0.0,False,False,False,False,False,6
2023,Guarani,Pegorari,Goleiro,Meio,False,Ituano,1792.0,2488.0,26.0,100.0,False,,True,False,False,4
2023,Guarani,J. Victor,Meia,Meio,False,Ituano,1011.0,2084.0,33.0,100.0,False,False,False,False,False,6
2023,Guarani,Wálber,Zaga,Meio,False,Novorizontino,1863.0,1162.0,13.0,0.0,False,False,False,False,False,5
2023,Guarani,Lucas Araújo,Volante,Meio,False,Sampaio Corrêa,1156.0,1090.0,25.0,100.0,False,False,True,False,False,6
2023,Ituano,Felipe Saraiva,Meia,Meio,True,Operário-PR,1010.0,1999.0,28.0,0.0,False,False,False,True,False,6
2023,Ituano,Quirino,Atacante,Meio,True,Novorizontino,1448.0,1634.0,30.0,0.0,False,,True,False,False,4
