jogador,clube,setor,posicao,idade,minutos,jogos,fatia_pct,minutagem_alta,minutagem_regular,temporadas_com_dado,contrato_tm,contrato_wy,livre_tm,livre_wy,fontes_concordam,emprestado,nascido_em,estrangeiro,dupla_nacionalidade,tem_fisico,sc_matches,lesao_dias,lesao_jogos,lesao_n,indicadores_com_dado,violados,atende_perfil,atende_fisico,atende_duelo_corpo,atende_estilo_tecnico
Felipe Amaral,América-MG,Volante,DMF,23.0,1586.0,24.0,59.2,True,False,3,31/12/2027,2027-12-31,False,False,True,sim,Brazil,False,False,True,23.0,0,0,0,6,6,False,False,False,False
Rafael Barcelos,América-MG,Zaga,LCB,22.0,1519.0,16.0,56.7,False,False,2,,2026-12-31,False,True,False,sim,Brazil,False,False,True,16.0,0,0,0,5,3,False,False,False,False
Dalbert,América-MG,Lateral,LB,32.0,1423.0,17.0,53.1,True,False,3,,2026-11-30,False,True,False,sim,Brazil,False,False,True,16.0,0,0,0,6,2,False,True,False,False
G. Mastriani,América-MG,Atacante,CF,33.0,1408.0,21.0,52.5,True,False,1,,2026-12-31,False,True,False,sim,Uruguay,True,True,True,20.0,0,0,0,6,2,False,False,True,False
M. Segovia,América-MG,Extremo,RW,23.0,1303.0,19.0,48.6,True,False,1,,2026-12-31,False,True,False,sim,Paraguay,True,False,True,15.0,0,0,0,6,2,False,True,False,True
Ricardo Silva,América-MG,Zaga,RCB,34.0,1252.0,13.0,46.7,False,True,3,30/11/2026,2026-11-30,True,True,True,sim,Brazil,False,False,True,12.0,0,0,0,5,2,False,False,True,False
Willian,América-MG,Atacante,CF,39.0,1234.0,22.0,46.0,True,True,3,,2026-11-30,False,True,False,sim,Brazil,False,False,True,20.0,0,0,0,6,3,False,False,False,True
Paulo Victor,América-MG,Atacante,CF,25.0,1104.0,18.0,41.2,True,False,2,31/12/2026,2026-12-31,True,True,True,sim,Brazil,False,False,True,20.0,0,0,0,6,3,False,False,False,False
Alex Silva,América-MG,Lateral,RB,32.0,1084.0,14.0,40.4,False,False,3,30/11/2027,2027-11-30,False,False,True,sim,Brazil,False,False,True,14.0,0,0,0,6,3,False,False,False,True
Yago,América-MG,Meia,LCMF,20.0,1010.0,18.0,37.7,False,False,2,,2028-12-31,False,False,False,sim,Brazil,False,False,True,12.0,0,0,0,6,3,False,False,False,False
G. Barros,América-MG,Extremo,LW,24.0,991.0,15.0,37.0,True,False,3,,2027-12-31,False,False,False,sim,Brazil,False,False,True,14.0,0,0,0,6,4,False,True,False,False
Guilherme Parede,América-MG,Extremo,LW,30.0,870.0,11.0,32.5,True,True,2,31/12/2027,2027-12-31,False,False,True,sim,Brazil,False,False,True,11.0,0,0,0,0,0,,,,
Jhonny,América-MG,Lateral,RB,24.0,834.0,11.0,31.1,False,False,3,,2027-12-31,False,False,False,sim,Brazil,False,False,True,8.0,0,0,0,0,0,,,,
Manoel,América-MG,Zaga,LCB,36.0,833.0,9.0,31.1,False,False,1,30/11/2026,2026-11-30,True,True,True,sim,Brazil,False,False,True,8.0,68.0,22.0,1,0,0,,,,
Eduardo Person,América-MG,Meia,RCMF,29.0,725.0,11.0,27.0,False,False,3,30/11/2026,2026-11-30,True,True,True,sim,Brazil,False,False,True,10.0,0,0,0,0,0,,,,
Éverton Brito,América-MG,Extremo,RW,31.0,709.0,10.0,26.4,False,False,2,,2026-12-31,False,True,False,sim,Brazil,False,False,True,9.0,0,0,0,0,0,,,,
Alê,América-MG,Volante,DMF,36.0,684.0,11.0,25.5,False,False,2,30/11/2026,2026-11-30,True,True,True,sim,Brazil,False,False,True,10.0,0,0,0,0,0,,,,
Léo Alaba,América-MG,Lateral,RB,27.0,660.0,9.0,24.6,False,False,2,,2027-06-30,False,False,False,sim,Brazil,False,False,True,9.0,0,0,0,0,0,,,,
Thauan,América-MG,Extremo,LW,22.0,606.0,10.0,22.6,False,False,3,,2027-12-31,False,False,False,sim,Brazil,False,False,True,10.0,0,0,0,0,0,,,,
F. Elizari,América-MG,Meia,LCMF,35.0,590.0,12.0,22.0,False,False,3,,2026-11-30,False,True,False,sim,Argentina,True,False,True,12.0,0,0,0,0,0,,,,
T. Ostchega,América-MG,Lateral,LB,28.0,550.0,7.0,20.5,False,False,1,,2026-11-30,False,True,False,sim,Argentina,True,False,True,7.0,0,0,0,0,0,,,,
L. Sosa,América-MG,Zaga,LCB,32.0,526.0,6.0,19.6,False,False,1,,2027-11-30,False,False,False,sim,Argentina,True,True,True,6.0,0,0,0,0,0,,,,
Bruno Brígido,América-MG,Goleiro,GK,35.0,500.0,5.0,18.6,False,False,1,30/11/2026,2026-11-30,True,True,True,sim,Brazil,False,False,False,,0,0,0,0,0,,,,
Barreto,América-MG,Volante,RDMF,30.0,500.0,6.0,18.6,False,False,2,,,False,False,False,sim,Brazil,False,True,True,6.0,0,0,0,0,0,,,,
Emerson Santos,América-MG,Zaga,LCB,31.0,496.0,7.0,18.5,False,False,3,,2026-11-30,False,True,False,sim,Brazil,False,False,True,6.0,0,0,0,0,0,,,,
J. Jiménez,América-MG,Volante,DMF,33.0,491.0,13.0,18.3,False,False,3,,2026-11-30,False,True,False,sim,Paraguay,True,False,True,12.0,0,0,0,0,0,,,,
Paulinho,América-MG,Lateral,LB,22.0,458.0,7.0,17.1,False,False,3,31/12/2030,2030-12-31,False,False,True,sim,Brazil,False,False,True,6.0,0,0,0,0,0,,,,
