setor,posicao,jogador,clube,idade,minutos,jogos,fatia_pct,temporadas_com_dado,lesao_dias,lesao_jogos,lesao_n,estrangeiro,dupla_nacionalidade,tem_fisico,indicadores_com_dado,violados,atende_perfil,atende_fisico,atende_duelo_corpo,atende_estilo_tecnico,id_tm,contrato_confirmado,pk_app,motivo_sem_par
Goleiro,GK,Paulo Vítor,Atlético-GO,37.0,2402.0,24.0,90.2,2,28.0,5.0,1,False,False,False,4,1,False,,True,False,,false,Paulo Vítor - Atlético GO - Brasil B,
Zaga,LCB,Vilar,Botafogo-SP,26.0,2612.0,26.0,95.6,3,0,0,0,False,False,True,5,2,False,True,False,False,978269,true,Vilar - Botafogo SP - Brasil B,
Zaga,RCB,César Martins,Criciúma,33.0,2035.0,21.0,78.1,3,33.0,4.0,1,False,False,True,5,2,False,True,False,True,269467,true,César Martins - Criciúma - Brasil B,
Zaga,RCB,Éder,Ceará,31.0,2021.0,20.0,82.9,2,0,0,0,False,False,True,5,3,False,True,False,False,375690,true,Éder - Ceará - Brasil B,
Zaga,LCB,Miranda,Operário-PR,26.0,1945.0,20.0,71.5,3,0,0,0,False,False,True,5,3,False,False,False,True,412376,true,Miranda - Operário PR - Brasil B,
Zaga,LCB,Luciano Castán,Criciúma,36.0,1841.0,19.0,70.6,3,0,0,0,False,True,True,5,2,False,False,False,True,140541,true,Luciano Castán - Criciúma - Brasil B,
Zaga,RCB,Tiago Pagnussat,Vila Nova,36.0,1770.0,21.0,66.8,3,0,0,0,False,True,True,5,1,False,False,True,True,346729,true,Tiago Pagnussat - Vila Nova - Brasil B,
Zaga,LCB,Lucas Ribeiro,Goiás,27.0,1499.0,19.0,55.5,3,0,0,0,False,False,True,5,1,False,True,False,True,605893,true,Lucas Ribeiro - Goias - Brasil B,
Zaga,RCB,Ricardo Silva,América-MG,34.0,1252.0,13.0,46.7,3,0,0,0,False,False,True,5,2,False,False,True,False,206097,true,Ricardo Silva - América Mineiro - Brasil B,
Lateral,LB,Patrick Brey,Botafogo-SP,29.0,2301.0,23.0,84.2,3,0,0,0,False,True,True,6,3,False,False,True,False,435170,true,Patrick Brey - Botafogo SP - Brasil B,
Lateral,RWB,Willean Lepo,Criciúma,29.0,1710.0,22.0,65.6,2,0,0,0,False,False,True,6,3,False,False,True,False,544464,false,Willean Lepo - Criciúma - Brasil B,
Lateral,LB,Zeca,Athletic,32.0,1569.0,20.0,57.3,3,0,0,0,False,False,True,6,3,False,False,False,True,325196,true,Zeca - Athletic Club - Brasil B,
Lateral,RB,Rodrigo Soares,Goiás,33.0,1415.0,21.0,52.4,3,0,0,0,False,False,True,6,2,False,False,True,True,388236,true,Rodrigo Soares - Goiás - Brasil B,
Lateral,RB,Hereda,CRB,27.0,1404.0,20.0,51.8,2,0,0,0,False,False,True,6,1,False,True,False,True,634139,true,Hereda - CRB - Brasil B,
Lateral,LB,Sánchez,Ceará,30.0,1194.0,18.0,49.0,2,0,0,0,False,False,True,6,3,False,False,True,False,375241,true,Sánchez - Ceará - Brasil B,
Lateral,LB,Sander,Novorizontino,35.0,615.0,7.0,21.9,3,0,0,0,False,False,True,0,0,,,,,353722,true,Sander - Grêmio Novorizontino - Brasil B,
Lateral,LB,Reverson,CRB,29.0,566.0,10.0,20.9,3,0,0,0,False,False,True,0,0,,,,,642570,true,Reverson - CRB - Brasil B,
Lateral,RB,Marcos Vinicius,Goiás,29.0,310.0,7.0,11.5,3,0,0,0,False,False,True,0,0,,,,,594006,false,Marcos Vinicius - Goias - Brasil B,
Volante,DMF,Matheus Trindade,Operário-PR,30.0,2067.0,26.0,75.9,3,0,0,0,False,False,True,6,5,False,False,False,False,395060,true,Matheus Trindade - Operário PR - Brasil B,
Volante,RDMF,Foguinho,São Bernardo,34.0,1914.0,23.0,72.9,2,0,0,0,False,False,True,6,4,False,False,False,False,268572,true,Foguinho - São Bernardo FC - Brasil B,
Volante,LDMF,Filipe Machado,Goiás,30.0,1855.0,21.0,68.7,2,0,0,0,False,False,True,6,2,False,False,True,True,520629,false,Filipe Machado - Goiás - Brasil B,
Volante,LDMF,Léo Naldi,Novorizontino,25.0,1795.0,23.0,64.0,2,0,0,0,False,False,True,6,5,False,False,False,False,859135,false,Léo Naldi - Grêmio Novorizontino - Brasil B,
Volante,RDMF,Zé Ricardo,Avaí,30.0,1697.0,20.0,61.2,3,0,0,0,False,False,True,6,5,False,False,False,False,476336,true,Zé Ricardo - Avaí - Brasil B,
Volante,RDMF,Igor Henrique,Atlético-GO,34.0,715.0,13.0,26.8,3,0,0,0,False,False,True,0,0,,,,,,false,Igor Henrique - Atlético GO - Brasil B,
