setor,bloco,posicao_wy,origem,mercado,passaporte,posto,jogador,clube,liga,idade,minutos,fatia_pct,com_dado,atende,aderencia_eixo,aderencia_eixo_origem,desconto_do_eixo,aderencia_desempate,aderencia,folga,criterios_do_eixo,eixo_detalhe,contrato,livre,estrangeiro,fisico_verificado,forca_do_fator,detalhe
Goleiro,Goleiro,GK,Série B,Série B,,1,Paulo Vítor,Atlético-GO,Série B,37.0,2402.0,90.2,2,1,72.6,,,63.1,57.7,-0.1,2,Toques na área/90 50; Passes progressivos/90 95,2026-11-30,True,False,False,,"Duelos defensivos ganhos, % 64; Duelos aéreos ganhos, % 62/70; Passes certos, % 10/55; Passes progressivos/90 95/50"
Goleiro,Goleiro,GK,Série B,Série B,,2,Victor Souza,Botafogo-SP,Série B,34.0,2238.0,81.9,2,1,70.2,,,63.1,62.5,9.4,2,Toques na área/90 50; Passes progressivos/90 90,31/12/2027,False,False,False,,"Duelos defensivos ganhos, % 64; Duelos aéreos ganhos, % 62/70; Passes certos, % 33/55; Passes progressivos/90 90/50"
Goleiro,Goleiro,GK,Série B,Série B,,3,Tadeu,Goiás,Série B,34.0,1207.0,44.7,2,1,64.3,,,77.4,67.9,5.8,2,Toques na área/90 50; Passes progressivos/90 79,31/12/2029,False,False,False,,"Duelos defensivos ganhos, % 93; Duelos aéreos ganhos, % 62/70; Passes certos, % 38/55; Passes progressivos/90 79/50"
Goleiro,Goleiro,GK,Série B,Série B,,4,Jordi,Novorizontino,Série B,33.0,1845.0,65.8,2,0,48.8,,,63.1,48.2,-19.2,2,Toques na área/90 50; Passes progressivos/90 48,31/12/2027,False,False,False,,"Duelos defensivos ganhos, % 64; Duelos aéreos ganhos, % 62/70; Passes certos, % 19/55; Passes progressivos/90 48/50"
Zaga,Zaga,RCB,Série B,Série B,,1,César Martins,Criciúma,Série B,33.0,2035.0,78.1,4,2,99.0,,,54.8,55.2,4.9,2,Toques na área/90 98; Passes progressivos/90 100,30/11/2026,True,False,True,,"Velocidade de pico, média dos 5 melhores jogos (km/h) 100/70; Duelos defensivos ganhos, % 31/60; Duelos aéreos ganhos, % 34/55; Passes certos, % 12; Passes progressivos/90 100/60"
Zaga,Zaga,LCB,Série B,Série B,,2,Luciano Castán,Criciúma,Série B,36.0,1841.0,70.6,4,2,89.4,,,40.7,46.7,-7.6,2,Toques na área/90 86; Passes progressivos/90 92,31/12/2026,True,False,True,,"Velocidade de pico, média dos 5 melhores jogos (km/h) 28/70; Duelos defensivos ganhos, % 10/60; Duelos aéreos ganhos, % 85/55; Passes certos, % 19; Passes progressivos/90 92/60"
Zaga,Zaga,RCB,exterior,Exterior,Italy,3,G. Scalvini,Atalanta,Italia A,22.0,1934.0,56.7,4,2,73.6,98.1,-24.5,36.4,47.0,-15.7,2,Toques na área/90 74; Passes progressivos/90 73,2028-06-30,False,True,True,agrupado,"Velocidade de pico, média dos 5 melhores jogos (km/h) 1/70; Duelos defensivos ganhos, % 49/60; Duelos aéreos ganhos, % 59/55; Passes certos, % 53; Passes progressivos/90 73/60"
Zaga,Zaga,RCB,exterior,Sul-americano,Argentina,4,L. Martínez Quarta,River Plate,Argentina A,30.0,2384.0,106.0,4,1,73.3,93.7,-20.4,55.7,59.8,-1.2,2,Toques na área/90 74; Passes progressivos/90 73,2028-12-31,False,True,True,forte,"Velocidade de pico, média dos 5 melhores jogos (km/h) 59/70; Duelos defensivos ganhos, % 58/60; Duelos aéreos ganhos, % 50/55; Passes certos, % 59; Passes progressivos/90 73/60"
Zaga,Zaga,RCB,exterior,Exterior,Morocco,5,S. Bouftini,Al Wasl,Emirados,32.0,1971.0,83.4,4,2,73.2,97.6,-24.4,61.4,63.7,3.1,2,Toques na área/90 73; Passes progressivos/90 73,2026-06-30,True,True,True,agrupado,"Velocidade de pico, média dos 5 melhores jogos (km/h) 65/70; Duelos defensivos ganhos, % 59/60; Duelos aéreos ganhos, % 60/55; Passes certos, % 61; Passes progressivos/90 73/60"
Zaga,Zaga,RCB,Série B,Série B,,6,Ricardo Silva,América-MG,Série B,34.0,1252.0,46.7,4,2,73.1,,,65.2,67.9,2.1,2,Toques na área/90 88; Passes progressivos/90 58,30/11/2026,True,False,True,,"Velocidade de pico, média dos 5 melhores jogos (km/h) 32/70; Duelos defensivos ganhos, % 65/60; Duelos aéreos ganhos, % 98/55; Passes certos, % 86; Passes progressivos/90 58/60"
Zaga,Zaga,RCB,exterior,Sul-americano,Argentina,7,L. Di Lollo,Boca Juniors,Argentina A,22.0,1799.0,90.7,4,2,73.0,92.2,-19.2,47.7,55.6,-6.9,2,Toques na área/90 72; Passes progressivos/90 75,2029-12-31,False,True,True,forte,"Velocidade de pico, média dos 5 melhores jogos (km/h) 34/70; Duelos defensivos ganhos, % 52/60; Duelos aéreos ganhos, % 56/55; Passes certos, % 60; Passes progressivos/90 75/60"
Zaga,Zaga,LCB,exterior,Exterior,Croatia,8,J. Gvardiol,Manchester City,Inglaterra A,24.0,1516.0,40.7,4,2,72.8,96.2,-23.4,55.8,59.8,-1.4,2,Toques na área/90 74; Passes progressivos/90 72,2028-06-30,False,True,True,agrupado,"Velocidade de pico, média dos 5 melhores jogos (km/h) 59/70; Duelos defensivos ganhos, % 51/60; Duelos aéreos ganhos, % 57/55; Passes certos, % 60; Passes progressivos/90 72/60"
Zaga,Zaga,LCB,exterior,Exterior,Germany,9,C. Brackelmann,Paderborn,Alemanha B,26.0,2255.0,69.6,3,1,72.1,94.8,-22.7,54.1,56.3,1.0,2,Toques na área/90 74; Passes progressivos/90 70,2026-06-30,True,True,False,fraco,"Duelos defensivos ganhos, % 54/60; Duelos aéreos ganhos, % 54/55; Passes certos, % 47; Passes progressivos/90 70/60"
