unidade,fronteira,comparacao,familia,setor,indicador,nome,n_a,n_b,clubes_a,clubes_b,pct_a,pct_b,cru_a,cru_b,d,ic95_lo,ic95_hi,p,q,d_minimo_80,poder_suficiente,passou_bh,selo
chegada-jogador,com,aprovado x reprovado,fisico|minutos,Todos,fisico -> minutos,"Minutos no ano da chegada de quem o filtro aprovaria, contra quem reprovaria (fisico)",63,218,25,33,57.1,47.6,1388.6,1246.9,0.075,-0.17,0.3,0.61152,0.88665,0.4,False,False,não separa (poder insuficiente)
chegada-jogador,com,aprovado x reprovado,fisico|minutos,Zaga,fisico -> minutos,"Minutos no ano da chegada de quem o filtro aprovaria, contra quem reprovaria (fisico)",13,38,10,22,66.7,44.6,1824.4,1361.8,0.372,-0.17,0.91,0.25614,0.88665,0.92,False,False,não separa (poder insuficiente)
chegada-jogador,com,aprovado x reprovado,fisico|minutos,Lateral,fisico -> minutos,"Minutos no ano da chegada de quem o filtro aprovaria, contra quem reprovaria (fisico)",15,39,11,20,50.0,50.0,1269.9,1295.6,-0.119,-0.91,0.47,0.726,0.88665,0.87,False,False,não separa (poder insuficiente)
chegada-jogador,com,aprovado x reprovado,fisico|minutos,Atacante,fisico -> minutos,"Minutos no ano da chegada de quem o filtro aprovaria, contra quem reprovaria (fisico)",11,34,9,21,56.2,45.6,1298.5,1227.4,0.168,-0.34,0.78,0.60595,0.88665,0.99,False,False,não separa (poder insuficiente)
chegada-jogador,sem,aprovado x reprovado,fisico|minutos,Todos,fisico -> minutos,"Minutos no ano da chegada de quem o filtro aprovaria, contra quem reprovaria (fisico)",40,124,19,23,55.4,50.0,1266.2,1318.1,-0.123,-0.47,0.16,0.5171,0.68946,0.51,False,False,não separa (poder insuficiente)
chegada-jogador,sem,aprovado x reprovado,fisico|minutos,Zaga,fisico -> minutos,"Minutos no ano da chegada de quem o filtro aprovaria, contra quem reprovaria (fisico)",9,24,6,14,66.7,48.8,1773.3,1447.9,0.319,-0.41,0.93,0.37342,0.68946,1.13,False,False,não separa (poder insuficiente)
chegada-jogador,sem,aprovado x reprovado,fisico|minutos,Lateral,fisico -> minutos,"Minutos no ano da chegada de quem o filtro aprovaria, contra quem reprovaria (fisico)",8,23,8,16,20.0,60.0,983.1,1540.7,-0.901,-2.5,0.19,0.08241,0.32965,1.19,False,False,não separa (poder insuficiente)
chegada-jogador,sem,aprovado x reprovado,fisico|minutos,Atacante,fisico -> minutos,"Minutos no ano da chegada de quem o filtro aprovaria, contra quem reprovaria (fisico)",9,17,8,11,52.6,50.0,1180.8,1230.9,0.015,-0.73,0.81,0.97007,0.97007,1.2,False,False,não separa (poder insuficiente)
chegada-jogador,com,aprovado x reprovado,fisico|permanencia,Todos,fisico -> permanencia,"Permanência no clube no ano seguinte de quem o filtro aprovaria, contra quem reprovaria (fisico)",63,218,25,33,0.0,0.0,19.0,20.6,-0.04,-0.36,0.2,0.78,0.85092,0.4,False,False,não separa (poder insuficiente)
chegada-jogador,com,aprovado x reprovado,fisico|permanencia,Zaga,fisico -> permanencia,"Permanência no clube no ano seguinte de quem o filtro aprovaria, contra quem reprovaria (fisico)",13,38,10,22,0.0,0.0,7.7,34.2,-0.603,-1.04,-0.08,0.02055,0.12328,0.92,False,False,pode ser sorte
chegada-jogador,com,aprovado x reprovado,fisico|permanencia,Lateral,fisico -> permanencia,"Permanência no clube no ano seguinte de quem o filtro aprovaria, contra quem reprovaria (fisico)",15,39,11,20,0.0,0.0,13.3,15.4,-0.057,-0.57,0.61,0.85092,0.85092,0.87,False,False,não separa (poder insuficiente)
chegada-jogador,com,aprovado x reprovado,fisico|permanencia,Atacante,fisico -> permanencia,"Permanência no clube no ano seguinte de quem o filtro aprovaria, contra quem reprovaria (fisico)",11,34,9,21,0.0,0.0,36.4,14.7,0.544,-0.15,1.53,0.20904,0.62711,0.99,False,False,não separa (poder insuficiente)
chegada-jogador,sem,aprovado x reprovado,fisico|permanencia,Todos,fisico -> permanencia,"Permanência no clube no ano seguinte de quem o filtro aprovaria, contra quem reprovaria (fisico)",40,124,19,23,0.0,0.0,20.0,22.6,-0.062,-0.44,0.26,0.7295,0.74755,0.51,False,False,não separa (poder insuficiente)
chegada-jogador,sem,aprovado x reprovado,fisico|permanencia,Zaga,fisico -> permanencia,"Permanência no clube no ano seguinte de quem o filtro aprovaria, contra quem reprovaria (fisico)",9,24,6,14,0.0,0.0,0.0,33.3,-0.804,-1.32,-0.45,0.00251,0.01005,1.13,False,True,firme
chegada-jogador,sem,aprovado x reprovado,fisico|permanencia,Lateral,fisico -> permanencia,"Permanência no clube no ano seguinte de quem o filtro aprovaria, contra quem reprovaria (fisico)",8,23,8,16,0.0,0.0,12.5,17.4,-0.129,-0.72,0.77,0.74755,0.74755,1.19,False,False,não separa (poder insuficiente)
chegada-jogador,sem,aprovado x reprovado,fisico|permanencia,Atacante,fisico -> permanencia,"Permanência no clube no ano seguinte de quem o filtro aprovaria, contra quem reprovaria (fisico)",9,17,8,11,0.0,0.0,44.4,17.6,0.606,-0.17,2.19,0.20323,0.40646,1.2,False,False,não separa (poder insuficiente)
chegada-jogador,com,aprovado x reprovado,duelo_corpo|minutos,Todos,duelo_corpo -> minutos,"Minutos no ano da chegada de quem o filtro aprovaria, contra quem reprovaria (duelo corpo)",113,184,31,32,52.4,47.6,1361.2,1270.0,0.058,-0.15,0.28,0.6284,0.8964,0.34,False,False,não separa (poder insuficiente)
chegada-jogador,com,aprovado x reprovado,duelo_corpo|minutos,Lateral,duelo_corpo -> minutos,"Minutos no ano da chegada de quem o filtro aprovaria, contra quem reprovaria (duelo corpo)",24,31,16,17,54.2,50.0,1389.0,1224.8,0.111,-0.34,0.54,0.69029,0.8964,0.78,False,False,não separa (poder insuficiente)
chegada-jogador,com,aprovado x reprovado,duelo_corpo|minutos,Meia,duelo_corpo -> minutos,"Minutos no ano da chegada de quem o filtro aprovaria, contra quem reprovaria (duelo corpo)",25,47,19,23,50.0,47.6,1032.9,1194.0,-0.168,-0.71,0.33,0.47303,0.8964,0.7,False,False,não separa (poder insuficiente)
chegada-jogador,com,aprovado x reprovado,duelo_corpo|minutos,Atacante,duelo_corpo -> minutos,"Minutos no ano da chegada de quem o filtro aprovaria, contra quem reprovaria (duelo corpo)",23,25,16,18,52.6,47.4,1201.3,1284.7,-0.063,-0.69,0.58,0.82792,0.8964,0.83,False,False,não separa (poder insuficiente)
chegada-jogador,sem,aprovado x reprovado,duelo_corpo|minutos,Todos,duelo_corpo -> minutos,"Minutos no ano da chegada de quem o filtro aprovaria, contra quem reprovaria (duelo corpo)",64,107,22,22,50.0,50.0,1286.2,1346.1,-0.106,-0.44,0.23,0.49858,0.92151,0.45,False,False,não separa (poder insuficiente)
chegada-jogador,sem,aprovado x reprovado,duelo_corpo|minutos,Lateral,duelo_corpo -> minutos,"Minutos no ano da chegada de quem o filtro aprovaria, contra quem reprovaria (duelo corpo)",14,18,11,13,54.2,57.5,1438.6,1382.5,0.035,-0.78,0.69,0.92151,0.92151,1.03,False,False,não separa (poder insuficiente)
chegada-jogador,sem,aprovado x reprovado,duelo_corpo|minutos,Meia,duelo_corpo -> minutos,"Minutos no ano da chegada de quem o filtro aprovaria, contra quem reprovaria (duelo corpo)",13,25,11,15,50.0,46.9,1023.3,1270.4,-0.183,-0.99,0.44,0.56905,0.92151,0.98,False,False,não separa (poder insuficiente)
chegada-jogador,sem,aprovado x reprovado,duelo_corpo|minutos,Atacante,duelo_corpo -> minutos,"Minutos no ano da chegada de quem o filtro aprovaria, contra quem reprovaria (duelo corpo)",14,12,10,9,51.3,43.8,1214.9,1212.0,-0.044,-0.85,0.91,0.9118,0.92151,1.15,False,False,não separa (poder insuficiente)
chegada-jogador,com,aprovado x reprovado,duelo_corpo|permanencia,Todos,duelo_corpo -> permanencia,"Permanência no clube no ano seguinte de quem o filtro aprovaria, contra quem reprovaria (duelo corpo)",113,184,31,32,0.0,0.0,18.6,21.7,-0.078,-0.34,0.15,0.50944,0.81331,0.34,False,False,não separa (poder insuficiente)
