caso_id,jogador,nkey,root_antes,root_depois,mudou_posicao,posicao_antes,posicao_depois,liga_origem,liga_destino,divisao_destino,origem_brasileira,periodo_antes,ano_antes,periodo_depois,ano_depois,anos_entre,coorte_chegada,clube_antes,clube_depois,primary_key_antes,primary_key_depois,min_antes,min_depois,jogos_antes,jogos_depois,menos_900_no_destino,menos_900_na_origem,limiar_regua_antes,limiar_regua_depois,abaixo_do_limiar_no_destino,abaixo_do_limiar_na_origem,temporada_destino_em_curso,temporada_origem_em_curso,qz_antes,qz_depois,dqz,qpct_antes,qpct_depois,idade_arquivo_antes,idade_arquivo_depois,defasagem_antes,defasagem_depois,origem_defasagem_antes,origem_defasagem_depois,idade_antes,idade_depois,delta_idade,dif_idade_vs_anos,idade_incoerente,dqz_esperado_idade,dqz_esperado_idade_curva_do_arquivo,dqz_ajustado_idade,qz_esperado_ficou,dqz_liquido,motivo_antes,motivo_depois,n_regua_antes,n_regua_depois,regua_curta,duelos_90_antes,duelos_90_depois,duelos_90_pct_antes,duelos_90_pct_depois,duelos_90_dpct,duelos_aereos_90_antes,duelos_aereos_90_depois,duelos_aereos_90_pct_antes,duelos_aereos_90_pct_depois,duelos_aereos_90_dpct,dribles_90_antes,dribles_90_depois,dribles_90_pct_antes,dribles_90_pct_depois,dribles_90_dpct,aceleracoes_90_antes,aceleracoes_90_depois,aceleracoes_90_pct_antes,aceleracoes_90_pct_depois,aceleracoes_90_dpct,remates_90_antes,remates_90_depois,remates_90_pct_antes,remates_90_pct_depois,remates_90_dpct,passes_progressivos_90_antes,passes_progressivos_90_depois,passes_progressivos_90_pct_antes,passes_progressivos_90_pct_depois,passes_progressivos_90_dpct,passes_recebidos_90_antes,passes_recebidos_90_depois,passes_recebidos_90_pct_antes,passes_recebidos_90_pct_depois,passes_recebidos_90_dpct,toques_area_90_antes,toques_area_90_depois,toques_area_90_pct_antes,toques_area_90_pct_depois,toques_area_90_dpct,xg_90_antes,xg_90_depois,xg_90_pct_antes,xg_90_pct_depois,xg_90_dpct,passes_chave_90_antes,passes_chave_90_depois,passes_chave_90_pct_antes,passes_chave_90_pct_depois,passes_chave_90_dpct,passes_90_antes,passes_90_depois,passes_90_pct_antes,passes_90_pct_depois,passes_90_dpct,acoes_def_90_antes,acoes_def_90_depois,acoes_def_90_pct_antes,acoes_def_90_pct_depois,acoes_def_90_dpct,passes_certos_pct_antes,passes_certos_pct_depois,passes_certos_pct_pct_antes,passes_certos_pct_pct_depois,passes_certos_pct_dpct,duelos_ganhos_pct_antes,duelos_ganhos_pct_depois,duelos_ganhos_pct_pct_antes,duelos_ganhos_pct_pct_depois,duelos_ganhos_pct_dpct,duelos_aereos_ganhos_pct_antes,duelos_aereos_ganhos_pct_depois,duelos_aereos_ganhos_pct_pct_antes,duelos_aereos_ganhos_pct_pct_depois,duelos_aereos_ganhos_pct_dpct,duelos_def_ganhos_pct_antes,duelos_def_ganhos_pct_depois,duelos_def_ganhos_pct_pct_antes,duelos_def_ganhos_pct_pct_depois,duelos_def_ganhos_pct_dpct,dribles_certos_pct_antes,dribles_certos_pct_depois,dribles_certos_pct_pct_antes,dribles_certos_pct_pct_depois,dribles_certos_pct_dpct,remates_baliza_pct_antes,remates_baliza_pct_depois,remates_baliza_pct_pct_antes,remates_baliza_pct_pct_depois,remates_baliza_pct_dpct,conversao_pct_antes,conversao_pct_depois,conversao_pct_pct_antes,conversao_pct_pct_depois,conversao_pct_dpct,cruzamentos_certos_pct_antes,cruzamentos_certos_pct_depois,cruzamentos_certos_pct_pct_antes,cruzamentos_certos_pct_pct_depois,cruzamentos_certos_pct_dpct,passes_prog_certos_pct_antes,passes_prog_certos_pct_depois,passes_prog_certos_pct_pct_antes,passes_prog_certos_pct_pct_depois,passes_prog_certos_pct_dpct,passes_ult_terco_certos_pct_antes,passes_ult_terco_certos_pct_depois,passes_ult_terco_certos_pct_pct_antes,passes_ult_terco_certos_pct_pct_depois,passes_ult_terco_certos_pct_dpct,n_indicadores_com_delta,caso_completo
J08-0001,Gabriel Barbosa,gabriel barbosa,ATA,ATA,0,Atacante,Atacante,Portugal B,Brasil A,A,0,2025,2025,jun26,2026,1,2026,Penafiel,Santos,Gabriel Barbosa - Penafiel - Portugal B,Gabriel Barbosa - Santos - Brasil A,1818,915,22.0,12.0,0,0,805,426,0,0,1,0,-0.9117,0.5894,1.501,12.5,75.8,27.0,29.0,0.0,0.0,medida (99 pares),referência,26.0,29.0,3.0,2,1,-0.5793,-0.2862,2.0803,-0.0195,0.6089,única; único,única; único,45,33,0,23.96,6.89,83.33,1.52,-81.81,10.45,0.69,94.44,1.52,-92.92,0.64,0.59,10.0,15.15,5.15,0.0,0.2,13.33,60.61,47.28,1.88,2.46,43.33,77.27,33.94,1.24,2.95,32.22,80.3,48.08,7.82,22.33,27.78,92.42,64.64,1.83,3.05,7.78,37.88,30.1,0.45,0.37,83.33,56.06,-27.27,0.1,0.3,15.56,43.94,28.38,12.52,27.15,30.0,89.39,59.39,3.96,1.28,71.11,4.55,-66.56,66.01,86.23,12.22,92.42,80.2,40.5,31.43,81.11,13.64,-67.47,49.29,28.57,94.44,37.88,-56.56,52.63,38.46,47.78,13.64,-34.14,53.85,50.0,63.33,56.06,-7.27,42.11,32.0,52.22,13.64,-38.58,26.316,28.0,85.56,92.42,6.86,0.0,30.0,7.78,74.24,66.46,40.0,83.33,5.56,80.3,74.74,34.62,71.79,3.33,59.09,55.76,22,0
J08-0002,Pablo,pablo,ATA,ATA,0,Atacante,Atacante,Brasil A,Brasil B,B,1,2025,2025,jun26,2026,1,2026,Sport Recife,Operário PR,Pablo - Sport Recife - Brasil A,Pablo - Operário PR - Brasil B,1185,802,21.0,10.0,1,0,900,284,0,0,1,0,-0.5037,-2.1131,-1.609,26.6,3.0,33.0,33.0,0.0,0.0,medida (156 pares),referência,32.0,33.0,1.0,0,0,-0.3218,0.0,-1.2872,0.0963,-2.2094,única; único,única; único,50,33,0,20.05,14.25,59.0,19.7,-39.3,5.32,2.36,67.0,19.7,-47.3,1.22,1.57,29.0,59.09,30.09,0.0,0.0,12.0,30.3,18.3,1.67,1.57,18.0,31.82,13.82,2.13,2.24,67.0,74.24,7.24,12.08,19.19,55.0,92.42,37.42,2.58,2.13,19.0,28.79,9.79,0.15,0.3,5.0,43.94,38.94,0.3,0.34,55.0,63.64,8.64,18.99,25.36,65.0,92.42,27.42,3.19,2.58,46.0,40.91,-5.09,81.2,81.42,77.0,89.39,12.39,31.44,38.58,9.0,50.0,41.0,37.14,28.57,71.0,42.42,-28.58,46.34,50.0,20.0,37.88,17.88,25.0,42.86,1.0,40.91,39.91,22.73,64.29,1.0,90.91,89.91,13.636,28.571,41.0,81.82,40.82,40.0,33.33,76.0,60.61,-15.39,71.43,60.0,62.0,42.42,-19.58,77.27,62.5,83.0,54.55,-28.45,22,1
J08-0003,Arthur Cabral,arthur cabral,ATA,ATA,0,Atacante,Atacante,Portugal A,Brasil A,A,0,2024,2024,2025,2025,1,2025,Benfica,Botafogo,Arthur Cabral - Benfica - Portugal A,Arthur Cabral - Botafogo - Brasil A,1005,1608,20.0,21.0,0,0,568,900,0,0,0,0,2.4512,-0.1215,-2.573,91.3,43.8,25.0,28.0,2.0,0.0,medida (44 pares),medida (156 pares),25.0,27.0,2.0,1,0,-0.129,-0.2557,-2.444,0.9355,-1.057,única; único,única; único,35,50,0,23.01,17.57,67.14,37.0,-30.14,5.91,5.99,52.86,75.0,22.14,2.51,0.95,70.0,22.0,-48.0,0.63,0.11,84.29,53.0,-31.29,3.13,2.18,84.29,53.0,-31.29,0.45,1.18,7.14,33.0,25.86,11.28,8.12,67.14,11.0,-56.14,4.39,3.36,78.57,63.0,-15.57,0.46,0.36,65.71,58.0,-7.71,0.36,0.28,65.71,48.0,-17.71,13.88,10.69,32.86,3.0,-29.86,2.96,2.46,41.43,27.0,-14.43,77.42,79.06,75.71,61.0,-14.71,31.52,37.58,27.14,53.0,25.86,30.3,36.45,41.43,65.0,23.57,50.0,47.73,54.29,33.0,-21.29,42.86,52.94,30.0,57.0,27.0,57.14,33.33,98.57,20.0,-78.57,11.429,10.256,24.29,21.0,-3.29,16.67,0.0,44.29,7.0,-37.29,100.0,57.14,97.14,26.0,-71.14,66.67,64.71,64.29,49.0,-15.29,22,1
J08-0004,Willian,willian,ATA,ATA,0,Atacante,Atacante,Brasil A,Brasil B,B,1,2023,2023,2024,2024,1,2024,Athletico Paranaense,Santos,Willian - Athletico Paranaense - Brasil A,Willian - Santos - Brasil B,694,1150,18.0,29.0,0,1,900,900,0,1,0,0,-0.1029,0.6038,0.707,46.4,66.7,39.0,39.0,0.0,0.0,medida (82 pares),medida (76 pares),36.0,37.0,1.0,0,0,-0.6627,0.0,1.3697,0.2102,0.3936,única; único,única; único,41,45,0,18.54,15.57,43.9,16.67,-27.23,3.11,1.96,24.39,14.44,-9.95,1.69,1.1,40.24,23.33,-16.91,0.39,0.08,53.66,35.56,-18.1,2.07,1.8,39.02,47.78,8.76,1.17,1.33,29.27,41.11,11.84,14.27,12.68,70.73,58.89,-11.84,3.37,2.9,63.41,61.11,-2.3,0.19,0.28,9.76,48.89,39.13,0.39,0.08,60.98,13.33,-47.65,19.45,16.2,60.98,52.22,-8.76,3.89,4.38,78.05,76.67,-1.38,83.33,86.96,90.24,98.89,8.65,33.57,30.15,14.63,12.22,-2.41,25.0,20.0,12.2,11.11,-1.09,42.86,48.15,19.51,22.22,2.71,46.15,35.71,41.46,16.67,-24.79,43.75,39.13,59.76,52.22,-7.54,25.0,21.739,97.56,88.89,-8.67,33.33,25.0,69.51,37.78,-31.73,77.78,76.47,63.41,53.33,-10.08,57.14,76.47,7.32,81.11,73.79,22,1
J08-0005,Leandro Damião,leandro damiao,ATA,ATA,0,Atacante,Atacante,Japao A,Brasil B,B,0,2023,2023,2024,2024,1,2024,Kawasaki Frontale,Coritiba,Leandro Damião - Kawasaki Frontale - Japao A,Leandro Damião - Coritiba - Brasil B,583,826,12.0,12.0,1,1,805,900,1,1,0,0,0.5802,-0.6883,-1.268,69.6,16.0,34.0,36.0,2.0,0.0,medida (122 pares),medida (76 pares),33.0,34.0,1.0,0,0,-0.2795,-0.5785,-0.9885,0.4042,-1.0925,única; único,única; único,41,45,0,22.54,16.67,46.34,26.67,-19.67,8.03,6.54,70.73,68.89,-1.84,0.46,0.22,0.0,0.0,0.0,0.0,0.33,1.22,80.0,78.78,2.16,0.87,51.22,2.22,-49.0,1.23,1.09,9.76,22.22,12.46,8.49,5.99,2.44,4.44,2.0,2.78,3.38,24.39,86.67,62.28,0.39,0.23,62.2,30.0,-32.2,0.15,0.33,4.88,72.22,67.34,12.04,9.48,0.0,2.22,2.22,2.93,2.29,12.2,17.78,5.58,61.54,72.41,0.0,17.78,17.78,32.19,30.07,29.27,11.11,-18.16,40.38,33.33,82.93,61.11,-21.82,43.75,21.05,7.32,0.0,-7.32,66.67,100.0,100.0,100.0,0.0,57.14,12.5,92.68,0.0,-92.68,21.429,12.5,78.05,48.89,-29.16,0.0,0.0,6.1,4.44,-1.66,62.5,80.0,20.73,74.44,53.71,44.44,77.78,8.54,86.67,78.13,22,1
J08-0006,Pedro,pedro,ATA,ATA,0,Atacante,Atacante,Bolivia,Brasil A,A,0,2024,2024,jun26,2026,2,2026,Guabirá,Flamengo,Pedro - Guabirá - Bolivia,Pedro - Flamengo - Brasil A,1024,1443,17.0,17.0,0,0,900,426,0,0,1,0,-0.014,0.9731,0.987,48.8,93.9,27.0,28.0,0.0,0.0,medida (72 pares),referência,25.0,28.0,3.0,1,0,-0.3864,-0.1431,1.3734,0.3063,0.6668,única; único,única; único,45,33,0,17.84,12.97,45.56,22.73,-22.83,4.22,1.56,54.44,10.61,-43.83,2.37,1.87,50.0,69.7,19.7,0.09,0.0,40.0,18.18,-21.82,2.64,2.0,57.78,50.0,-7.78,1.67,1.43,51.11,46.97,-4.14,7.91,13.22,3.33,65.15,61.82,2.9,3.37,23.33,56.06,32.73,0.55,0.42,90.0,78.79,-11.21,0.18,0.31,21.11,46.97,25.86,11.69,16.22,1.11,56.06,54.95,3.96,2.68,70.0,50.0,-20.0,63.16,77.69,3.33,59.09,55.76,40.39,38.46,52.22,65.15,12.93,35.42,32.0,36.67,50.0,13.33,60.98,48.72,72.22,53.03,-19.19,48.15,53.33,41.11,74.24,33.13,60.0,59.38,95.56,89.39,-6.17,26.667,31.25,90.0,98.48,8.48,16.67,16.67,10.0,33.33,23.33,73.68,73.91,34.44,46.97,12.53,61.54,65.0,42.22,37.88,-4.34,22,1
J08-0007,Brenner,brenner,ATA,ATA,0,Atacante,Atacante,Peru,Brasil B,B,0,2023,2023,2024,2024,1,2024,Sporting Cristal,América Mineiro,Brenner - Sporting Cristal - Peru,Brenner - América Mineiro - Brasil B,2104,1307,30.0,24.0,0,0,876,900,0,0,0,0,-0.0999,2.3925,2.492,44.0,96.3,29.0,32.0,3.0,0.0,medida (70 pares),medida (76 pares),29.0,30.0,1.0,0,0,-0.0849,-0.6628,2.5769,0.211,2.1815,única; único,única; único,39,45,0,16.81,18.11,19.23,30.0,10.77,4.23,5.51,30.77,52.22,21.45,1.2,0.83,14.1,16.67,2.57,0.04,0.0,3.85,11.11,7.26,1.84,1.86,29.49,51.11,21.62,1.37,1.65,32.05,58.89,26.84,14.93,12.53,78.21,54.44,-23.77,2.91,3.51,26.92,92.22,65.3,0.44,0.48,73.08,98.89,25.81,0.38,0.28,65.38,57.78,-7.6,20.4,18.25,75.64,61.11,-14.53,2.65,2.2,14.1,14.44,0.34,79.45,80.38,75.64,78.89,3.25,37.91,38.4,73.08,70.0,-3.08,27.27,35.0,8.97,67.78,58.81,50.82,50.0,39.74,35.56,-4.18,46.43,58.33,39.74,83.33,43.59,55.81,37.04,93.59,47.78,-45.81,30.233,22.222,98.72,92.22,-6.5,20.0,42.86,17.95,82.22,64.27,78.13,83.33,55.13,86.67,31.54,65.31,74.07,55.13,74.44,19.31,22,1
J08-0008,Brenner,brenner,ATA,ATA,0,Atacante,Atacante,EUA,Brasil A,A,0,2025,2025,jun26,2026,1,2026,Cincinnati,Vasco da Gama,Brenner - Cincinnati - EUA,Brenner - Vasco da Gama - Brasil A,948,649,10.0,13.0,1,0,900,426,0,0,1,0,0.0076,-0.2909,-0.298,53.5,36.4,26.0,26.0,0.0,0.0,medida (217 pares),referência,25.0,26.0,1.0,0,0,-0.0645,0.0,-0.2335,0.2416,-0.5325,única; único,única; único,71,33,0,11.68,14.98,11.97,34.85,22.88,0.85,6.1,4.93,86.36,81.43,1.99,0.55,62.68,7.58,-55.1,0.28,0.0,66.9,18.18,-48.72,2.18,2.36,47.18,74.24,27.06,2.85,1.66,75.35,59.09,-16.26,23.45,12.62,85.21,59.09,-26.12,2.94,3.47,27.46,68.18,40.72,0.37,0.47,43.66,86.36,42.7,0.28,0.14,38.73,7.58,-31.15,28.29,18.17,82.39,65.15,-17.24,2.09,2.77,13.38,59.09,45.71,88.26,84.73,97.89,89.39,-8.5,35.77,29.63,33.1,4.55,-28.55,22.22,15.91,12.68,13.64,0.96,43.48,59.09,7.75,83.33,75.58,42.86,50.0,23.24,56.06,32.82,56.52,35.29,85.21,28.79,-56.42,26.087,5.882,82.39,16.67,-65.72,66.67,25.0,98.59,59.09,-39.5,83.33,75.0,87.32,54.55,-32.77,76.47,86.67,78.87,89.39,10.52,22,1
J08-0009,Henrique Dourado,henrique dourado,ATA,ATA,0,Atacante,Atacante,Brasil A,Brasil C,C,1,2023,2023,2024,2024,1,2024,Cruzeiro,Botafogo PB,Henrique Dourado - Cruzeiro - Brasil A,Henrique Dourado - Botafogo PB - Brasil C,434,393,11.0,10.0,1,1,900,592,1,1,0,0,-0.1894,-0.0386,0.151,42.0,50.0,36.0,36.0,0.0,0.0,medida (82 pares),medida (53 pares),33.0,34.0,1.0,0,0,-0.2795,0.0,0.4305,0.1856,-0.2242,única; único,única; único,41,36,0,29.45,18.78,97.56,38.89,-58.67,10.78,6.64,97.56,58.33,-39.23,0.83,0.92,9.76,19.44,9.68,0.0,0.0,2.44,15.28,12.84,2.28,2.06,51.22,55.56,4.34,0.62,1.6,0.0,61.11,61.11,8.5,8.02,19.51,36.11,16.6,4.35,2.75,92.68,61.11,-31.57,0.46,0.63,87.8,97.22,9.42,0.41,0.0,65.85,6.94,-58.91,12.03,12.37,9.76,19.44,9.68,2.7,2.98,31.71,33.33,1.62,75.86,72.22,43.9,16.67,-27.23,33.8,35.37,19.51,38.89,19.38,38.46,37.93,70.73,68.06,-2.67,38.89,33.33,9.76,0.0,-9.76,50.0,25.0,58.54,5.56,-52.98,27.27,33.33,2.44,18.06,15.62,9.091,22.222,14.63,66.67,52.04,0.0,42.86,3.66,86.11,82.45,100.0,85.71,100.0,90.28,-9.72,60.0,83.33,20.73,94.44,73.71,22,1
J08-0010,Sassá,sassa,ATA,ATA,0,Atacante,Atacante,Brasil C,Brasil B,B,1,2023,2023,2024,2024,1,2024,Amazonas,Amazonas,Sassá - Amazonas - Brasil C,Sassá - Amazonas - Brasil B,1992,1612,20.0,26.0,0,0,545,900,0,0,0,0,1.6819,-0.4411,-2.123,100.0,28.4,29.0,32.0,3.0,0.0,medida (23 pares),medida (76 pares),29.0,30.0,1.0,0,0,-0.0849,-0.6628,-2.0381,0.7171,-1.1582,única; único,única; único,36,45,0,17.3,15.69,29.17,21.11,-8.06,2.85,2.51,34.72,18.89,-15.83,1.94,1.23,45.83,34.44,-11.39,0.09,0.0,19.44,11.11,-8.33,2.48,2.18,79.17,74.44,-4.73,0.54,0.22,4.17,1.11,-3.06,5.78,6.98,18.06,7.78,-10.28,2.62,2.51,62.5,42.22,-20.28,0.5,0.26,98.61,41.11,-57.5,0.14,0.06,25.0,5.56,-19.44,8.67,10.83,12.5,7.78,-4.72,1.36,1.34,4.17,1.11,-3.06,82.29,85.57,87.5,96.67,9.17,30.03,30.96,6.94,23.33,16.39,17.46,28.89,9.72,41.11,31.39,34.04,55.88,6.94,65.56,58.62,60.47,45.45,84.72,54.44,-30.28,47.27,17.95,84.72,1.11,-83.61,29.091,7.692,90.28,16.67,-73.61,0.0,66.67,11.11,96.67,85.56,66.67,75.0,25.0,40.0,15.0,60.0,66.67,29.17,46.67,17.5,22,1
J08-0011,Denilson,denilson,ATA,ATA,0,Atacante,Atacante,Coreia B,Brasil C,C,0,2023,2023,2024,2024,1,2024,Seongnam,Athletic Club,Denilson - Seongnam - Coreia B,Denilson - Athletic Club - Brasil C,744,922,20.0,16.0,0,1,853,592,0,1,0,0,-0.5828,0.7967,1.379,35.6,79.0,25.0,28.0,3.0,0.0,medida (34 pares),medida (53 pares),25.0,26.0,1.0,0,0,-0.0645,-0.2557,1.4435,0.0739,0.7228,única; único,única; único,35,36,0,28.91,20.01,74.29,48.61,-25.68,11.13,6.54,74.29,54.17,-20.12,1.81,1.37,24.29,50.0,25.71,0.12,0.1,17.14,52.78,35.64,1.81,2.05,31.43,52.78,21.35,2.06,0.68,68.57,4.17,-64.4,8.47,4.98,0.0,4.17,4.17,2.06,3.81,20.0,95.83,75.83,0.22,0.36,28.57,68.06,39.49,0.36,0.29,52.86,61.11,8.25,16.57,10.25,40.0,12.5,-27.5,4.11,2.83,65.71,31.94,-33.77,70.8,79.05,28.57,70.83,42.26,35.15,37.07,40.0,52.78,12.78,30.43,43.28,34.29,87.5,53.21,62.07,62.5,64.29,70.83,6.54,60.0,57.14,84.29,75.0,-9.29,33.33,52.38,28.57,81.94,53.37,20.0,19.048,85.71,56.94,-28.77,50.0,20.0,87.14,43.06,-44.08,52.94,71.43,10.0,47.22,37.22,47.06,77.78,11.43,86.11,74.68,22,1
