corte,modelo,familia,unidade,tipo_unidade,destino_ref,alvo,n_casos,n_total,fator_pp,ic95_lo,ic95_hi,p,q,selo,d_minimo_80,limiar_visivel_pp,poder_suficiente,quantos_do_bh_passaram
principal,S0_bruto,volume,Argentina A,liga,Brasil B,duelos_90,28,737,12.86,4.68,20.62,0.00156,0.01875,firme,0.54,14.39,False,
principal,S0_bruto,volume,Argentina A,liga,Brasil B,duelos_aereos_90,28,737,8.23,-3.44,17.85,0.15697,0.23302,sem diferença clara,0.54,15.25,False,
principal,S0_bruto,volume,Argentina A,liga,Brasil B,dribles_90,28,737,-14.07,-25.07,-4.09,0.00726,0.04358,firme,0.54,15.21,False,
principal,S0_bruto,volume,Argentina A,liga,Brasil B,aceleracoes_90,28,737,1.26,-14.0,16.76,0.86508,0.86508,sem diferença clara,0.54,17.77,False,
principal,S0_bruto,volume,Argentina A,liga,Brasil B,remates_90,28,737,8.45,-3.42,21.44,0.22488,0.26985,sem diferença clara,0.54,18.25,False,
principal,S0_bruto,volume,Argentina A,liga,Brasil B,passes_progressivos_90,28,737,11.39,2.37,19.23,0.0132,0.05278,pode ser sorte,0.54,15.92,False,
principal,S0_bruto,volume,Argentina A,liga,Brasil B,passes_recebidos_90,28,737,11.96,2.16,22.72,0.03902,0.09365,pode ser sorte,0.54,17.87,False,
principal,S0_bruto,volume,Argentina A,liga,Brasil B,toques_area_90,28,737,7.73,-2.13,17.43,0.14187,0.23302,sem diferença clara,0.54,19.08,False,
principal,S0_bruto,volume,Argentina A,liga,Brasil B,xg_90,28,737,1.44,-12.16,13.91,0.82437,0.86508,sem diferença clara,0.54,20.5,False,
principal,S0_bruto,volume,Argentina A,liga,Brasil B,passes_chave_90,28,737,7.63,-3.31,19.06,0.17476,0.23302,sem diferença clara,0.54,20.73,False,
principal,S0_bruto,volume,Argentina A,liga,Brasil B,passes_90,28,737,12.31,1.99,23.84,0.02627,0.07881,pode ser sorte,0.54,17.47,False,
principal,S0_bruto,volume,Argentina A,liga,Brasil B,acoes_def_90,28,737,9.35,-2.77,22.77,0.14241,0.23302,sem diferença clara,0.54,17.08,False,
principal,S0_bruto,volume,Argentina A,liga,Brasil B,FAMILIA (média dos indicadores),28,737,6.55,2.35,11.67,0.00946,,pode ser sorte,0.54,7.62,False,2
principal,S0_bruto,volume,Brasil A,liga,Brasil B,duelos_90,156,737,-0.52,-3.35,2.89,0.74805,0.74805,sem diferença clara,0.25,6.66,False,
principal,S0_bruto,volume,Brasil A,liga,Brasil B,duelos_aereos_90,156,737,-3.79,-6.93,-0.6,0.01362,0.01816,firme,0.25,7.06,False,
principal,S0_bruto,volume,Brasil A,liga,Brasil B,dribles_90,156,737,4.33,1.51,7.29,0.00764,0.01145,firme,0.25,7.04,False,
principal,S0_bruto,volume,Brasil A,liga,Brasil B,aceleracoes_90,156,737,4.25,-0.09,7.59,0.02473,0.02967,firme,0.25,8.23,False,
principal,S0_bruto,volume,Brasil A,liga,Brasil B,remates_90,156,737,2.79,-0.86,6.39,0.15348,0.16743,sem diferença clara,0.25,8.45,False,
principal,S0_bruto,volume,Brasil A,liga,Brasil B,passes_progressivos_90,156,737,8.87,5.79,11.83,0.0,0.0,firme,0.25,7.37,True,
principal,S0_bruto,volume,Brasil A,liga,Brasil B,passes_recebidos_90,156,737,18.05,14.71,21.46,0.0,0.0,firme,0.25,8.27,True,
principal,S0_bruto,volume,Brasil A,liga,Brasil B,toques_area_90,156,737,9.67,5.85,13.6,0.0,0.0,firme,0.25,8.83,True,
principal,S0_bruto,volume,Brasil A,liga,Brasil B,xg_90,156,737,6.05,2.01,10.04,0.00562,0.00964,firme,0.25,9.49,False,
principal,S0_bruto,volume,Brasil A,liga,Brasil B,passes_chave_90,156,737,8.76,3.46,13.97,0.00045,0.00108,firme,0.25,9.6,False,
principal,S0_bruto,volume,Brasil A,liga,Brasil B,passes_90,156,737,17.13,13.99,20.72,0.0,0.0,firme,0.25,8.09,True,
principal,S0_bruto,volume,Brasil A,liga,Brasil B,acoes_def_90,156,737,-5.36,-8.32,-2.04,0.0016,0.0032,firme,0.25,7.91,False,
principal,S0_bruto,volume,Brasil A,liga,Brasil B,FAMILIA (média dos indicadores),156,737,5.85,4.38,7.48,0.0,,pode ser sorte,0.25,3.53,True,10
principal,S0_bruto,volume,Brasil C,liga,Brasil B,duelos_90,92,737,5.9,2.67,9.58,0.00107,0.00596,firme,0.31,8.26,False,
principal,S0_bruto,volume,Brasil C,liga,Brasil B,duelos_aereos_90,92,737,4.26,0.84,7.71,0.02172,0.04345,firme,0.31,8.76,False,
principal,S0_bruto,volume,Brasil C,liga,Brasil B,dribles_90,92,737,-1.21,-4.83,2.69,0.52711,0.63253,sem diferença clara,0.31,8.73,False,
principal,S0_bruto,volume,Brasil C,liga,Brasil B,aceleracoes_90,92,737,-0.93,-5.53,3.76,0.70009,0.76373,sem diferença clara,0.31,10.2,False,
principal,S0_bruto,volume,Brasil C,liga,Brasil B,remates_90,92,737,-3.18,-7.14,1.24,0.13076,0.19613,sem diferença clara,0.31,10.48,False,
principal,S0_bruto,volume,Brasil C,liga,Brasil B,passes_progressivos_90,92,737,-1.65,-5.33,1.55,0.40205,0.53607,sem diferença clara,0.31,9.14,False,
principal,S0_bruto,volume,Brasil C,liga,Brasil B,passes_recebidos_90,92,737,-5.9,-10.06,-1.97,0.00504,0.01513,firme,0.31,10.26,False,
principal,S0_bruto,volume,Brasil C,liga,Brasil B,toques_area_90,92,737,-7.64,-12.14,-2.66,0.00149,0.00596,firme,0.31,10.96,False,
principal,S0_bruto,volume,Brasil C,liga,Brasil B,xg_90,92,737,-5.5,-11.06,-0.39,0.02701,0.04631,firme,0.31,11.77,False,
principal,S0_bruto,volume,Brasil C,liga,Brasil B,passes_chave_90,92,737,0.04,-4.77,5.16,0.98833,0.98833,sem diferença clara,0.31,11.9,False,
principal,S0_bruto,volume,Brasil C,liga,Brasil B,passes_90,92,737,-5.05,-9.16,-1.16,0.01541,0.03699,firme,0.31,10.03,False,
principal,S0_bruto,volume,Brasil C,liga,Brasil B,acoes_def_90,92,737,8.94,4.63,12.8,2e-05,0.00025,firme,0.31,9.81,False,
principal,S0_bruto,volume,Brasil C,liga,Brasil B,FAMILIA (média dos indicadores),92,737,-0.99,-2.53,0.76,0.24063,,sem diferença clara,0.31,4.38,False,7
principal,S0_bruto,volume,Chile,liga,Brasil B,duelos_90,10,737,-6.37,-22.53,8.95,0.42085,0.72145,sem diferença clara,0.89,23.73,False,
principal,S0_bruto,volume,Chile,liga,Brasil B,duelos_aereos_90,10,737,0.08,-19.72,18.57,0.99378,0.99627,sem diferença clara,0.89,25.14,False,
principal,S0_bruto,volume,Chile,liga,Brasil B,dribles_90,10,737,-9.94,-25.25,4.3,0.22766,0.45531,sem diferença clara,0.89,25.07,False,
principal,S0_bruto,volume,Chile,liga,Brasil B,aceleracoes_90,10,737,-9.07,-21.66,2.27,0.13896,0.41689,sem diferença clara,0.89,29.29,False,
principal,S0_bruto,volume,Chile,liga,Brasil B,remates_90,10,737,-4.51,-27.72,18.69,0.68766,0.88891,sem diferença clara,0.89,30.08,False,
principal,S0_bruto,volume,Chile,liga,Brasil B,passes_progressivos_90,10,737,-14.03,-36.07,5.74,0.1984,0.45531,sem diferença clara,0.89,26.24,False,
principal,S0_bruto,volume,Chile,liga,Brasil B,passes_recebidos_90,10,737,-4.13,-27.52,18.38,0.74076,0.88891,sem diferença clara,0.89,29.46,False,
principal,S0_bruto,volume,Chile,liga,Brasil B,toques_area_90,10,737,0.05,-20.88,19.37,0.99627,0.99627,sem diferença clara,0.89,31.45,False,
principal,S0_bruto,volume,Chile,liga,Brasil B,xg_90,10,737,21.02,6.5,35.18,0.00462,0.05541,pode ser sorte,0.89,33.79,False,
principal,S0_bruto,volume,Chile,liga,Brasil B,passes_chave_90,10,737,-16.84,-32.44,-2.18,0.02584,0.15507,pode ser sorte,0.89,34.16,False,
principal,S0_bruto,volume,Chile,liga,Brasil B,passes_90,10,737,-4.66,-28.54,18.81,0.71146,0.88891,sem diferença clara,0.89,28.8,False,
principal,S0_bruto,volume,Chile,liga,Brasil B,acoes_def_90,10,737,-16.0,-36.27,4.95,0.10356,0.41422,sem diferença clara,0.89,28.16,False,
