jogador,setor,liga_origem,ano,clube,na_fronteira,clube_sem_ponte,fatia_origem,temporadas_com_dado,minutagem_alta,minutagem_alta_e_regular,indicadores_com_dado,duelo_corpo,estilo_tecnico,filtro_j09,minutos,jogou_900
Leandro Damião,Atacante,Japao A,2024,Coritiba,False,False,17.9,1,False,False,4,False,False,False,826.0,0.0
Brenner,Atacante,Peru,2024,América-MG,False,False,66.5,1,True,False,4,True,False,False,1307.0,1.0
Júnior Brumado,Atacante,Alemanha B,2024,Coritiba,False,False,46.5,1,True,False,4,True,True,False,1253.0,1.0
Guilherme,Extremo,Coreia B,2024,Santos,False,False,71.7,1,True,False,4,False,False,False,2824.0,1.0
Klaus,Zaga,Belgica A,2025,Remo,True,False,56.7,2,False,False,4,False,False,False,2644.0,1.0
Bressan,Zaga,Grecia,2026,CRB,False,False,35.6,2,False,False,4,False,True,False,432.0,0.0
Eduardo Brock,Zaga,Paraguai,2025,Avaí,False,False,49.9,1,False,False,4,True,True,False,3698.0,1.0
João Pedro,Atacante,Grecia,2025,Remo,True,False,56.8,2,True,True,4,True,True,True,946.0,1.0
André Luis,Atacante,Portugal A,2025,Vila Nova,False,False,66.9,2,True,True,4,True,True,True,1267.0,1.0
Willian,Extremo,Grecia,2026,América-MG,False,False,12.9,1,False,False,4,False,False,False,419.0,0.0
J. Quintero,Zaga,Colombia A,2024,Vila Nova,False,False,51.7,2,False,False,4,False,False,False,1482.0,1.0
Paulinho Bóia,Extremo,Japao A,2024,Paysandu,False,False,6.4,1,False,False,4,False,False,False,1198.0,1.0
Diego Pituca,Volante,Japao A,2024,Santos,False,False,86.2,1,True,False,4,False,False,False,3416.0,1.0
Perotti,Atacante,Japao A,2024,Chapecoense,False,False,9.1,1,False,False,4,True,True,False,719.0,0.0
Pedrinho,Atacante,Coreia B,2026,São Bernardo,False,False,26.4,1,False,False,4,True,True,False,342.0,0.0
Y. González,Atacante,Portugal A,2024,Paysandu,False,False,100.0,1,True,False,4,True,True,False,473.0,0.0
Anderson,Zaga,Portugal A,2026,Vila Nova,True,False,100.0,2,True,True,4,False,False,False,547.0,0.0
J. Benítez,Atacante,Paraguai,2025,Paysandu,False,False,81.8,1,True,False,4,True,True,False,994.0,1.0
Á. Rodríguez,Atacante,Colombia A,2024,Goiás,True,False,85.2,1,True,False,4,False,False,False,409.0,0.0
G. Mastriani,Atacante,Equador A,2026,América-MG,False,False,35.8,1,True,False,4,False,False,False,954.0,1.0
F. Barceló,Atacante,Paraguai,2024,Ceará,True,False,56.4,1,True,False,4,True,False,False,1011.0,1.0
M. Castro,Extremo,Uruguai,2026,Juventude,True,False,27.3,1,False,False,4,False,False,False,676.0,0.0
F. Martínez,Extremo,Uruguai,2025,Atlético-GO,False,False,70.2,2,True,True,4,False,False,False,1911.0,1.0
M. Segovia,Extremo,Emirados,2026,América-MG,False,False,15.8,1,False,False,4,False,False,False,571.0,0.0
F. Labandeira,Extremo,Uruguai,2023,Sport,True,False,56.0,1,True,False,4,False,False,False,1112.0,1.0
A. Martínez,Extremo,Mexico,2025,Cuiabá,False,False,47.0,2,True,True,4,False,False,False,1432.0,1.0
E. Rodríguez,Extremo,Venezuela,2026,Londrina,False,False,36.1,1,True,False,4,False,False,False,340.0,0.0
G. Benavídez,Lateral,Argentina A,2025,Athletico-PR,False,False,94.7,3,True,True,4,True,True,True,1735.0,1.0
Nathan,Lateral,Portugal A,2025,Remo,True,False,59.8,1,True,False,4,True,True,False,1029.0,1.0
N. Castrillón,Lateral,Colombia A,2025,Amazonas,False,False,37.5,1,False,False,4,False,False,False,1698.0,1.0
