liga,mercado,linhas,times,jogos_max,razao_denominador,forca_do_fator,casos_j08,veredito
Alemanha A,Exterior,297,18,34,0.998,fraco,1.0,entra
Alemanha B,Exterior,293,18,34,0.983,fraco,1.0,entra
Arabia Saudita A,Exterior,282,18,34,1.004,agrupado,7.0,entra
Arabia Saudita B,Exterior,0,,,,,,arquivo vazio
Austria,Exterior,183,12,35,0.952,sem fator,0,liga sem fator de J08
Bahrain,Exterior,207,12,21,1.026,agrupado,3.0,entra
Belgica A,Exterior,255,16,41,0.997,agrupado,5.0,entra
Belgica B,Exterior,258,17,36,0.911,sem fator,0,liga sem fator de J08
Bulgaria,Exterior,263,16,37,0.951,agrupado,3.0,entra
Catar,Exterior,201,12,22,1.018,agrupado,4.0,entra
China,Exterior,249,16,15,1.044,agrupado,3.0,entra
Croacia,Exterior,167,10,36,0.939,sem fator,0,liga sem fator de J08
Dinamarca,Exterior,99,9,7,1.011,fraco,1.0,temporada curta demais (7 jogos)
Emirados,Exterior,233,14,26,1.032,agrupado,4.0,entra
Escocia,Exterior,191,12,38,0.895,sem fator,0,elenco cortado no export (razão 0.89)
Eslovaquia,Exterior,205,12,32,0.945,fraco,1.0,entra
Espanha A,Exterior,341,20,38,1.008,fraco,2.0,entra
Espanha B,Exterior,367,22,43,0.982,agrupado,3.0,entra
Espanha C,Exterior,704,40,38,1.042,sem fator,0,liga sem fator de J08
França A,Exterior,293,18,34,0.978,fraco,2.0,entra
França B,Exterior,292,18,36,0.963,sem fator,0,liga sem fator de J08
Grecia,Exterior,230,14,35,0.957,agrupado,6.0,entra
Holanda,Exterior,272,18,36,0.949,fraco,1.0,entra
Hungria,Exterior,250,12,33,1.013,sem fator,0,liga sem fator de J08
Inglaterra A,Exterior,338,20,38,1.024,agrupado,7.0,entra
Inglaterra B,Exterior,369,24,49,0.942,fraco,1.0,entra
Israel,Exterior,229,14,35,0.99,sem fator,0,liga sem fator de J08
Italia A,Exterior,333,20,38,0.982,agrupado,6.0,entra
Italia B,Exterior,319,20,42,0.945,sem fator,0,liga sem fator de J08
Italia C,Exterior,500,59,44,0.629,sem fator,0,elenco cortado no export (razão 0.63)
Marrocos,Exterior,267,16,22,0.979,sem fator,0,liga sem fator de J08
Mexico,Exterior,240,18,52,0.927,agrupado,6.0,entra
Noruega,Exterior,226,16,13,0.98,sem fator,0,temporada curta demais (13 jogos)
Polonia,Exterior,296,18,34,0.978,fraco,2.0,entra
Portugal A,Exterior,300,18,34,0.982,forte,13.0,entra
Portugal B,Exterior,308,18,34,1.005,forte,12.0,entra
Portugal C,Exterior,308,20,32,0.98,fraco,2.0,entra
Romenia,Exterior,274,16,40,0.981,fraco,1.0,entra
Russia,Exterior,248,16,30,0.971,agrupado,6.0,entra
Servia,Exterior,278,16,37,0.948,sem fator,0,liga sem fator de J08
Suecia,Exterior,228,16,11,1.03,sem fator,0,temporada curta demais (11 jogos)
Suiça,Exterior,200,12,38,0.934,sem fator,0,liga sem fator de J08
Tcheca,Exterior,272,16,35,0.94,fraco,1.0,entra
Turquia,Exterior,299,18,34,1.003,fraco,2.0,entra
Ucrania,Exterior,263,16,30,0.922,fraco,1.0,entra
Argentina A,Sul-americano,437,30,25,0.924,forte,28.0,entra
Argentina B,Sul-americano,500,36,25,0.865,sem fator,0,elenco cortado no export (razão 0.86)
Bolivia,Sul-americano,260,16,15,0.918,agrupado,3.0,entra
Brasil A,Série A,337,20,23,0.998,forte,156.0,entra
Chile,Sul-americano,262,16,19,1.036,forte,10.0,entra
Colombia A,Sul-americano,307,20,27,0.917,forte,16.0,entra
Colombia B,Sul-americano,215,16,25,0.839,agrupado,3.0,elenco cortado no export (razão 0.84)
Coreia A,Exterior,201,12,23,1.052,agrupado,4.0,entra
Coreia B,Exterior,270,17,21,0.976,agrupado,6.0,entra
EUA,Exterior,458,30,20,0.994,forte,15.0,entra
Equador A,Sul-americano,268,16,25,1.011,agrupado,5.0,entra
Equador B,Sul-americano,186,12,20,0.92,sem fator,0,liga sem fator de J08
Japao A,Exterior,263,20,2,1.047,agrupado,8.0,temporada curta demais (2 jogos)
Japao B,Exterior,258,20,2,1.014,agrupado,9.0,temporada curta demais (2 jogos)
Paraguai,Sul-americano,193,12,27,0.953,agrupado,7.0,entra
Peru,Sul-americano,269,18,22,0.967,agrupado,3.0,entra
Uruguai,Sul-americano,262,16,25,0.971,forte,22.0,entra
Venezuela,Sul-americano,195,14,23,0.881,fraco,2.0,elenco cortado no export (razão 0.88)
