jogador,liga,time,posicao,setor,idade,minutos,jogos,fatia_pct,corte_da_posicao,minutagem_alta,minutagem_regular,temporadas_com_dado,temporadas_altas,regularidade_verificavel,homonimo_na_foto,contrato,nascido_em,passaporte,mercado,ocupa_vaga_de_estrangeiro,valor_mercado,pe,altura,contrato_na_janela,media_ajustada,elenco_cortado,elenco_no_export,forca_do_fator,casos_do_fator,indicadores_com_dado,exigencias_da_posicao,viola_na_origem,viola_no_ajustado,passa_ficha_origem,passa_ficha_ajustado,na_base_do_app,fisico_rastreado,sc_min_tot,faixa_salarial,valor_tr,nota_fisico,nota_duelo_corpo,nota_estilo_tecnico,fisico_da_posicao,duelos_def_ganhos_pct,duelos_def_ganhos_pct__pct,duelos_def_ganhos_pct__adj,duelos_def_ganhos_pct__delta,duelos_aereos_ganhos_pct,duelos_aereos_ganhos_pct__pct,duelos_aereos_ganhos_pct__adj,duelos_aereos_ganhos_pct__delta,passes_certos_pct,passes_certos_pct__pct,passes_certos_pct__adj,passes_certos_pct__delta,passes_progressivos_90,passes_progressivos_90__pct,passes_progressivos_90__adj,passes_progressivos_90__delta,psv5,psv5__pct,psv5__adj,psv5__delta,t_spr,t_spr__pct,t_spr__adj,t_spr__delta,t505_90,t505_90__pct,t505_90__adj,t505_90__delta,expl,expl__pct,expl__adj,expl__delta,spr_n,spr_n__pct,spr_n__adj,spr_n__delta,eixo_toques_area,eixo_toques_area__pct,eixo_toques_area__adj,eixo_toques_area__delta,eixo_passes_progressivos,eixo_passes_progressivos__pct,eixo_passes_progressivos__adj,eixo_passes_progressivos__delta
Kike Salas,Espanha A,Sevilla,LCB,Zaga,24.0,2471.0,26.0,72.0,56.8,True,True,3,2,True,False,2026-06-30,Spain,Spain,Exterior,True,0.0,esquerdo,186.0,True,67.7,False,19,fraco,2.0,5,4,,duelos_def_ganhos_pct,True,False,True,True,2470,1M - 1.3M,0,atende,atende,atende,"Velocidade de pico, média dos 5 melhores jogos (km/h)",69.38,69.2,59.944372689100774,-9.26,67.26,95.4,65.17009495707717,-30.23,82.11,7.7,47.71555620910846,40.02,10.13,93.8,71.67921808626488,-22.12,32.26,93.8,93.8,0.0,1.22,76.6,,,1.89,73.4,,,1.74,93.0,,,8.92,84.4,,,1.09,89.2,69.6,-19.56,10.13,93.8,71.7,-22.12
Danilo Pereira,Arabia Saudita A,Al Ittihad,RCB,Zaga,34.0,3100.0,31.0,111.1,56.8,True,True,2,2,True,False,2027-06-30,Guinea-Bissau,"Guinea-Bissau, Portugal",Exterior,True,8000000.0,direito,188.0,True,63.9,True,14,agrupado,7.0,5,4,,duelos_def_ganhos_pct,True,False,True,True,2400,4M - 5.3M,8000000,atende,atende,atende,"Velocidade de pico, média dos 5 melhores jogos (km/h)",72.55,94.7,58.09037878734949,-36.61,67.74,96.5,58.48129879891171,-38.02,92.57,94.7,58.09037878734949,-36.61,10.28,94.7,65.26696709767677,-29.43,31.98,79.5,79.5,0.0,1.14,94.6,,,1.95,67.0,,,1.68,78.6,,,5.8,37.5,,,0.99,93.0,64.4,-28.58,10.28,94.7,65.3,-29.43
Roger Ibañez,Arabia Saudita A,Al Ahli,LCB,Zaga,27.0,2748.0,28.0,84.1,56.8,True,True,2,2,True,False,2027-06-30,Brazil,"Brazil, Italy",Exterior,False,20000000.0,direito,185.0,True,59.4,False,18,agrupado,7.0,5,4,,duelos_def_ganhos_pct;duelos_aereos_ganhos_pct,True,False,True,True,2646,9M - 11.5M,20000000,atende,atende,atende,"Velocidade de pico, média dos 5 melhores jogos (km/h)",69.07,84.2,56.03108610378648,-28.17,61.76,71.9,53.54972371366206,-18.35,85.34,32.5,45.701151377554055,13.2,9.92,93.0,64.75766078340075,-28.24,31.94,76.8,76.8,0.0,1.23,81.2,,,2.02,43.8,,,1.36,64.3,,,6.9,60.7,,,1.18,98.2,67.2,-31.03,9.92,93.0,64.8,-28.24
Rui Bruno,Portugal C,São João Ver,LCB,Zaga,27.0,1925.0,23.0,73.2,56.8,True,True,3,2,True,False,2026-06-30,Portugal,Portugal,Exterior,True,0.0,esquerdo,185.0,True,54.6,False,19,fraco,2.0,4,4,,duelos_def_ganhos_pct;passes_progressivos_90,True,False,True,False,0,30K - 45K,0,NÃO VERIFICADO,atende,atende,"Velocidade de pico, média dos 5 melhores jogos (km/h)",72.44,81.8,55.54544401441386,-26.25,66.28,90.9,57.39162289643527,-33.51,82.68,47.0,48.57334679845301,1.57,10.43,75.8,56.932077829833425,-18.87,,,,,,,,,,,,,,,,,,,,,0.42,25.0,34.5,9.47,10.43,75.8,56.9,-18.87
Wilson Manafá,China,Shanghai Shenhua,RB,Lateral,31.0,1064.0,11.0,71.2,46.8,True,True,3,3,True,False,2026-12-31,Portugal,"Portugal, Guinea-Bissau",Exterior,True,1300000.0,direito,177.0,True,71.4,False,17,agrupado,3.0,6,4,,,True,True,True,True,3000,800K - 1.1M,1300000,atende,atende,atende,"Velocidade de pico, média dos 5 melhores jogos (km/h); Tempo até atingir o sprint (s)",64.63,73.9,60.66904961629443,-13.23,37.5,17.4,49.47317207587308,32.07,80.0,65.2,58.90658085535124,-6.29,8.88,91.3,70.19953982053568,-21.1,32.02,88.9,88.9,0.0,1.13,100.0,100.0,0.0,1.85,83.3,,,2.29,88.9,,,11.47,72.2,,,1.44,78.3,64.1,-14.18,8.88,91.3,70.2,-21.1
Marcos Llorente,Espanha A,Atlético Madrid,RB,Lateral,31.0,2396.0,29.0,72.7,46.8,True,True,3,3,True,False,2027-06-30,Spain,Spain,Exterior,True,30000000.0,direito,184.0,True,70.9,False,19,fraco,2.0,6,4,,,True,True,True,True,2214,7.5M - 9.5M,30000000,atende,atende,atende,"Velocidade de pico, média dos 5 melhores jogos (km/h); Tempo até atingir o sprint (s)",67.08,88.9,63.748883075039586,-25.15,45.16,38.1,53.505691140308215,15.41,88.39,88.9,63.748883075039586,-25.15,7.55,65.1,58.09101728031459,-7.01,32.68,90.3,90.3,0.0,1.08,96.0,96.0,0.0,1.79,90.3,,,2.76,71.8,,,12.59,38.7,,,1.92,92.1,70.6,-21.52,7.55,65.1,58.1,-7.01
César Castro,Paraguai,2 de Mayo,LB,Lateral,33.0,2106.0,23.0,101.7,46.8,True,True,2,2,True,False,2026-12-31,Paraguay,Paraguay,Sul-americano,True,0.0,esquerdo,0.0,True,69.9,True,13,agrupado,7.0,6,4,,,True,True,True,True,1656,80K - 120K,0,atende,atende,atende,"Velocidade de pico, média dos 5 melhores jogos (km/h); Tempo até atingir o sprint (s)",64.47,54.5,56.7309848582423,2.23,59.52,81.8,62.26522416984101,-19.53,82.82,97.0,65.44073027298359,-31.56,8.29,57.6,54.6245971001781,-2.98,31.78,92.2,92.2,0.0,1.2,88.3,88.3,0.0,1.96,56.2,,,1.63,67.2,,,11.25,68.8,,,0.56,27.3,41.4,14.09,8.29,57.6,54.6,-2.98
Hu Hetao,China,Chengdu Rongcheng,LB,Lateral,22.0,1482.0,15.0,102.2,46.8,True,True,3,2,True,False,2027-02-28,China PR,China PR,Exterior,True,0.0,esquerdo,180.0,True,67.8,False,14,agrupado,3.0,6,4,,,True,True,True,True,1890,100K - 150K,0,atende,atende,atende,"Velocidade de pico, média dos 5 melhores jogos (km/h); Tempo até atingir o sprint (s)",71.11,91.3,64.38214520454365,-26.92,45.71,56.5,57.49178492041581,0.99,80.09,73.9,60.94422325315409,-12.96,7.71,73.9,63.07566876126464,-10.82,31.16,66.7,66.7,0.0,1.16,94.4,94.4,0.0,1.85,83.3,,,2.62,94.4,,,14.82,100.0,,,1.46,82.6,66.9,-15.71,7.71,73.9,63.1,-10.82
Paulo Otávio,Catar,Al Sadd,LB,Lateral,31.0,1723.0,18.0,86.8,46.8,True,True,3,3,True,False,2026-06-30,Brazil,Brazil,Exterior,False,3300000.0,esquerdo,173.0,True,65.9,False,15,agrupado,4.0,6,4,,passes_certos_pct,True,False,True,True,1649,2.7M - 3.6M,3300000,atende,atende,atende,"Velocidade de pico, média dos 5 melhores jogos (km/h); Tempo até atingir o sprint (s)",60.87,78.6,53.76782801177433,-24.83,31.58,10.7,40.33052546801724,29.63,78.65,50.0,48.00129833499661,-2.0,6.27,60.7,53.17005653037091,-7.53,33.28,100.0,100.0,0.0,1.11,100.0,100.0,0.0,1.81,92.0,,,4.21,100.0,,,20.79,100.0,,,1.36,96.4,69.7,-26.69,6.27,60.7,53.2,-7.53
Iza Carcelén,Espanha B,Cádiz,RB,Lateral,33.0,2570.0,30.0,71.4,46.8,True,True,2,2,True,False,2027-06-30,Spain,Spain,Exterior,True,1500000.0,direito,178.0,True,62.5,True,16,agrupado,3.0,6,4,,,True,True,True,True,2580,,1500000,atende,atende,atende,"Velocidade de pico, média dos 5 melhores jogos (km/h); Tempo até atingir o sprint (s)",67.37,94.4,58.05891992998341,-36.34,58.06,91.5,57.44896155660819,-34.05,79.16,57.7,50.54155941015858,-7.16,9.88,94.4,65.2352283213693,-29.16,31.92,74.3,74.3,0.0,1.18,69.3,69.3,0.0,1.84,69.3,,,1.77,37.1,,,10.5,15.7,,,0.7,28.2,35.4,7.16,9.88,94.4,65.2,-29.16
