fronteira,familia,comparacao,indicador,citado,n_a,n_b,cru_a,cru_b,d,ic95_d,p,d_minimo_80,q,selo,poder_suficiente,setor,subamostra,unidade,medida_nome,nome
com,razao,SM,r_distance,0,23,76,1.065,1.048,0.355,"[-0.3, 0.99]",0.18413,0.67,0.23016,sem diferença clara,False,Atacante,todos,jogador-temporada,razão entre as duas fases (sem a bola ÷ com a bola),Distância: sem a bola dividido por com a bola
com,razao,SM,r_hi_distance,0,23,76,0.963,0.877,0.487,"[-0.05, 1.03]",0.03495,0.67,0.05825,pode ser sorte,False,Atacante,todos,jogador-temporada,razão entre as duas fases (sem a bola ÷ com a bola),Alta intensidade: sem a bola dividido por com a bola
com,razao,SM,r_sprint_count,0,23,76,0.944,0.785,0.498,"[0.04, 1.01]",0.02754,0.67,0.05825,pode ser sorte,False,Atacante,todos,jogador-temporada,razão entre as duas fases (sem a bola ÷ com a bola),Sprints: sem a bola dividido por com a bola
com,razao,SM,r_high_accel,0,23,76,0.827,0.698,0.604,"[0.04, 1.2]",0.01046,0.67,0.05231,pode ser sorte,False,Atacante,todos,jogador-temporada,razão entre as duas fases (sem a bola ÷ com a bola),Arrancadas fortes: sem a bola dividido por com a bola
com,razao,SM,r_cod_count,0,23,76,1.078,1.033,0.175,"[-0.36, 0.67]",0.48475,0.67,0.48475,sem diferença clara,False,Atacante,todos,jogador-temporada,razão entre as duas fases (sem a bola ÷ com a bola),Mudanças de direção: sem a bola dividido por com a bola
com,razao,CM,r_distance,0,24,76,1.036,1.048,-0.263,"[-0.82, 0.26]",0.3046,0.66,0.69357,sem diferença clara,False,Atacante,todos,jogador-temporada,razão entre as duas fases (sem a bola ÷ com a bola),Distância: sem a bola dividido por com a bola
com,razao,CM,r_hi_distance,0,24,76,0.85,0.877,-0.178,"[-0.89, 0.44]",0.45679,0.66,0.69357,sem diferença clara,False,Atacante,todos,jogador-temporada,razão entre as duas fases (sem a bola ÷ com a bola),Alta intensidade: sem a bola dividido por com a bola
com,razao,CM,r_sprint_count,0,24,76,0.865,0.785,0.056,"[-0.61, 0.67]",0.80282,0.66,0.80282,sem diferença clara,False,Atacante,todos,jogador-temporada,razão entre as duas fases (sem a bola ÷ com a bola),Sprints: sem a bola dividido por com a bola
com,razao,CM,r_high_accel,0,24,76,0.711,0.698,-0.139,"[-0.72, 0.38]",0.55486,0.66,0.69357,sem diferença clara,False,Atacante,todos,jogador-temporada,razão entre as duas fases (sem a bola ÷ com a bola),Arrancadas fortes: sem a bola dividido por com a bola
com,razao,CM,r_cod_count,0,24,76,0.941,1.033,-0.224,"[-0.84, 0.36]",0.35316,0.66,0.69357,sem diferença clara,False,Atacante,todos,jogador-temporada,razão entre as duas fases (sem a bola ÷ com a bola),Mudanças de direção: sem a bola dividido por com a bola
com,nivel_com_bola,SM,distance_p30tip,0,23,76,4056.83,4064.72,0.087,"[-0.37, 0.51]",0.72834,0.67,0.72834,sem diferença clara,False,Atacante,todos,jogador-temporada,nível por 30 min da fase,"Distância com a bola, por 30 min de posse"
com,nivel_com_bola,SM,high_accel_p30tip,0,23,76,3.66,3.865,-0.312,"[-0.74, 0.1]",0.16016,0.67,0.48048,sem diferença clara,False,Atacante,todos,jogador-temporada,nível por 30 min da fase,"Arrancadas fortes com a bola, por 30 min de posse"
com,nivel_com_bola,SM,cod_count_p30tip,0,23,76,20.18,20.085,0.141,"[-0.31, 0.65]",0.56173,0.67,0.72834,sem diferença clara,False,Atacante,todos,jogador-temporada,nível por 30 min da fase,"Mudanças de direção com a bola, por 30 min de posse"
com,nivel_com_bola,CM,distance_p30tip,0,24,76,4057.395,4064.72,-0.032,"[-0.5, 0.4]",0.89447,0.66,0.89447,sem diferença clara,False,Atacante,todos,jogador-temporada,nível por 30 min da fase,"Distância com a bola, por 30 min de posse"
com,nivel_com_bola,CM,high_accel_p30tip,0,24,76,3.675,3.865,-0.139,"[-0.57, 0.34]",0.56657,0.66,0.89447,sem diferença clara,False,Atacante,todos,jogador-temporada,nível por 30 min da fase,"Arrancadas fortes com a bola, por 30 min de posse"
com,nivel_com_bola,CM,cod_count_p30tip,0,24,76,20.325,20.085,0.068,"[-0.37, 0.43]",0.79798,0.66,0.89447,sem diferença clara,False,Atacante,todos,jogador-temporada,nível por 30 min da fase,"Mudanças de direção com a bola, por 30 min de posse"
com,nivel_sem_bola,SM,distance_p30otip,0,23,76,4453.81,4289.125,0.446,"[-0.1, 0.96]",0.0862,0.67,0.25859,sem diferença clara,False,Atacante,todos,jogador-temporada,nível por 30 min da fase,"Distância sem a bola, por 30 min sem posse"
com,nivel_sem_bola,SM,high_accel_p30otip,0,23,76,2.75,2.75,0.21,"[-0.28, 0.68]",0.33249,0.67,0.33249,sem diferença clara,False,Atacante,todos,jogador-temporada,nível por 30 min da fase,"Arrancadas fortes sem a bola, por 30 min sem posse"
com,nivel_sem_bola,SM,cod_count_p30otip,0,23,76,22.56,21.525,0.29,"[-0.15, 0.78]",0.23685,0.67,0.33249,sem diferença clara,False,Atacante,todos,jogador-temporada,nível por 30 min da fase,"Mudanças de direção sem a bola, por 30 min sem posse"
com,nivel_sem_bola,CM,distance_p30otip,0,24,76,4084.84,4289.125,-0.24,"[-0.8, 0.26]",0.35408,0.66,0.39966,sem diferença clara,False,Atacante,todos,jogador-temporada,nível por 30 min da fase,"Distância sem a bola, por 30 min sem posse"
com,nivel_sem_bola,CM,high_accel_p30otip,0,24,76,2.54,2.75,-0.212,"[-0.82, 0.32]",0.39966,0.66,0.39966,sem diferença clara,False,Atacante,todos,jogador-temporada,nível por 30 min da fase,"Arrancadas fortes sem a bola, por 30 min sem posse"
com,nivel_sem_bola,CM,cod_count_p30otip,0,24,76,18.96,21.525,-0.311,"[-0.87, 0.16]",0.19121,0.66,0.39966,sem diferença clara,False,Atacante,todos,jogador-temporada,nível por 30 min da fase,"Mudanças de direção sem a bola, por 30 min sem posse"
sem,razao,SM,r_distance,0,12,54,1.068,1.059,0.367,"[-0.51, 1.14]",0.31817,0.91,0.39772,sem diferença clara,False,Atacante,todos,jogador-temporada,razão entre as duas fases (sem a bola ÷ com a bola),Distância: sem a bola dividido por com a bola
sem,razao,SM,r_hi_distance,0,12,54,0.984,0.894,0.55,"[-0.13, 1.23]",0.0729,0.91,0.1215,sem diferença clara,False,Atacante,todos,jogador-temporada,razão entre as duas fases (sem a bola ÷ com a bola),Alta intensidade: sem a bola dividido por com a bola
sem,razao,SM,r_sprint_count,0,12,54,1.042,0.842,0.599,"[0.05, 1.17]",0.02882,0.91,0.07204,pode ser sorte,False,Atacante,todos,jogador-temporada,razão entre as duas fases (sem a bola ÷ com a bola),Sprints: sem a bola dividido por com a bola
sem,razao,SM,r_high_accel,0,12,54,0.846,0.702,0.715,"[0.02, 1.33]",0.02065,0.91,0.07204,pode ser sorte,False,Atacante,todos,jogador-temporada,razão entre as duas fases (sem a bola ÷ com a bola),Arrancadas fortes: sem a bola dividido por com a bola
sem,razao,SM,r_cod_count,0,12,54,1.034,1.069,-0.014,"[-0.81, 0.67]",0.96717,0.91,0.96717,sem diferença clara,False,Atacante,todos,jogador-temporada,razão entre as duas fases (sem a bola ÷ com a bola),Mudanças de direção: sem a bola dividido por com a bola
sem,razao,CM,r_distance,0,18,54,1.036,1.059,-0.536,"[-1.13, -0.03]",0.05618,0.77,0.28088,sem diferença clara,False,Atacante,todos,jogador-temporada,razão entre as duas fases (sem a bola ÷ com a bola),Distância: sem a bola dividido por com a bola
sem,razao,CM,r_hi_distance,0,18,54,0.823,0.894,-0.405,"[-1.15, 0.29]",0.13775,0.77,0.31227,sem diferença clara,False,Atacante,todos,jogador-temporada,razão entre as duas fases (sem a bola ÷ com a bola),Alta intensidade: sem a bola dividido por com a bola
sem,razao,CM,r_sprint_count,0,18,54,0.911,0.842,-0.148,"[-0.84, 0.56]",0.55106,0.77,0.55106,sem diferença clara,False,Atacante,todos,jogador-temporada,razão entre as duas fases (sem a bola ÷ com a bola),Sprints: sem a bola dividido por com a bola
sem,razao,CM,r_high_accel,0,18,54,0.711,0.702,-0.296,"[-1.05, 0.29]",0.24982,0.77,0.31227,sem diferença clara,False,Atacante,todos,jogador-temporada,razão entre as duas fases (sem a bola ÷ com a bola),Arrancadas fortes: sem a bola dividido por com a bola
sem,razao,CM,r_cod_count,0,18,54,0.956,1.069,-0.359,"[-1.04, 0.21]",0.18855,0.77,0.31227,sem diferença clara,False,Atacante,todos,jogador-temporada,razão entre as duas fases (sem a bola ÷ com a bola),Mudanças de direção: sem a bola dividido por com a bola
sem,nivel_com_bola,SM,distance_p30tip,0,12,54,4007.6,4047.16,-0.146,"[-0.82, 0.44]",0.69672,0.91,0.97792,sem diferença clara,False,Atacante,todos,jogador-temporada,nível por 30 min da fase,"Distância com a bola, por 30 min de posse"
sem,nivel_com_bola,SM,high_accel_p30tip,0,12,54,3.775,3.91,-0.257,"[-0.83, 0.38]",0.41267,0.91,0.97792,sem diferença clara,False,Atacante,todos,jogador-temporada,nível por 30 min da fase,"Arrancadas fortes com a bola, por 30 min de posse"
sem,nivel_com_bola,SM,cod_count_p30tip,0,12,54,19.31,19.775,-0.01,"[-0.62, 0.54]",0.97792,0.91,0.97792,sem diferença clara,False,Atacante,todos,jogador-temporada,nível por 30 min da fase,"Mudanças de direção com a bola, por 30 min de posse"
sem,nivel_com_bola,CM,distance_p30tip,0,18,54,4075.135,4047.16,0.215,"[-0.33, 0.71]",0.464,0.77,0.69042,sem diferença clara,False,Atacante,todos,jogador-temporada,nível por 30 min da fase,"Distância com a bola, por 30 min de posse"
sem,nivel_com_bola,CM,high_accel_p30tip,0,18,54,3.395,3.91,-0.355,"[-0.85, 0.17]",0.22686,0.77,0.68058,sem diferença clara,False,Atacante,todos,jogador-temporada,nível por 30 min da fase,"Arrancadas fortes com a bola, por 30 min de posse"
sem,nivel_com_bola,CM,cod_count_p30tip,0,18,54,19.76,19.775,0.126,"[-0.37, 0.5]",0.69042,0.77,0.69042,sem diferença clara,False,Atacante,todos,jogador-temporada,nível por 30 min da fase,"Mudanças de direção com a bola, por 30 min de posse"
sem,nivel_sem_bola,SM,distance_p30otip,0,12,54,4309.72,4289.125,0.271,"[-0.69, 1.07]",0.47312,0.91,0.70968,sem diferença clara,False,Atacante,todos,jogador-temporada,nível por 30 min da fase,"Distância sem a bola, por 30 min sem posse"
sem,nivel_sem_bola,SM,high_accel_p30otip,0,12,54,2.995,2.805,0.473,"[-0.19, 1.06]",0.11426,0.91,0.34278,sem diferença clara,False,Atacante,todos,jogador-temporada,nível por 30 min da fase,"Arrancadas fortes sem a bola, por 30 min sem posse"
sem,nivel_sem_bola,SM,cod_count_p30otip,0,12,54,20.14,21.075,0.041,"[-0.78, 0.77]",0.91214,0.91,0.91214,sem diferença clara,False,Atacante,todos,jogador-temporada,nível por 30 min da fase,"Mudanças de direção sem a bola, por 30 min sem posse"
sem,nivel_sem_bola,CM,distance_p30otip,0,18,54,4084.84,4289.125,-0.282,"[-1.08, 0.28]",0.35059,0.77,0.35059,sem diferença clara,False,Atacante,todos,jogador-temporada,nível por 30 min da fase,"Distância sem a bola, por 30 min sem posse"
sem,nivel_sem_bola,CM,high_accel_p30otip,0,18,54,2.4,2.805,-0.441,"[-1.28, 0.17]",0.14247,0.77,0.21371,sem diferença clara,False,Atacante,todos,jogador-temporada,nível por 30 min da fase,"Arrancadas fortes sem a bola, por 30 min sem posse"
