temporada,clube_wyscout,rodada,data,treinador,clube_tm,interino,inicio,fim,fim_inferido
2023,ABC,1,2023-04-16,Fernando Marchiori,ABC FC,0,2022-03-29,2023-05-15,0
2023,ABC,2,2023-04-23,Fernando Marchiori,ABC FC,0,2022-03-29,2023-05-15,0
2023,ABC,3,2023-04-30,Fernando Marchiori,ABC FC,0,2022-03-29,2023-05-15,0
2023,ABC,4,2023-05-04,Fernando Marchiori,ABC FC,0,2022-03-29,2023-05-15,0
2023,ABC,5,2023-05-07,Fernando Marchiori,ABC FC,0,2022-03-29,2023-05-15,0
2023,ABC,6,2023-05-14,Fernando Marchiori,ABC FC,0,2022-03-29,2023-05-15,0
2023,ABC,7,2023-05-20,Jonydei Matos,ABC FC,1,2023-05-16,2023-05-23,0
2023,ABC,8,2023-05-24,Allan Aal,ABC FC,0,2023-05-24,2023-09-04,0
2023,ABC,9,2023-05-28,Allan Aal,ABC FC,0,2023-05-24,2023-09-04,0
2023,ABC,10,2023-06-03,Allan Aal,ABC FC,0,2023-05-24,2023-09-04,0
2023,ABC,11,2023-06-07,Allan Aal,ABC FC,0,2023-05-24,2023-09-04,0
2023,ABC,12,2023-06-10,Allan Aal,ABC FC,0,2023-05-24,2023-09-04,0
2023,ABC,13,2023-06-25,Allan Aal,ABC FC,0,2023-05-24,2023-09-04,0
2023,ABC,14,2023-06-29,Allan Aal,ABC FC,0,2023-05-24,2023-09-04,0
2023,ABC,15,2023-07-01,Allan Aal,ABC FC,0,2023-05-24,2023-09-04,0
2023,ABC,16,2023-07-08,Allan Aal,ABC FC,0,2023-05-24,2023-09-04,0
2023,ABC,17,2023-07-15,Allan Aal,ABC FC,0,2023-05-24,2023-09-04,0
2023,ABC,18,2023-07-20,Allan Aal,ABC FC,0,2023-05-24,2023-09-04,0
2023,ABC,19,2023-07-22,Allan Aal,ABC FC,0,2023-05-24,2023-09-04,0
2023,ABC,20,2023-07-29,Allan Aal,ABC FC,0,2023-05-24,2023-09-04,0
2023,ABC,21,2023-08-03,Allan Aal,ABC FC,0,2023-05-24,2023-09-04,0
2023,ABC,22,2023-08-06,Allan Aal,ABC FC,0,2023-05-24,2023-09-04,0
2023,ABC,23,2023-08-15,Allan Aal,ABC FC,0,2023-05-24,2023-09-04,0
2023,ABC,24,2023-08-19,Allan Aal,ABC FC,0,2023-05-24,2023-09-04,0
2023,ABC,25,2023-08-29,Allan Aal,ABC FC,0,2023-05-24,2023-09-04,0
2023,ABC,26,2023-09-02,Allan Aal,ABC FC,0,2023-05-24,2023-09-04,0
2023,ABC,27,2023-09-07,Argel Fuchs,ABC FC,0,2023-09-04,2023-11-22,0
2023,ABC,28,2023-09-16,Argel Fuchs,ABC FC,0,2023-09-04,2023-11-22,0
2023,ABC,29,2023-09-26,Argel Fuchs,ABC FC,0,2023-09-04,2023-11-22,0
2023,ABC,30,2023-09-30,Argel Fuchs,ABC FC,0,2023-09-04,2023-11-22,0
2023,ABC,31,2023-10-06,Argel Fuchs,ABC FC,0,2023-09-04,2023-11-22,0
2023,ABC,32,2023-10-11,Argel Fuchs,ABC FC,0,2023-09-04,2023-11-22,0
2023,ABC,33,2023-10-20,Argel Fuchs,ABC FC,0,2023-09-04,2023-11-22,0
2023,ABC,34,2023-10-27,Argel Fuchs,ABC FC,0,2023-09-04,2023-11-22,0
2023,ABC,35,2023-11-08,Argel Fuchs,ABC FC,0,2023-09-04,2023-11-22,0
2023,ABC,36,2023-11-15,Argel Fuchs,ABC FC,0,2023-09-04,2023-11-22,0
2023,ABC,37,2023-11-19,Argel Fuchs,ABC FC,0,2023-09-04,2023-11-22,0
2023,ABC,38,2023-11-25,Rafael Lacerda,ABC FC,0,2023-11-24,2024-03-11,0
2024,Amazonas,1,2024-04-20,Adilson Batista,Amazonas FC,0,2024-04-19,2024-05-23,0
