treinador,clube,temporada,inicio,interino,rodadas,rodada_1a,rodada_ultima,no_g4,pct_g4,rodadas_apos_10,no_g4_apos_10,pct_g4_apos_10,pontos,ppj,pos_ao_assumir,pos_ao_sair,dist_g4_ao_assumir,dist_g4_ao_sair,xg_saldo_pj,xg_jogos,valor_elenco_eur,base_incompleta,em_curso,no_ranking,ppj_outros_mesmo_time,rodadas_outros
Enderson Moreira,Bahia,2022,2022-07-01,0,17,16,32,17,100.0,17,17,100.0,24,1.41,3,3,3,3,0.59,17,21700000.0,0,0,1,1.75,20
Guto Ferreira,Bahia,2022,2021-10-08,0,14,1,14,14,100.0,5,5,100.0,25,1.79,1,3,0,3,0.45,14,21700000.0,0,0,1,1.48,23
Renato Gaúcho,Grêmio,2022,2022-09-08,0,10,29,38,10,100.0,10,10,100.0,18,1.8,3,2,5,3,1.14,10,49775000.0,0,0,1,1.68,28
Jorginho,Vasco,2022,2022-09-06,0,10,29,38,10,100.0,10,10,100.0,17,1.7,4,4,0,0,-0.28,10,31125000.0,0,0,1,1.61,28
Maurício Souza,Vasco,2022,2022-06-15,0,8,13,20,8,100.0,8,8,100.0,11,1.38,2,3,6,1,0.0,8,31125000.0,0,0,0,1.7,30
Emilio Faro,Vasco,2022,2022-07-25,1,8,21,28,8,100.0,8,8,100.0,10,1.25,2,4,1,0,-0.08,8,31125000.0,0,0,0,1.73,30
Eduardo Barroca,Bahia,2022,2022-10-03,0,6,33,38,6,100.0,6,6,100.0,10,1.67,3,3,1,0,0.47,6,21700000.0,0,0,0,1.58,31
Emilio Faro,Vasco,2022,2022-06-06,1,2,11,12,2,100.0,2,2,100.0,6,3.0,3,3,3,5,-0.42,2,31125000.0,0,0,0,1.56,36
César Lopes,Grêmio,2022,2022-09-02,1,1,28,28,1,100.0,1,1,100.0,3,3.0,3,3,2,2,-0.56,1,49775000.0,0,0,0,1.68,37
Leandro Zago,Santos,2024,2024-11-18,1,1,38,38,1,100.0,1,1,100.0,0,0.0,1,1,4,4,-2.97,1,64075000.0,0,0,0,1.84,37
César Lucena,Sport,2024,2024-07-22,1,1,15,15,1,100.0,1,1,100.0,1,1.0,4,4,0,0,-0.76,1,20975000.0,0,0,0,1.76,37
César Lucena,Sport,2024,2024-07-26,0,1,16,16,1,100.0,1,1,100.0,3,3.0,2,2,1,1,-0.09,1,20975000.0,0,0,0,1.7,37
Léo Condé,Vitória,2023,2023-02-10,0,38,1,38,36,94.7,29,27,93.1,72,1.89,2,1,0,8,0.28,38,14025000.0,0,0,1,,0
Vagner Mancini,Goiás,2025,2025-03-26,0,32,1,32,29,90.6,23,23,100.0,52,1.62,8,4,0,0,0.2,32,18250000.0,0,0,1,1.5,6
Paulo Pezzolano,Cruzeiro,2022,2022-01-04,0,38,1,38,34,89.5,29,29,100.0,78,2.05,19,1,-3,16,0.21,38,29750000.0,0,0,1,,0
Fábio Carille,Santos,2024,2024-01-01,0,37,1,37,33,89.2,28,25,89.3,68,1.84,3,1,0,5,0.45,37,64075000.0,0,0,1,0.0,1
Guto Ferreira,Vila Nova,2026,2026-03-27,0,25,2,26,22,88.0,17,17,100.0,46,1.84,9,1,-2,3,0.13,25,11000000.0,1,1,1,,0
Mozart,Coritiba,2025,2024-12-04,0,38,1,38,33,86.8,29,29,100.0,68,1.79,6,1,0,6,0.16,38,23500000.0,0,0,1,,0
Claudinei Oliveira,Vila Nova,2023,2022-12-14,0,21,1,21,18,85.7,12,11,91.7,35,1.67,6,7,0,-3,0.53,21,10475000.0,0,0,1,1.53,17
Mariano Soso,Sport,2024,2023-12-05,0,14,1,14,12,85.7,5,5,100.0,24,1.71,5,3,0,0,0.34,14,20975000.0,0,0,1,1.75,24
Pepa,Sport,2024,2024-09-03,0,17,22,38,13,76.5,17,13,76.5,34,2.0,5,3,-1,2,0.71,17,20975000.0,0,0,1,1.52,21
Enderson Moreira,Sport,2023,2022-11-18,0,37,1,37,28,75.7,28,24,85.7,60,1.62,11,8,-2,-1,0.22,37,17900000.0,0,0,1,3.0,1
Roger Machado,Grêmio,2022,2022-02-14,0,27,1,27,18,66.7,18,15,83.3,44,1.63,14,4,-2,0,0.4,27,49775000.0,0,0,1,1.91,11
Gilmar Dal Pozzo,Sport,2022,2022-03-15,0,14,1,14,9,64.3,5,3,60.0,21,1.5,5,5,0,-1,0.1,14,16300000.0,0,0,1,1.5,24
Cauan de Almeida,América-MG,2024,2023-12-20,0,23,1,23,14,60.9,14,10,71.4,35,1.52,8,7,-2,-4,0.19,23,23325000.0,0,0,1,1.43,14
Guto Ferreira,Sport,2024,2024-07-26,0,5,17,21,3,60.0,5,3,60.0,4,0.8,2,7,1,-2,-0.33,5,20975000.0,0,0,0,1.88,33
Umberto Louzer,Novorizontino,2025,2025-04-04,0,22,2,23,13,59.1,14,13,92.9,35,1.59,8,5,-2,0,0.18,22,13375000.0,0,0,1,1.56,16
Márcio Goiano,Sport,2026,2026-03-24,0,14,2,15,8,57.1,6,5,83.3,24,1.71,11,8,-2,0,0.42,14,23625000.0,0,1,1,1.31,13
Paulo Autuori,Fortaleza,2026,2026-07-30,0,7,21,27,4,57.1,7,4,57.1,13,1.86,4,4,0,0,0.28,7,30900000.0,0,1,0,1.63,19
Mozart,Mirassol,2024,2023-05-04,0,38,1,38,21,55.3,29,20,69.0,67,1.76,18,2,-3,3,0.25,38,16975000.0,0,0,1,,0
Eduardo Baptista,Novorizontino,2024,2022-11-16,0,38,1,38,20,52.6,29,20,69.0,64,1.68,6,5,0,0,0.26,38,11000000.0,0,0,1,,0
Claudio Tencati,Criciúma,2023,2021-10-07,0,38,1,38,19,50.0,29,13,44.8,64,1.68,3,3,0,0,-0.1,38,10900000.0,0,0,1,,0
Eduardo Baptista,Novorizontino,2023,2022-11-16,0,38,1,38,19,50.0,29,18,62.1,63,1.66,14,5,-3,-1,0.85,38,13900000.0,0,0,1,,0
Ricardo Catalá,São Bernardo,2026,2024-04-04,0,20,1,20,10,50.0,11,6,54.5,27,1.35,11,12,-2,-7,0.03,20,7925000.0,1,1,1,1.33,6
Guto Ferreira,Remo,2025,2025-09-24,0,10,29,38,5,50.0,10,5,50.0,23,2.3,8,4,-6,0,-0.18,10,27650000.0,0,0,1,1.39,28
Maurício Barbieri,Athletico-PR,2025,2024-12-16,0,6,1,6,3,50.0,0,0,,9,1.5,2,9,0,-3,0.26,6,50500000.0,0,0,0,1.75,32
Eduardo Baptista,Criciúma,2026,2025-05-07,0,26,1,26,12,46.2,17,11,64.7,44,1.69,6,5,0,0,0.09,26,12750000.0,1,1,1,,0
