treinador,passagens,clubes,temporadas,rodadas,no_g4,pct_g4,rodadas_apos_10,pct_g4_apos_10,ppj,xg_saldo_pj,valor_elenco_mediano_eur
Renato Gaúcho,1,1,2022,10,10,100.0,10,100.0,1.8,1.14,49775000.0
Paulo Pezzolano,1,1,2022,38,34,89.5,29,100.0,2.05,0.21,29750000.0
Fábio Carille,1,1,2024,37,33,89.2,28,89.3,1.84,0.45,64075000.0
Mariano Soso,1,1,2024,14,12,85.7,5,100.0,1.71,0.34,20975000.0
Pepa,1,1,2024,17,13,76.5,17,76.5,2.0,0.71,20975000.0
Roger Machado,1,1,2022,27,18,66.7,18,83.3,1.63,0.4,49775000.0
Guto Ferreira,5,5,2022 2023 2025 2026,81,47,58.0,55,54.5,1.72,0.14,21900000.0
Márcio Goiano,1,1,2026,14,8,57.1,6,83.3,1.71,0.42,23625000.0
Ricardo Catalá,1,1,2026,20,10,50.0,11,54.5,1.35,0.03,7925000.0
Cauan de Almeida,2,2,2024 2026,38,18,47.4,20,50.0,1.26,-0.22,15662500.0
Eduardo Baptista,4,2,2023 2024 2025 2026,134,63,47.0,104,58.7,1.69,0.41,13325000.0
Enderson Moreira,6,5,2022 2023 2024 2025 2026,122,57,46.7,108,49.1,1.52,0.43,18450000.0
Maurício Barbieri,1,1,2026,24,10,41.7,18,55.6,1.79,0.2,15975000.0
Zé Ricardo,1,1,2022,10,4,40.0,1,100.0,1.8,0.23,31125000.0
Léo Condé,3,3,2022 2023 2024,101,39,38.6,83,36.1,1.73,0.19,14025000.0
Vagner Mancini,4,2,2023 2024 2025,77,29,37.7,59,39.0,1.57,0.25,26737500.0
Jorginho,2,2,2022 2024,29,10,34.5,29,34.5,1.62,-0.1,31587500.0
Thiago Carpini,2,2,2023 2026,51,17,33.3,39,33.3,1.82,0.15,23862500.0
Mozart,7,6,2022 2023 2024 2025 2026,170,56,32.9,128,38.3,1.61,0.17,13750000.0
Luizinho Lopes,1,1,2024,26,7,26.9,23,30.4,1.54,-0.05,12075000.0
Gilmar Dal Pozzo,7,3,2022 2023 2024 2025 2026,116,31,26.7,92,25.0,1.47,-0.06,16300000.0
Umberto Louzer,4,4,2023 2024 2025 2026,77,20,26.0,61,27.9,1.32,-0.06,12400000.0
Jair Ventura,2,2,2023 2025,46,11,23.9,37,21.6,1.61,0.13,18862500.0
Claudio Tencati,3,2,2022 2023 2026,103,24,23.3,76,17.1,1.47,0.12,6800000.0
Claudinei Oliveira,5,5,2022 2023 2025,88,19,21.6,70,15.7,1.4,0.04,14100000.0
Odair Hellmann,1,1,2025,30,6,20.0,29,20.7,1.83,0.45,50500000.0
William Batista,1,1,2025,10,2,20.0,1,0.0,1.3,0.25,23150000.0
Gilson Kleina,2,2,2022,26,4,15.4,17,0.0,0.92,-0.13,9125000.0
Márcio Zanardi,4,4,2024 2025 2026,59,8,13.6,50,2.0,0.98,-0.35,12747500.0
Bruno Pivetti,3,3,2022 2023 2025,53,5,9.4,32,0.0,1.28,-0.23,14200000.0
Rafael Lacerda,3,3,2024 2025,63,5,7.9,51,0.0,1.43,0.03,11175000.0
Eduardo Barroca,4,3,2023 2025 2026,89,6,6.7,64,3.1,1.45,-0.19,20250000.0
Adilson Batista,2,2,2022 2023,50,3,6.0,32,0.0,1.4,-0.11,7900000.0
Daniel Paulista,6,4,2022 2023 2024 2025 2026,120,7,5.8,90,0.0,1.43,-0.19,13787500.0
Rafael Guanaes,2,2,2022 2024,52,3,5.8,43,4.7,1.42,-0.12,11875000.0
Hélio dos Anjos,4,4,2022 2024 2026,101,4,4.0,74,2.7,1.29,0.01,13750000.0
Mazola Júnior,2,2,2022,27,1,3.7,18,0.0,1.07,0.37,8900000.0
Alberto Valentim,4,4,2022 2023 2024 2025,71,2,2.8,57,0.0,1.1,-0.37,18450000.0
Alex,2,2,2025 2026,53,1,1.9,44,0.0,1.34,0.02,15737500.0
Allan Aal,6,6,2022 2023 2024 2025 2026,107,0,0.0,95,0.0,1.18,-0.15,9762500.0
Márcio Fernandes,3,2,2023 2024 2025,45,0,0.0,41,0.0,1.16,-0.17,13825000.0
Eduardo Barros,2,1,2025 2026,40,0,0.0,35,0.0,1.43,0.31,16375000.0
Rogério Corrêa,1,1,2025,38,0,0.0,29,0.0,0.95,-0.17,5275000.0
Vinícius,2,2,2025,36,0,0.0,27,0.0,1.39,-0.26,9925000.0
Marcelo Chamusca,2,2,2023,33,0,0.0,24,0.0,0.97,-0.1,7775000.0
Marcinho,1,1,2023,30,0,0.0,29,0.0,1.17,-0.09,6225000.0
Rui Duarte,1,1,2025,28,0,0.0,28,0.0,1.36,0.13,17710000.0
Paulo Gomes,1,1,2024,28,0,0.0,19,0.0,1.14,-0.17,9525000.0
Roberto Fernandes,2,2,2022,27,0,0.0,20,0.0,1.15,-0.15,13837500.0
Nelsinho Baptista,1,1,2024,25,0,0.0,23,0.0,1.16,-0.25,7875000.0
Marcelo Cabo,2,2,2022 2024,23,0,0.0,23,0.0,1.04,-0.24,10687500.0
Eduardo Souza,2,2,2023 2026,22,0,0.0,16,0.0,1.05,-0.11,9125000.0
Carlos Pimentel,1,1,2022,21,0,0.0,21,0.0,1.86,0.04,6500000.0
Luan Carlos,1,1,2022,20,0,0.0,18,0.0,1.05,0.1,4375000.0
Roger Silva,2,2,2025 2026,20,0,0.0,11,0.0,1.25,0.27,14130000.0
Luizinho Vieira,1,1,2024,19,0,0.0,16,0.0,1.0,-0.09,7500000.0
Rogério Micale,1,1,2026,18,0,0.0,17,0.0,0.94,-0.1,6100000.0
Felipe Moreira,1,1,2023,18,0,0.0,10,0.0,1.22,-0.2,10675000.0
Matheus Costa,1,1,2022,16,0,0.0,16,0.0,0.81,-0.49,10925000.0
António Oliveira,1,1,2025,15,0,0.0,15,0.0,1.27,-0.42,27650000.0
Lisca,1,1,2024,14,0,0.0,14,0.0,1.43,0.14,23325000.0
Moacir Júnior,1,1,2023,14,0,0.0,14,0.0,1.21,-0.15,6950000.0
Dado Cavalcanti,1,1,2022,13,0,0.0,13,0.0,0.69,-1.03,13925000.0
João Burse,1,1,2023,12,0,0.0,12,0.0,0.92,-0.24,6950000.0
Argel Fuchs,1,1,2023,11,0,0.0,11,0.0,0.82,-0.24,9400000.0
Guilherme Alves,1,1,2025,11,0,0.0,6,0.0,1.18,-0.52,15970000.0
Roberto Fonseca,1,1,2023,11,0,0.0,11,0.0,1.0,-0.44,7700000.0
Pintado,1,1,2023,11,0,0.0,11,0.0,1.0,-0.51,10675000.0
Rodrigo Santana,1,1,2026,10,0,0.0,1,0.0,0.7,-0.53,4125000.0
