treinador,clube,temporada,jogos_antes,jogos_depois,dist_remate_antes,dist_remate_depois,dist_remate_mudou,entradas_area_antes,entradas_area_depois,entradas_area_mudou,duelo_def_antes,duelo_def_depois,duelo_def_mudou,xg_antes,xg_depois,xg_mudou,xg_contra_antes,xg_contra_depois,xg_contra_mudou,xg_por_remate_antes,xg_por_remate_depois,xg_por_remate_mudou,xg_por_remate_contra_antes,xg_por_remate_contra_depois,xg_por_remate_contra_mudou
Argel Fuchs,ABC,2023,26,11,0.0,80.0,80.0,5.0,0.0,-5.0,70.0,0.0,-70.0,0.0,60.0,60.0,30.0,5.0,-25.0,20.0,100.0,80.0,30.0,75.0,45.0
Márcio Zanardi,Amazonas,2025,15,19,90.0,20.0,-70.0,0.0,32.5,32.5,30.0,30.0,0.0,30.0,0.0,-30.0,0.0,40.0,40.0,80.0,10.0,-70.0,30.0,30.0,0.0
Lisca,América-MG,2024,23,14,60.0,90.0,30.0,100.0,95.0,-5.0,80.0,10.0,-70.0,90.0,90.0,0.0,50.0,25.0,-25.0,60.0,100.0,40.0,0.0,15.0,15.0
Enderson Moreira,América-MG,2025,10,11,65.0,80.0,15.0,95.0,95.0,0.0,0.0,25.0,25.0,65.0,100.0,35.0,90.0,40.0,-50.0,25.0,95.0,70.0,70.0,5.0,-65.0
Alberto Valentim,América-MG,2025,21,17,80.0,65.0,-15.0,95.0,30.0,-65.0,10.0,0.0,-10.0,95.0,25.0,-70.0,65.0,55.0,-10.0,80.0,50.0,-30.0,30.0,55.0,25.0
Umberto Louzer,América-MG,2026,11,12,5.0,50.0,45.0,90.0,30.0,-60.0,45.0,0.0,-45.0,10.0,10.0,0.0,25.0,5.0,-20.0,0.0,85.0,85.0,20.0,20.0,0.0
Rui Duarte,Athletic,2025,10,28,80.0,100.0,20.0,10.0,70.0,60.0,85.0,55.0,-30.0,30.0,60.0,30.0,80.0,70.0,-10.0,95.0,100.0,5.0,95.0,90.0,-5.0
Odair Hellmann,Athletico-PR,2025,8,30,95.0,80.0,-15.0,20.0,95.0,75.0,10.0,100.0,90.0,100.0,90.0,-10.0,40.0,95.0,55.0,100.0,80.0,-20.0,0.0,60.0,60.0
Jair Ventura,Atlético-GO,2023,19,19,95.0,100.0,5.0,95.0,85.0,-10.0,65.0,0.0,-65.0,50.0,90.0,40.0,5.0,40.0,35.0,20.0,100.0,80.0,10.0,0.0,-10.0
Fábio Matias,Atlético-GO,2025,8,9,10.0,80.0,70.0,45.0,95.0,50.0,100.0,100.0,0.0,5.0,40.0,35.0,30.0,100.0,70.0,0.0,25.0,25.0,0.0,80.0,80.0
Rafael Lacerda,Atlético-GO,2025,17,21,40.0,30.0,-10.0,95.0,40.0,-55.0,100.0,10.0,-90.0,25.0,30.0,5.0,80.0,40.0,-40.0,5.0,30.0,25.0,20.0,0.0,-20.0
Roger Silva,Atlético-GO,2026,16,10,50.0,85.0,35.0,55.0,80.0,25.0,90.0,100.0,10.0,75.0,80.0,5.0,55.0,85.0,30.0,90.0,85.0,-5.0,25.0,100.0,75.0
Eduardo Barroca,Avaí,2023,15,23,25.0,30.0,5.0,25.0,15.0,-10.0,10.0,40.0,30.0,30.0,20.0,-10.0,20.0,0.0,-20.0,15.0,70.0,55.0,5.0,15.0,10.0
Enderson Moreira,Avaí,2024,19,19,15.0,85.0,70.0,5.0,40.0,35.0,75.0,95.0,20.0,55.0,50.0,-5.0,70.0,50.0,-20.0,60.0,70.0,10.0,45.0,30.0,-15.0
Vinícius,Avaí,2025,27,11,80.0,0.0,-80.0,65.0,0.0,-65.0,65.0,30.0,-35.0,65.0,60.0,-5.0,65.0,5.0,-60.0,60.0,95.0,35.0,90.0,30.0,-60.0
Allan Aal,Avaí,2026,15,11,25.0,25.0,0.0,25.0,20.0,-5.0,25.0,10.0,-15.0,0.0,75.0,75.0,5.0,35.0,30.0,0.0,85.0,85.0,15.0,45.0,30.0
Enderson Moreira,Bahia,2022,14,17,40.0,100.0,60.0,85.0,85.0,0.0,30.0,100.0,70.0,75.0,100.0,25.0,100.0,85.0,-15.0,30.0,100.0,70.0,100.0,65.0,-35.0
Marcelo Chamusca,Botafogo-SP,2023,14,23,0.0,30.0,30.0,5.0,0.0,-5.0,65.0,15.0,-50.0,20.0,0.0,-20.0,45.0,45.0,0.0,5.0,0.0,-5.0,85.0,15.0,-70.0
Márcio Zanardi,Botafogo-SP,2024,28,10,60.0,0.0,-60.0,30.0,0.0,-30.0,5.0,100.0,95.0,15.0,10.0,-5.0,50.0,5.0,-45.0,35.0,60.0,25.0,15.0,0.0,-15.0
Allan Aal,Botafogo-SP,2025,8,22,80.0,10.0,-70.0,45.0,0.0,-45.0,30.0,70.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,10.0,-90.0,0.0,0.0,0.0
Gilson Kleina,Brusque,2022,27,11,20.0,35.0,15.0,70.0,60.0,-10.0,85.0,45.0,-40.0,45.0,55.0,10.0,80.0,35.0,-45.0,30.0,25.0,-5.0,85.0,35.0,-50.0
