treinador,clube,temporada,rodadas,inicio,dist_remate,entradas_area,duelo_def,xg,xg_contra,xg_por_remate,xg_por_remate_contra
Allan Aal,ABC,2023,19,2023-05-24,0.0,0.0,65.0,0.0,30.0,15.0,50.0
Argel Fuchs,ABC,2023,11,2023-09-04,80.0,0.0,0.0,60.0,5.0,100.0,75.0
Rafael Lacerda,Amazonas,2024,31,2024-05-27,60.0,20.0,80.0,75.0,55.0,50.0,70.0
Guilherme Alves,Amazonas,2025,11,2025-04-23,95.0,0.0,15.0,60.0,0.0,95.0,20.0
Márcio Zanardi,Amazonas,2025,19,2025-07-08,20.0,32.5,30.0,0.0,40.0,10.0,30.0
Cauan de Almeida,América-MG,2024,23,2023-12-20,60.0,100.0,80.0,90.0,50.0,60.0,0.0
Lisca,América-MG,2024,14,2024-08-29,90.0,95.0,10.0,90.0,25.0,100.0,15.0
William Batista,América-MG,2025,10,2025-01-01,65.0,95.0,0.0,65.0,90.0,25.0,70.0
Enderson Moreira,América-MG,2025,11,2025-06-03,80.0,95.0,25.0,100.0,40.0,95.0,5.0
Alberto Valentim,América-MG,2025,17,2025-08-12,65.0,30.0,0.0,25.0,55.0,50.0,55.0
Umberto Louzer,América-MG,2026,12,2026-06-03,50.0,30.0,0.0,10.0,5.0,85.0,20.0
Roger Silva,Athletic,2025,10,2024-03-08,80.0,10.0,85.0,30.0,80.0,95.0,95.0
Rui Duarte,Athletic,2025,28,2025-06-04,100.0,70.0,55.0,60.0,70.0,100.0,90.0
Alex,Athletic,2026,27,2026-02-21,67.5,12.5,57.5,12.5,32.5,82.5,52.5
Odair Hellmann,Athletico-PR,2025,30,2025-05-22,80.0,95.0,100.0,90.0,95.0,80.0,60.0
Alberto Valentim,Atlético-GO,2023,12,2023-05-05,80.0,100.0,70.0,30.0,40.0,5.0,15.0
Jair Ventura,Atlético-GO,2023,19,2023-07-27,100.0,85.0,0.0,90.0,40.0,100.0,0.0
Rafael Lacerda,Atlético-GO,2025,21,2025-07-21,30.0,40.0,10.0,30.0,40.0,30.0,0.0
Eduardo Souza,Atlético-GO,2026,10,2026-03-10,25.0,50.0,45.0,80.0,45.0,85.0,40.0
Roger Silva,Atlético-GO,2026,10,2026-07-07,85.0,80.0,100.0,80.0,85.0,85.0,100.0
Eduardo Barroca,Avaí,2023,23,2023-07-07,30.0,15.0,40.0,20.0,0.0,70.0,15.0
Gilmar Dal Pozzo,Avaí,2024,16,2024-05-06,30.0,5.0,95.0,75.0,70.0,60.0,25.0
Enderson Moreira,Avaí,2024,19,2024-08-05,85.0,40.0,95.0,50.0,50.0,70.0,30.0
Jair Ventura,Avaí,2025,27,2025-03-31,80.0,65.0,65.0,65.0,65.0,60.0,90.0
Vinícius,Avaí,2025,11,2025-09-25,0.0,0.0,30.0,60.0,5.0,95.0,30.0
Cauan de Almeida,Avaí,2026,15,2025-12-02,25.0,25.0,25.0,0.0,5.0,0.0,15.0
Allan Aal,Avaí,2026,11,2026-07-09,25.0,20.0,10.0,75.0,35.0,85.0,45.0
Guto Ferreira,Bahia,2022,14,2021-10-08,40.0,85.0,30.0,75.0,100.0,30.0,100.0
Enderson Moreira,Bahia,2022,17,2022-07-01,100.0,85.0,100.0,100.0,85.0,100.0,65.0
Adilson Batista,Botafogo-SP,2023,13,2023-02-28,10.0,10.0,70.0,20.0,60.0,5.0,90.0
Marcelo Chamusca,Botafogo-SP,2023,23,2023-06-30,30.0,0.0,15.0,0.0,45.0,0.0,15.0
Paulo Gomes,Botafogo-SP,2024,28,2023-12-07,60.0,30.0,5.0,15.0,50.0,35.0,15.0
Márcio Zanardi,Botafogo-SP,2024,10,2024-10-03,0.0,0.0,100.0,10.0,5.0,60.0,0.0
Allan Aal,Botafogo-SP,2025,22,2025-05-20,10.0,0.0,70.0,0.0,0.0,10.0,0.0
Claudio Tencati,Botafogo-SP,2026,27,2025-11-24,82.5,62.5,42.5,27.5,82.5,67.5,82.5
Luan Carlos,Brusque,2022,20,2022-05-17,15.0,60.0,75.0,30.0,85.0,5.0,90.0
Gilson Kleina,Brusque,2022,11,2022-09-02,35.0,60.0,45.0,55.0,35.0,25.0,35.0
Luizinho Vieira,Brusque,2024,19,2024-05-20,25.0,5.0,80.0,65.0,30.0,80.0,80.0
Marcelo Cabo,Brusque,2024,13,2024-09-09,0.0,5.0,20.0,0.0,30.0,0.0,80.0
Daniel Paulista,CRB,2022,30,2022-05-16,50.0,20.0,30.0,10.0,25.0,50.0,25.0
Daniel Paulista,CRB,2023,30,2023-05-31,75.0,20.0,65.0,55.0,45.0,50.0,25.0
Daniel Paulista,CRB,2024,24,2023-05-31,15.0,30.0,20.0,25.0,20.0,45.0,20.0
Hélio dos Anjos,CRB,2024,11,2024-09-23,45.0,75.0,0.0,5.0,55.0,5.0,50.0
Eduardo Barroca,CRB,2025,38,2025-03-28,42.5,97.5,2.5,92.5,17.5,17.5,32.5
Eduardo Barroca,CRB,2026,16,2025-03-28,30.0,100.0,100.0,75.0,35.0,0.0,25.0
