ano,jogador,time,posicao,grupo,idade,jogos,minutos,fatia_pct,time_hoje,faixa_do_time,id_tm,lesao_dias,lesao_n,lesao_jogos_perdidos,alta,temporadas_alta_ult3,temporadas_com_dado_ult3,regular
2026,Muriel,Náutico,GK,Goleiro,39,27,2749,102.3,Náutico,Meio,27349,,,,1,1,1,0
2026,Thiago Couto,Sport,GK,Goleiro,27,27,2741,102.4,Sport Recife,Meio,546217,,,,1,1,2,0
2026,Raul,Cuiabá,RCMF,Meia,30,26,2614,96.7,Cuiabá,Meio,479587,,,,1,1,2,0
2026,Vilar,Botafogo-SP,LCB,Zaga,26,26,2612,95.6,Botafogo SP,Meio,978269,,,,1,2,3,1
2026,Marcelo Hermes,Criciúma,LWB,Lateral,31,26,2610,100.2,Criciúma,Meio,348769,,,,1,1,2,0
2026,Luan Polli,Athletic,GK,Goleiro,33,26,2603,95.0,Athletic Club,Meio,273250,,,,1,1,2,0
2026,João Basso,Cuiabá,RCB,Zaga,29,26,2542,94.0,Cuiabá,Meio,410183,,,,1,1,2,0
2026,Helton Leite,Vila Nova,GK,Goleiro,35,25,2539,95.8,Vila Nova,Sobe,175383,,,,1,1,1,0
2026,Maurício Kozlinski,Londrina,GK,Goleiro,35,25,2495,89.2,Londrina,Cai,438431,,,,1,1,2,0
2026,Perotti,Sport,CF,Atacante,28,26,2493,93.2,Sport Recife,Meio,432959,,,,1,1,3,0
2026,Rodrigo Ferreira,São Bernardo,RB,Lateral,31,25,2469,94.1,São Bernardo FC,Meio,555374,,,,1,1,2,0
2026,Alex Alves,São Bernardo,GK,Goleiro,39,25,2467,94.0,São Bernardo FC,Meio,157117,,,,1,1,1,0
2026,Everton Morelli,Botafogo-SP,RCMF,Meia,28,26,2420,88.5,Botafogo SP,Meio,525256,,,,1,1,3,0
2026,Paulo Vítor,Atlético-GO,GK,Goleiro,37,24,2402,90.2,Atlético GO,Meio,,,,,1,2,2,1
2026,Boschilia,Operário-PR,AMF,Meia,30,24,2396,88.0,Operário PR,Meio,,,,,1,2,3,1
2026,Jandrei,Juventude,GK,Goleiro,33,24,2395,89.2,Juventude,Sobe,512344,,,,1,1,1,0
2026,Igor Fernandes,Náutico,LB,Lateral,34,26,2392,89.0,Náutico,Meio,250841,,,,1,1,1,0
2026,Wenderson,Náutico,LDMF,Volante,28,25,2388,88.9,Náutico,Meio,,,,,1,0,1,0
2026,Patrick,Novorizontino,LCB,Zaga,27,25,2357,84.0,Grêmio Novorizontino,Sobe,,,,,1,0,3,0
2026,Vinicius Diniz,Operário-PR,LCMF,Meia,27,25,2353,86.4,Operário PR,Meio,731531,,,,1,1,2,0
2026,Vágner,Operário-PR,GK,Goleiro,40,24,2333,85.7,Operário PR,Meio,68442,,,,1,1,2,0
2026,Lucas Gazal,Fortaleza,LCB,Zaga,27,24,2331,85.0,Fortaleza,Sobe,863073,,,,1,1,2,0
2026,Calebe Costa,Cuiabá,CB,Zaga,23,25,2318,85.8,Cuiabá,Meio,1033501,,,,1,1,2,0
2026,Patrick Brey,Botafogo-SP,LB,Lateral,29,23,2301,84.2,Botafogo SP,Meio,435170,,,,1,1,3,0
2026,Lucas Belezi,Athletic,LCB,Zaga,23,24,2297,83.9,Athletic Club,Meio,668230,,,,1,1,2,0
2026,Marcos Paulo,Juventude,LCB,Zaga,23,24,2295,85.5,Juventude,Sobe,,,,,1,1,2,0
2026,Rômulo,Novorizontino,AMF,Meia,24,27,2289,81.6,Grêmio Novorizontino,Sobe,,,,,1,1,3,0
2026,Dadá Belmonte,CRB,LW,Extremo,29,25,2285,84.3,CRB,Meio,546253,,,,1,1,2,0
2026,Janderson,Vila Nova,LAMF,Extremo,27,25,2279,86.0,Vila Nova,Sobe,670940,,,,1,1,3,0
2026,Kauan,Athletic,LCMF,Meia,21,25,2275,83.1,Athletic Club,Meio,,,,,1,1,2,0
2026,Guilherme,Atlético-GO,LB,Lateral,24,24,2274,85.4,Atlético GO,Meio,139607,,,,1,1,2,0
2026,Robson,Novorizontino,CF,Atacante,35,26,2272,81.0,Grêmio Novorizontino,Sobe,161188,,,,1,1,3,0
2026,Rodrigo Sam,Juventude,RCB,Zaga,31,23,2267,84.4,Juventude,Sobe,363174,,,,1,1,1,0
2026,João Miguel,Athletic,DMF,Volante,22,26,2249,82.1,Athletic Club,Meio,1227001,,,,1,1,2,0
