treinador,clube,id_clube,funcao,interino,inicio,fim,em_curso,dias,jogos_tm,ppj_tm
Eduardo Baptista,AA Ponte Preta,1134,Treinador,0,2017-09-20,2018-03-09,0,170,28,0.96
João Brigatti,AA Ponte Preta,1134,Treinador interino,1,2018-03-10,2018-09-02,0,176,21,1.76
Doriva,AA Ponte Preta,1134,Treinador,0,2018-03-23,2018-05-29,0,67,14,1.07
Marcelo Chamusca,AA Ponte Preta,1134,Treinador,0,2018-09-02,2018-09-26,0,24,5,0.60
Gilson Kleina,AA Ponte Preta,1134,Treinador,0,2018-10-03,2018-12-04,0,62,9,2.56
Mazola Júnior,AA Ponte Preta,1134,Treinador,0,2018-12-06,2019-02-06,0,62,5,1.00
Jorginho,AA Ponte Preta,1134,Treinador,0,2019-02-08,2019-08-25,0,198,31,1.58
Gilson Kleina,AA Ponte Preta,1134,Treinador,0,2019-08-29,2020-02-18,0,173,26,1.12
João Brigatti,AA Ponte Preta,1134,Treinador,0,2020-02-20,2020-10-05,0,228,26,1.58
Fábio Moreno,AA Ponte Preta,1134,Treinador interino,1,2020-10-05,2020-10-08,0,3,0,-
Marcelo Oliveira,AA Ponte Preta,1134,Treinador,0,2020-10-08,2020-12-11,0,64,14,1.14
Fábio Moreno,AA Ponte Preta,1134,Treinador interino,1,2020-12-12,2021-05-22,0,161,18,1.33
Gilson Kleina,AA Ponte Preta,1134,Treinador,0,2021-06-01,2022-02-20,0,264,45,1.24
Ivo Secchi,AA Ponte Preta,1134,Treinador interino,1,2022-02-21,2022-02-24,0,3,0,-
Hélio dos Anjos,AA Ponte Preta,1134,Treinador,0,2022-02-25,2023-04-18,0,417,45,1.20
Felipe Moreira,AA Ponte Preta,1134,Treinador,0,2023-04-19,2023-07-23,0,95,17,1.29
Pintado,AA Ponte Preta,1134,Treinador,0,2023-07-25,2023-10-04,0,71,11,1.00
João Brigatti,AA Ponte Preta,1134,Treinador,0,2023-10-05,2024-05-27,0,235,28,1.14
Nelsinho Baptista,AA Ponte Preta,1134,Treinador,0,2024-05-29,2024-10-21,0,145,25,1.16
Nenê Santana,AA Ponte Preta,1134,Treinador,0,2024-10-22,2024-11-06,0,15,3,1.00
