treinador,clube,clube_wyscout,id_clube,temporada,interino,em_curso,inicio,fim,rodadas,rodada_1a,rodada_ultima,rodadas_no_ano,jogos_tm_todas_competicoes,ppj_tm_todas_competicoes,fim_inferido
João Brigatti,AA Ponte Preta,Ponte Preta,1134,2018,1,0,2018-03-10,2018-09-02,24,1,24,38,21,1.76,0
Marcelo Chamusca,AA Ponte Preta,Ponte Preta,1134,2018,0,0,2018-09-02,2018-09-26,5,25,29,38,5,0.60,0
Gilson Kleina,AA Ponte Preta,Ponte Preta,1134,2018,0,0,2018-10-03,2018-12-04,9,30,38,38,9,2.56,0
Jorginho,AA Ponte Preta,Ponte Preta,1134,2019,0,0,2019-02-08,2019-08-25,18,1,18,38,31,1.58,0
Gilson Kleina,AA Ponte Preta,Ponte Preta,1134,2019,0,0,2019-08-29,2020-02-18,19,20,38,38,26,1.12,0
João Brigatti,AA Ponte Preta,Ponte Preta,1134,2020,0,0,2020-02-20,2020-10-05,13,1,13,32,26,1.58,0
Marcelo Oliveira,AA Ponte Preta,Ponte Preta,1134,2020,0,0,2020-10-08,2020-12-11,14,15,28,32,14,1.14,0
Fábio Moreno,AA Ponte Preta,Ponte Preta,1134,2020,1,0,2020-12-12,2021-05-22,4,29,32,32,18,1.33,0
Fábio Moreno,AA Ponte Preta,Ponte Preta,1134,2021,1,0,2020-12-12,2021-05-22,6,1,6,44,18,1.33,0
Gilson Kleina,AA Ponte Preta,Ponte Preta,1134,2021,0,0,2021-06-01,2022-02-20,37,8,44,44,45,1.24,0
Hélio dos Anjos,AA Ponte Preta,Ponte Preta,1134,2022,0,0,2022-02-25,2023-04-18,38,1,38,38,45,1.20,0
Hélio dos Anjos,AA Ponte Preta,Ponte Preta,1134,2023,0,0,2022-02-25,2023-04-18,1,1,1,38,45,1.20,0
Felipe Moreira,AA Ponte Preta,Ponte Preta,1134,2023,0,0,2023-04-19,2023-07-23,18,2,19,38,17,1.29,0
Pintado,AA Ponte Preta,Ponte Preta,1134,2023,0,0,2023-07-25,2023-10-04,11,20,30,38,11,1.00,0
João Brigatti,AA Ponte Preta,Ponte Preta,1134,2023,0,0,2023-10-05,2024-05-27,8,31,38,38,28,1.14,0
João Brigatti,AA Ponte Preta,Ponte Preta,1134,2024,0,0,2023-10-05,2024-05-27,7,1,7,38,28,1.14,0
Nelsinho Baptista,AA Ponte Preta,Ponte Preta,1134,2024,0,0,2024-05-29,2024-10-21,25,8,32,38,25,1.16,0
Nenê Santana,AA Ponte Preta,Ponte Preta,1134,2024,0,0,2024-10-22,2024-11-06,3,33,35,38,3,1.00,0
Rodrigo Santana,AA Ponte Preta,Ponte Preta,1134,2026,0,0,2026-02-23,2026-05-26,10,1,10,27,11,0.91,0
Edson Boaro,AA Ponte Preta,Ponte Preta,1134,2026,1,0,2026-05-30,2026-06-11,2,11,12,27,2,0.50,0
Márcio Zanardi,AA Ponte Preta,Ponte Preta,1134,2026,0,0,2026-06-11,2026-08-26,12,13,24,27,12,0.17,0
Gilson Kleina,AA Ponte Preta,Ponte Preta,1134,2026,0,1,2026-08-28,,3,25,27,27,4,0.00,0
Fernando Marchiori,ABC FC,ABC,7209,2023,0,0,2022-03-29,2023-05-15,6,1,6,38,66,1.73,0
Jonydei Matos,ABC FC,ABC,7209,2023,1,0,2023-05-16,2023-05-23,1,7,7,38,2,0.50,0
Allan Aal,ABC FC,ABC,7209,2023,0,0,2023-05-24,2023-09-04,19,8,26,38,18,0.67,0
Argel Fuchs,ABC FC,ABC,7209,2023,0,0,2023-09-04,2023-11-22,11,27,37,38,11,0.82,0
Rafael Lacerda,ABC FC,ABC,7209,2023,0,0,2023-11-24,2024-03-11,1,38,38,38,9,1.56,0
Matheus Costa,AD Confiança,Confiança,3280,2020,0,0,2020-02-16,2020-09-16,9,1,9,31,15,1.00,0
Daniel Paulista,AD Confiança,Confiança,3280,2020,0,0,2020-09-17,2021-05-10,22,10,31,31,49,1.37,0
Daniel Paulista,AD Confiança,Confiança,3280,2021,0,0,2020-09-17,2021-05-10,7,1,7,45,49,1.37,0
Rodrigo Santana,AD Confiança,Confiança,3280,2021,0,0,2021-05-26,2021-07-26,14,8,21,45,14,0.71,0
Zé Carlos,AD Confiança,Confiança,3280,2021,1,0,2021-07-27,2021-08-30,7,22,28,45,7,0.43,0
Luizinho Lopes,AD Confiança,Confiança,3280,2021,0,0,2021-08-31,2022-04-13,17,29,45,45,31,1.48,0
Adilson Batista,Amazonas FC,Amazonas,87727,2024,0,0,2024-04-19,2024-05-23,6,1,6,38,8,0.63,0
Rafael Lacerda,Amazonas FC,Amazonas,87727,2024,0,0,2024-05-27,2024-11-19,31,7,37,38,31,1.42,0
Ibson,Amazonas FC,Amazonas,87727,2024,1,0,2024-11-20,2024-12-31,1,38,38,38,1,3.00,0
Eduardo Barros,Amazonas FC,Amazonas,87727,2025,0,0,2025-02-23,2025-04-20,3,1,3,38,4,0.50,0
Ibson,Amazonas FC,Amazonas,87727,2025,1,0,2025-04-20,2025-04-22,1,4,4,38,1,0.00,0
Guilherme Alves,Amazonas FC,Amazonas,87727,2025,0,0,2025-04-23,2025-07-06,11,5,15,38,11,1.18,0
Márcio Zanardi,Amazonas FC,Amazonas,87727,2025,0,0,2025-07-08,2025-10-29,19,16,34,38,19,0.95,0
Aderbal Lana,Amazonas FC,Amazonas,87727,2025,0,0,2025-10-30,2025-12-31,4,35,38,38,4,1.00,0
Givanildo Oliveira,América Mineiro,América-MG,2863,2019,0,0,2018-11-11,2019-05-01,2,1,2,38,23,1.39,0
Maurício Barbieri,América Mineiro,América-MG,2863,2019,0,0,2019-05-06,2019-07-15,7,3,9,38,7,0.71,0
Felipe Conceição,América Mineiro,América-MG,2863,2019,0,0,2019-07-19,2020-01-24,29,10,38,38,30,1.90,0
Lisca,América Mineiro,América-MG,2863,2020,0,0,2020-01-31,2021-06-14,31,1,31,31,82,1.84,0
Lisca,América Mineiro,América-MG,2863,2021,0,0,2020-01-31,2021-06-14,7,1,7,7,82,1.84,0
Cauan de Almeida,América Mineiro,América-MG,2863,2024,0,0,2023-12-20,2024-08-27,23,1,23,38,34,1.65,0
Lisca,América Mineiro,América-MG,2863,2024,0,0,2024-08-29,2024-11-19,14,24,37,38,14,1.43,0
William Batista,América Mineiro,América-MG,2863,2025,0,0,2025-01-01,2025-06-02,10,1,10,38,23,1.43,0
Enderson Moreira,América Mineiro,América-MG,2863,2025,0,0,2025-06-03,2025-08-11,11,11,21,38,9,0.78,0
Alberto Valentim,América Mineiro,América-MG,2863,2025,0,0,2025-08-12,2026-04-13,17,22,38,38,35,1.31,0
Alberto Valentim,América Mineiro,América-MG,2863,2026,0,0,2025-08-12,2026-04-13,4,1,4,27,35,1.31,0
Roger Silva,América Mineiro,América-MG,2863,2026,0,0,2026-04-13,2026-05-31,7,5,11,27,9,0.89,0
Umberto Louzer,América Mineiro,América-MG,2863,2026,0,0,2026-06-03,2026-08-21,12,12,23,27,11,0.64,0
Douglas Leite,América Mineiro,América-MG,2863,2026,1,1,2026-08-24,,4,24,27,27,5,1.20,0
Roger Silva,Athletic Club,Athletic,64918,2025,0,0,2024-03-08,2025-06-02,10,1,10,38,56,1.59,0
Rui Duarte,Athletic Club,Athletic,64918,2025,0,0,2025-06-04,2026-02-17,28,11,38,38,34,1.24,0
Alex,Athletic Club,Athletic,64918,2026,0,1,2026-02-21,,27,1,27,27,33,1.48,0
Maurício Barbieri,Athletico Paranaense,Athletico-PR,679,2025,0,0,2024-12-16,2025-05-04,6,1,6,38,24,1.79,0
João Correia,Athletico Paranaense,Athletico-PR,679,2025,1,0,2025-05-05,2025-05-22,2,7,8,38,3,1.33,0
Odair Hellmann,Athletico Paranaense,Athletico-PR,679,2025,0,1,2025-05-22,2026-01-05,30,9,38,38,67,1.64,1
