id_jogador,jogador,temporada_tm,lesao,de,ate,dias,jogos_perdidos,dias_2022,dias_2023,dias_2024,dias_2025,dias_2026
54214,Leandrinho,18/19,Lesão desconhecida,2018-10-06,2018-10-21,16,1,0,0,0,0,0
54214,Leandrinho,15/16,Lesão desconhecida,2016-02-07,2016-02-28,22,3,0,0,0,0,0
54214,Leandrinho,15/16,Lesão no tornozelo,2015-11-06,2015-11-08,3,1,0,0,0,0,0
54214,Leandrinho,13/14,Rotura dos ligamentos cruzados,2013-04-15,2013-10-15,184,26,0,0,0,0,0
54214,Leandrinho,07/08,Rotura dos ligamentos cruzados,2008-02-24,2008-06-01,99,11,0,0,0,0,0
54161,Pedro Júnior,17/18,Lesão muscular,2018-04-03,2018-04-24,22,5,0,0,0,0,0
54161,Pedro Júnior,17/18,Traumatismo no metatarso,2017-07-29,2017-09-29,63,12,0,0,0,0,0
54161,Pedro Júnior,16/17,Lesão na panturrilha,2016-09-30,2016-10-18,19,1,0,0,0,0,0
901037,Reginaldo Ramires,26/27,Lesão na coxa,2026-06-21,2026-07-02,12,2,0,0,0,0,12
423839,Ribamar,25/26,Lesão na anca,2025-08-23,2026-01-31,162,9,0,0,0,100,0
423839,Ribamar,20/21,Coronavírus,2020-11-13,2020-11-30,18,4,0,0,0,0,0
423839,Ribamar,19/20,Fratura do tornozelo,2019-07-10,2019-09-05,58,8,0,0,0,0,0
423839,Ribamar,18/19,Constipação,2019-05-10,2019-06-05,27,4,0,0,0,0,0
423839,Ribamar,18/19,Lesão muscular,2019-05-10,2019-06-05,27,4,0,0,0,0,0
423839,Ribamar,18/19,Lesão muscular,2018-12-15,2019-04-25,132,4,0,0,0,0,0
423839,Ribamar,16/17,Recuperação ritmo competitivo,2016-11-06,2017-01-11,67,6,0,0,0,0,0
423839,Ribamar,16/17,Rotura num tendão,2016-09-05,2016-11-05,62,9,0,0,0,0,0
423839,Ribamar,16/17,Recuperação ritmo competitivo,2016-07-29,2016-09-01,35,4,0,0,0,0,0
423839,Ribamar,16/17,Lesão muscular,2016-07-14,2016-07-28,15,3,0,0,0,0,0
688690,Igor Formiga,25/26,Lesão muscular,2026-05-11,2026-07-16,67,6,0,0,0,0,67
688690,Igor Formiga,20/21,Problemas no Joelho,2021-02-27,2021-05-19,82,0,0,0,0,0,0
520430,Kevin,23/24,Queixas adutores,2023-08-26,2023-09-17,23,3,0,23,0,0,0
296903,Artur,18/19,Fratura da clavícula,2018-10-07,2018-11-07,32,5,0,0,0,0,0
676511,Jean Carlos,22/23,Lesão dos ligamentos laterais do joelho,2023-05-04,2024-01-01,243,34,0,211,0,0,0
1072630,Vitinho,24/25,Lesão na coxa,2024-09-15,2024-10-22,38,6,0,0,38,0,0
52929,Wesley,17/18,Lesão muscular,2017-10-21,2017-11-01,12,3,0,0,0,0,0
52929,Wesley,11/12,Rotura dos ligamentos cruzados,2012-04-10,2012-10-15,189,43,0,0,0,0,0
52929,Wesley,10/11,Sehnenanriss,2010-11-21,2011-03-07,107,14,0,0,0,0,0
520623,Matheus Anjos,23/24,Problemas musculares na coxa,2023-04-30,2023-06-22,54,11,0,54,0,0,0
520623,Matheus Anjos,19/20,Lesão muscular,2019-07-17,2019-10-28,104,21,0,0,0,0,0
76135,Élvis,26/27,Lesão do ligamento cruzado,2026-08-19,,24,4,0,0,0,0,1
546218,Danilo Gomes,25/26,Lesão do ligamento cruzado,2025-07-05,2026-05-07,307,31,0,0,0,149,37
520401,Fessin,24/25,Lesão desconhecida,2025-05-04,2025-05-19,16,2,0,0,0,16,0
520401,Fessin,22/23,Problemas musculares,2022-09-30,2022-10-25,26,4,26,0,0,0,0
322059,Leandro Barcia,22/23,Problemas musculares,2023-04-15,2023-05-01,17,3,0,17,0,0,0
322059,Leandro Barcia,22/23,Lesão desconhecida,2023-02-01,2023-03-10,38,6,0,0,0,0,0
322059,Leandro Barcia,21/22,Lesão muscular,2021-10-27,2022-01-01,67,10,0,0,0,0,0
322059,Leandro Barcia,20/21,Lesão no joelho,2020-12-02,2021-08-16,258,52,0,0,0,0,0
322059,Leandro Barcia,20/21,Quarentena,2020-11-06,2020-11-12,7,1,0,0,0,0,0
322059,Leandro Barcia,17/18,Lesão nos adutores,2017-10-01,2017-11-20,51,6,0,0,0,0,0
322059,Leandro Barcia,16/17,Recuperação ritmo competitivo,2017-04-29,2017-07-19,82,14,0,0,0,0,0
322059,Leandro Barcia,16/17,Rotura dos ligamentos cruzados,2016-10-11,2017-04-28,200,24,0,0,0,0,0
322059,Leandro Barcia,16/17,Lesão muscular,2016-09-07,2016-09-26,20,3,0,0,0,0,0
322059,Leandro Barcia,15/16,Doente,2016-03-27,2016-04-05,10,1,0,0,0,0,0
271353,Niltinho,24/25,Fissura da banda do joelho,2024-11-10,2025-02-14,97,7,0,0,21,0,0
271353,Niltinho,19/20,Lesão desconhecida,2019-07-19,2019-12-10,145,18,0,0,0,0,0
271353,Niltinho,18/19,Lesão desconhecida,2018-10-18,2018-10-30,13,2,0,0,0,0,0
271353,Niltinho,15/16,Lesão desconhecida,2015-08-22,2015-09-15,25,3,0,0,0,0,0
76120,Éverton,19/20,Lesão do ligamento cruzado,2019-09-25,2020-02-01,130,17,0,0,0,0,0
76120,Éverton,09/10,Lesão no ombro,2010-03-13,2010-07-01,111,7,0,0,0,0,0
1035650,Eliel,24/25,Problemas musculares na coxa,2024-11-03,2024-11-19,17,1,0,0,17,0,0
178940,Lucca,22/23,Lesão desconhecida,2023-03-06,2023-04-28,54,5,0,28,0,0,0
178940,Lucca,22/23,Problemas musculares,2022-10-10,2022-10-25,16,2,16,0,0,0,0
178940,Lucca,14/15,Entorse,2015-04-08,2015-05-08,31,3,0,0,0,0,0
178940,Lucca,12/13,Rotura dos ligamentos cruzados,2012-10-19,2013-04-19,183,19,0,0,0,0,0
742073,Wallisson,25/26,Problemas musculares na coxa,2026-03-23,2026-04-03,12,1,0,0,0,0,3
113094,Dedé,19/20,Lesão no joelho,2019-10-19,2021-03-01,500,66,0,0,0,0,0
113094,Dedé,14/15,Lesão ligamentar,2014-11-05,2015-11-01,362,80,0,0,0,0,0
921863,Douglas Mendes,24/25,Lesão na coxa,2025-05-19,2025-06-11,24,3,0,0,0,24,0
86917,Fabrício,16/17,Lesão na virilha,2016-11-24,2016-12-05,12,3,0,0,0,0,0
86917,Fabrício,15/16,Problemas na virilha,2015-11-19,2015-11-26,8,1,0,0,0,0,0
351894,Léo Santos,20/21,Traumatismo no joelho,2020-07-19,2021-02-06,203,14,0,0,0,0,0
351894,Léo Santos,19/20,Operado ao joelho,2019-09-04,2020-01-01,120,23,0,0,0,0,0
351894,Léo Santos,18/19,Inflamação do tendão,2019-03-11,2019-07-15,127,19,0,0,0,0,0
271861,Crislan,19/20,Lesão no cotovelo,2019-08-18,2019-09-15,29,3,0,0,0,0,0
271861,Crislan,18/19,Lesão do ligamento cruzado,2018-10-21,2019-06-30,253,28,0,0,0,0,0
271861,Crislan,18/19,Entorse do tornozelo,2018-08-29,2018-09-14,17,1,0,0,0,0,0
