ano,clube,origem,fonte_1,fonte_2,conferido_jogo_a_jogo,nota
2018,Atlético-GO,A,"https://pt.wikipedia.org/wiki/Campeonato_Brasileiro_de_Futebol_de_2018_-_S%C3%A9rie_B (Participantes, coluna Em 2017)",https://en.wikipedia.org/wiki/2018_Campeonato_Brasileiro_S%C3%A9rie_B (Team changes / participants),sem dado,sem CSV de 2017
2018,Avaí,A,"https://pt.wikipedia.org/wiki/Campeonato_Brasileiro_de_Futebol_de_2018_-_S%C3%A9rie_B (Participantes, coluna Em 2017)",https://en.wikipedia.org/wiki/2018_Campeonato_Brasileiro_S%C3%A9rie_B (Team changes / participants),sem dado,sem CSV de 2017
2018,Boa,B,"https://pt.wikipedia.org/wiki/Campeonato_Brasileiro_de_Futebol_de_2018_-_S%C3%A9rie_B (Participantes, coluna Em 2017)",https://en.wikipedia.org/wiki/2018_Campeonato_Brasileiro_S%C3%A9rie_B (Team changes / participants),sem dado,sem CSV de 2017
2018,Brasil de Pelotas,B,"https://pt.wikipedia.org/wiki/Campeonato_Brasileiro_de_Futebol_de_2018_-_S%C3%A9rie_B (Participantes, coluna Em 2017)",https://en.wikipedia.org/wiki/2018_Campeonato_Brasileiro_S%C3%A9rie_B (Team changes / participants),sem dado,sem CSV de 2017
2018,CRB,B,"https://pt.wikipedia.org/wiki/Campeonato_Brasileiro_de_Futebol_de_2018_-_S%C3%A9rie_B (Participantes, coluna Em 2017)",https://en.wikipedia.org/wiki/2018_Campeonato_Brasileiro_S%C3%A9rie_B (Team changes / participants),sem dado,sem CSV de 2017
2018,CSA,C,"https://pt.wikipedia.org/wiki/Campeonato_Brasileiro_de_Futebol_de_2018_-_S%C3%A9rie_B (Participantes, coluna Em 2017)",https://en.wikipedia.org/wiki/2018_Campeonato_Brasileiro_S%C3%A9rie_B (Team changes / participants),sem dado,sem CSV de 2017
2018,Coritiba,A,"https://pt.wikipedia.org/wiki/Campeonato_Brasileiro_de_Futebol_de_2018_-_S%C3%A9rie_B (Participantes, coluna Em 2017)",https://en.wikipedia.org/wiki/2018_Campeonato_Brasileiro_S%C3%A9rie_B (Team changes / participants),sem dado,sem CSV de 2017
2018,Criciúma,B,"https://pt.wikipedia.org/wiki/Campeonato_Brasileiro_de_Futebol_de_2018_-_S%C3%A9rie_B (Participantes, coluna Em 2017)",https://en.wikipedia.org/wiki/2018_Campeonato_Brasileiro_S%C3%A9rie_B (Team changes / participants),sem dado,sem CSV de 2017
2018,Figueirense,B,"https://pt.wikipedia.org/wiki/Campeonato_Brasileiro_de_Futebol_de_2018_-_S%C3%A9rie_B (Participantes, coluna Em 2017)",https://en.wikipedia.org/wiki/2018_Campeonato_Brasileiro_S%C3%A9rie_B (Team changes / participants),sem dado,sem CSV de 2017
2018,Fortaleza,C,"https://pt.wikipedia.org/wiki/Campeonato_Brasileiro_de_Futebol_de_2018_-_S%C3%A9rie_B (Participantes, coluna Em 2017)",https://en.wikipedia.org/wiki/2018_Campeonato_Brasileiro_S%C3%A9rie_B (Team changes / participants),sem dado,sem CSV de 2017
2018,Goiás,B,"https://pt.wikipedia.org/wiki/Campeonato_Brasileiro_de_Futebol_de_2018_-_S%C3%A9rie_B (Participantes, coluna Em 2017)",https://en.wikipedia.org/wiki/2018_Campeonato_Brasileiro_S%C3%A9rie_B (Team changes / participants),sem dado,sem CSV de 2017
2018,Guarani,B,"https://pt.wikipedia.org/wiki/Campeonato_Brasileiro_de_Futebol_de_2018_-_S%C3%A9rie_B (Participantes, coluna Em 2017)",https://en.wikipedia.org/wiki/2018_Campeonato_Brasileiro_S%C3%A9rie_B (Team changes / participants),sem dado,sem CSV de 2017
